ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,MEA,AFR,ROW
A01,768.1622,969.0399,280.3478,1011.0899,145.5470,1281.3222,998.6812,1013.6923,994.1161,187.6878,1030.4016,1437.0737
A02,75.5712,705.8838,43.8090,8.8166,127.4871,125.0454,313.9862,44.6834,120.3088,51.4908,102.1098,120.0263
A03,369.6691,327.3380,13.0496,247.3155,537.3647,32.7043,263.8587,56.3932,45.7629,299.4537,145.8398,201.6893
B05,1830.0118,807.2048,1484.8635,3431.4603,670.9801,1102.8206,226.9581,5173.7862,46.1469,0.0000,3079.2317,838.4212
B06,452.1217,244.5402,145.3119,199.6663,374.0596,703.0754,482.5307,57.5486,246.4733,145.9853,472.3285,629.5988
B07,357.3775,119.4157,103.5555,0.0000,9.4392,244.2624,152.7140,95.1352,76.9574,4.1983,258.0919,179.8023
B08,200.5237,96.2061,179.0977,1408.9053,104.6315,156.9731,461.9381,135.2220,76.7845,77.6014,231.6337,207.3306
B09,422.2670,117.1605,56.6743,196.5951,9.0651,149.8825,359.5383,36.1957,203.9380,79.5470,136.9552,102.4091
C10T12,42.6960,44.3802,14.0556,43.6948,31.2904,8.3245,50.4316,15.7722,64.3219,96.8986,75.0053,48.4387
C13T15,37.5139,99.6359,8.2137,65.0507,186.6708,67.4763,70.0771,4.4714,84.4648,60.1529,46.4456,43.1577
C16,23.6790,64.2988,18.0158,47.6111,15.5350,44.3922,245.2031,33.7188,84.3052,139.4547,79.2442,109.9772
C17_18,103.5047,134.6106,128.7957,54.2689,210.4998,106.8773,1150.5297,74.9143,115.4367,121.2216,103.9022,158.8828
C19,224.7450,132.7502,273.9337,225.3280,288.1915,403.2725,355.9935,511.8145,163.6289,92.3056,705.7509,379.9109
C20,179.9598,229.6249,385.5300,150.0349,252.9526,290.1106,413.4387,493.3104,158.2281,961.0422,348.4253,456.8825
C21,12.2919,96.5743,10.7469,11.0310,4.0171,133.1993,24.2072,197.6628,222.6544,97.0353,124.3848,32.1817
C22,20.2945,79.9288,72.4129,76.1725,11.2867,983.9673,32.8454,25.1529,710.5278,96.9349,552.8452,62.4421
C23,645.9825,579.5672,1297.8670,480.1388,1191.3446,2163.9227,118.4974,413.3825,752.4661,608.1192,1134.1784,1422.6760
C24A,393.9328,287.1280,1082.8169,670.6360,482.8436,1327.8054,681.7616,1890.1927,5519.0870,539.2237,946.9852,904.4001
C24B,93.4102,76.5029,91.4710,157.3962,31.4361,22.7916,82.0759,55.1422,5526.1984,331.2195,502.7796,351.4871
C25,17.7971,123.3419,20.1893,63.2802,18.4151,58.4254,41.3852,4.7019,92.2085,69.8926,82.0596,58.3174
C26,8.6307,71.6022,15.2645,18.1635,5.2955,33.4422,6.7918,0.2845,43.1803,4.3327,33.0850,17.5805
C27,8.5683,85.9776,15.0867,36.9183,3.1576,52.9537,12.4836,1.6695,56.8537,77.8630,31.3156,36.4159
C28,12.0104,44.4904,18.5297,32.0199,11.9211,51.7108,18.5523,2.8608,87.1079,19.3732,63.9679,64.4680
C29,8.5953,77.8968,8.8167,10.5619,6.7312,57.2679,10.4182,4.2169,62.3206,28.5683,77.4711,30.8230
