ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,MEA,AFR,ROW
A01,449.9500,611.3860,652.1740,48.0550,11.2490,783.5090,73.4360,5.0240,150.7230,13.5620,289.0000,3183.5170
A02,4.9090,18.6710,7.1620,0.0260,0.5660,6.7140,5.6070,0.0580,1.3330,0.0650,1.1210,16.1520
A03,5.5880,2.1340,3.5770,0.7040,5.5500,1.5580,1.0250,0.9140,1.6390,1.5590,2.9830,43.9170
B05,23.5830,32.6930,671.1390,0.8430,0.3500,23.4190,1.3880,0.0780,4.2440,0.0000,34.4490,152.6440
B06,20.3420,174.6120,49.5310,6.5350,0.4450,16.7160,68.8260,12.8390,19.0650,66.5810,68.4940,872.0920
B07,7.2750,4.1160,24.5620,0.0000,0.0170,7.5320,5.1050,0.0360,2.0070,0.1650,18.6290,87.6640
B08,8.8760,5.0900,30.9510,8.0010,0.4920,1.0540,6.4270,0.1980,1.7430,2.7350,5.7170,37.8700
B09,3.7450,7.4560,2.0760,1.3070,0.0160,2.9730,6.6590,0.5760,1.5040,2.2900,1.3220,26.8680
C10T12,57.5990,49.9340,30.6530,6.6660,8.4910,2.8530,6.5740,0.5170,14.4460,9.1230,18.5510,111.0390
C13T15,8.5110,7.2060,15.7580,0.9800,5.3510,15.3240,0.4770,0.0050,5.9270,1.2560,2.2500,32.6540
C16,4.5040,11.1060,5.2350,0.6710,0.3570,0.9750,11.3810,0.1470,1.8550,0.6440,0.9870,16.9440
C17_18,31.8040,39.2590,81.9170,1.6050,19.1600,4.8140,37.8590,0.2310,4.1140,2.3710,2.0500,50.2600
C19,131.4010,116.9660,225.9820,12.7280,46.4350,91.2620,21.4450,4.8000,13.5590,23.1170,46.7680,422.9200
C20,132.8950,146.4430,635.7710,7.9100,48.4870,49.8540,19.1300,4.0100,8.7200,100.3930,15.4410,468.3400
C21,5.8950,34.8140,5.5520,0.4910,0.2940,10.8650,0.3170,0.5040,1.2590,1.5370,1.1480,11.7700
C22,7.4950,24.2710,53.0430,2.6040,1.2740,80.5770,1.0080,0.0470,28.9510,1.9270,9.0740,27.4650
C23,175.8860,110.1500,1638.0070,11.3820,60.0370,206.3910,2.8260,1.8650,17.1090,18.8910,67.7860,571.5220
C24A,132.9520,56.9850,1506.3870,9.6270,129.9450,326.4680,17.5540,3.9710,50.3880,7.1730,25.3440,555.7170
C24B,18.5540,12.3740,82.6290,1.4130,2.9540,1.7560,4.2570,0.4620,55.9460,6.3800,10.6420,135.0220
C25,11.4320,55.9410,21.8690,3.0220,1.8130,3.8590,1.6100,0.0300,6.5480,2.2330,1.6960,30.0110
C26,2.9950,35.0530,32.6160,0.5670,0.8730,1.6840,0.0980,0.0010,1.3230,0.2420,0.1890,27.4700
C27,3.3100,13.4850,18.1220,0.7000,0.4700,3.8430,0.1390,0.0050,1.8380,1.5770,0.5220,14.7930
C28,9.3620,19.8790,29.2960,1.6290,3.6450,5.2300,0.7140,0.0170,1.3950,0.3270,0.8990,35.0070
C29,8.9970,57.1400,10.7240,0.8600,2.5380,9.6210,0.6130,0.0050,2.8220,0.3130,3.3920,25.1920
C301,0.3610,3.5890,0.9360,0.1840,0.1910,0.0430,0.0050,0.0230,0.3080,0.0440,0.0650,3.8290
C302T309,1.2360,22.7540,1.8550,0.2560,0.2780,1.8970,0.3600,0.0010,1.2350,0.0820,0.0930,6.6370
C31T33,5.6430,36.6750,167.8300,1.1420,6.3310,92.8060,3.8590,0.0400,10.7400,0.6040,3.0640,19.9280
D,749.4610,1577.5780,6071.9050,61.6830,401.0620,1348.0650,61.0060,0.6920,385.4060,365.2380,355.6730,3401.3220
E,142.8820,183.5180,531.0380,23.0360,15.7910,88.3990,1.7230,1.8850,0.2910,48.3200,157.2150,1028.8610
F,55.0170,353.0720,208.0150,10.0440,3.9980,52.8650,8.4960,2.1240,12.3660,25.8070,43.1260,188.8980
G,79.8750,220.8390,44.5840,12.5600,5.3660,110.6860,22.1230,1.0260,44.9880,29.3940,23.4980,408.4110
H49,176.7170,500.6190,298.9000,27.7290,130.2920,89.4610,40.7500,2.0900,39.0670,46.6730,67.7170,621.4970
H50,137.8230,15.2450,106.9200,20.3480,15.1020,6.3330,2.1610,14.9320,9.4170,11.8550,9.9280,190.5030
H51,115.4190,194.0750,53.1250,23.0020,16.4520,22.9060,18.7260,2.6910,8.4020,51.2630,11.9550,199.5490
H52,28.2090,31.6800,22.4160,3.8450,0.2230,6.5370,0.2740,0.4260,1.2050,2.1710,3.1660,39.8140
H53,8.0900,16.6340,6.1510,2.2330,0.0240,1.4480,2.3380,0.0500,0.5920,0.6480,0.9460,8.7430
I,13.8400,26.9340,11.8600,4.0370,4.2290,12.3140,1.9700,0.1050,6.2380,8.2590,5.2400,114.1710
