ACTIVITY,GBR,EU27,ZAF,RUS,CHN,KOR,JPN,IND,AUS,CAN,USA,BRA,ROW
A01,1011.0899,768.1622,1533.8460,928.9969,280.3478,578.4575,145.5470,1281.3222,519.8808,998.6812,969.0399,2612.9912,1286.2262
A02,8.8166,75.5712,274.1674,262.4358,43.8090,45.0869,127.4871,125.0454,1224.4047,313.9862,705.8838,30.6993,91.5470
A03,247.3155,369.6691,316.4689,372.8995,13.0496,334.0064,537.3647,32.7043,866.2421,263.8587,327.3380,210.3553,146.2153
B05,3431.4603,1830.0118,2987.1659,3232.5447,1484.8635,9415.3992,670.9801,1102.8206,307.1889,226.9581,807.2048,235.1735,521.4643
B06,199.6663,452.1217,76.7793,572.8417,145.3119,7001.8868,374.0596,703.0754,289.8946,482.5307,244.5402,266.0743,458.6670
B07,0.0000,357.3775,242.6532,166.5017,103.5555,108.5260,9.4392,244.2624,273.7956,152.7140,119.4157,30.7340,154.3046
B08,1408.9053,200.5237,347.2008,171.5557,179.0977,313.9619,104.6315,156.9731,138.0354,461.9381,96.2061,30.8075,182.4729
B09,196.5951,422.2670,295.1720,74.7206,56.6743,743.4549,9.0651,149.8825,91.6497,359.5383,117.1605,41.8397,121.4253
C10T12,43.6948,42.6960,73.9596,62.7834,14.0556,46.7558,31.2904,8.3245,20.2035,50.4316,44.3802,33.0550,56.1258
C13T15,65.0507,37.5139,58.7492,57.8232,8.2137,64.8168,186.6708,67.4763,440.9697,70.0771,99.6359,50.8879,42.6870
C16,47.6111,23.6790,158.2424,326.5284,18.0158,62.3277,15.5350,44.3922,10.9391,245.2031,64.2988,61.6102,86.8374
C17_18,54.2689,103.5047,116.3012,172.7680,128.7957,177.4668,210.4998,106.8773,55.6416,1150.5297,134.6106,193.3667,142.0392
C19,225.3280,224.7450,1318.6133,604.5642,273.9337,50.1925,288.1915,403.2725,343.3592,355.9935,132.7502,254.6944,321.6309
C20,150.0349,179.9598,681.4241,1592.4288,385.5300,104.5280,252.9526,290.1106,652.9961,413.4387,229.6249,211.3865,526.7880
C21,11.0310,12.2919,380.4061,43.1842,10.7469,1.9463,4.0171,133.1993,90.4042,24.2072,96.5743,130.5368,34.9998
C22,76.1725,20.2945,1551.5966,112.4695,72.4129,11.2734,11.2867,983.9673,39.2288,32.8454,79.9288,158.3155,142.8552
C23,480.1388,645.9825,1922.8604,1538.8470,1297.8670,1173.3979,1191.3446,2163.9227,532.4682,118.4974,579.5672,1707.1465,1287.8024
C24A,670.6360,393.9328,834.1069,1271.2039,1082.8169,734.1482,482.8436,1327.8054,142.0753,681.7616,287.1280,929.9673,999.3641
C24B,157.3962,93.4102,1303.1162,710.0203,91.4710,69.8531,31.4361,22.7916,518.3198,82.0759,76.5029,461.6838,452.1472
C25,63.2802,17.7971,84.9899,81.7264,20.1893,52.3889,18.4151,58.4254,10.4361,41.3852,123.3419,28.0806,69.2984
C26,18.1635,8.6307,35.5078,21.1770,15.2645,28.3988,5.2955,33.4422,1.0750,6.7918,71.6022,27.2830,14.4286
C27,36.9183,8.5683,67.0881,74.1961,15.0867,33.3056,3.1576,52.9537,1.5972,12.4836,85.9776,41.3596,39.2530
C28,32.0199,12.0104,70.0189,80.3130,18.5297,37.0890,11.9211,51.7108,26.4251,18.5523,44.4904,55.3011,75.3893
C29,10.5619,8.5953,59.8580,39.7145,8.8167,1.1885,6.7312,57.2679,1.9312,10.4182,77.8968,57.5165,43.7361
C301,28.0513,7.4426,103.7046,59.2297,10.5054,28.8561,10.5334,57.5272,1.7147,2.1552,74.3532,26.5736,35.4747
C302T309,7.2382,5.7974,65.4362,67.1214,8.8062,62.1889,9.4307,58.1751,2.2101,10.0435,74.4266,26.0103,37.8734
C31T33,20.9502,10.6950,441.1392,59.8479,355.3342,23.7004,23.6959,955.2513,4.6029,96.5579,118.3283,82.1397,63.7350
D,211.4163,628.3415,10450.9740,4201.6118,4516.8655,2127.1547,1978.0332,9094.8743,2559.8348,1143.7744,2292.1930,481.6737,3519.1763
E,346.1728,393.1846,2601.8654,3133.8492,1783.3871,850.9297,148.0839,2280.5040,389.4915,93.9905,1189.7242,4335.5550,5043.2824
F,21.1732,23.6906,1679.6408,112.9501,44.4086,2.1405,7.9551,78.1206,20.0182,24.3459,163.1294,64.3880,69.1579
G,24.0355,24.0558,132.2180,60.1160,16.8320,115.6021,5.8785,277.9165,19.9492,61.7244,45.2227,84.8370,98.6706
H49,308.7113,222.6633,775.2063,685.0034,268.3827,523.1134,826.3603,365.4969,227.6042,409.3791,619.8897,586.3294,608.8266
