ACTIVITY,GBR,EU27,ZAF,RUS,CHN,KOR,JPN,IND,AUS,CAN,USA,BRA,ROW
A01,48.0550,449.9500,42.3120,135.4040,652.1740,26.0720,11.2490,783.5090,47.2920,73.4360,611.3860,559.8120,2830.9340
A02,0.0260,4.9090,0.2830,2.1250,7.1620,0.1390,0.5660,6.7140,3.6840,5.6070,18.6710,0.3440,12.1540
A03,0.7040,5.5880,0.3570,4.5270,3.5770,2.5430,5.5500,1.5580,3.6920,1.0250,2.1340,1.2240,38.6690
B05,0.8430,23.5830,28.7040,44.4940,671.1390,2.4260,0.3500,23.4190,28.6920,1.3880,32.6930,1.4070,85.6920
B06,6.5350,20.3420,0.0940,100.7470,49.5310,0.9760,0.4450,16.7160,25.3950,68.8260,174.6120,21.4170,890.4420
B07,0.0000,7.2750,12.0070,1.3530,24.5620,0.0130,0.0170,7.5320,35.2480,5.1050,4.1160,1.9560,57.9240
B08,8.0010,8.8760,1.3610,2.0760,30.9510,1.0280,0.4920,1.0540,2.5110,6.4270,5.0900,0.1110,41.1760
B09,1.3070,3.7450,0.2840,9.6960,2.0760,0.0140,0.0160,2.9730,1.5390,6.6590,7.4560,0.2160,20.8110
C10T12,6.6660,57.5990,2.3970,11.7080,30.6530,6.1370,8.4910,2.8530,1.8430,6.5740,49.9340,8.4650,123.1260
C13T15,0.9800,8.5110,0.3030,0.8680,15.7580,4.2970,5.3510,15.3240,1.8280,0.4770,7.2060,2.2560,32.5400
C16,0.6710,4.5040,0.3500,6.4860,5.2350,0.5450,0.3570,0.9750,0.1380,11.3810,11.1060,0.7840,12.2740
C17_18,1.6050,31.8040,0.9330,4.7190,81.9170,7.0320,19.1600,4.8140,0.6000,37.8590,39.2590,7.1900,38.5520
C19,12.7280,131.4010,31.0770,109.2830,225.9820,7.8450,46.4350,91.2620,4.4460,21.4450,116.9660,41.4970,317.0160
C20,7.9100,132.8950,8.8800,104.7560,635.7710,22.8940,48.4870,49.8540,11.4180,19.1300,146.4430,24.5450,424.4110
C21,0.4910,5.8950,0.8680,0.8460,5.5520,0.0640,0.2940,10.8650,0.7120,0.3170,34.8140,2.6710,11.0570
C22,2.6040,7.4950,6.6060,3.0480,53.0430,0.9620,1.2740,80.5770,0.4630,1.0080,24.2710,6.4960,49.8890
C23,11.3820,175.8860,8.6070,58.0990,1638.0070,42.5000,60.0370,206.3910,9.0370,2.8260,110.1500,50.5270,508.4030
C24A,9.6270,132.9520,12.2700,124.6780,1506.3870,83.3330,129.9450,326.4680,2.0490,17.5540,56.9850,60.3180,359.9450
C24B,1.4130,18.5540,7.2180,55.2530,82.6290,3.4900,2.9540,1.7560,17.2030,4.2570,12.3740,11.5980,113.6900
C25,3.0220,11.4320,0.6280,4.8460,21.8690,5.4270,1.8130,3.8590,0.2900,1.6100,55.9410,1.1030,28.2240
C26,0.5670,2.9950,0.0740,0.6620,32.6160,9.7110,0.8730,1.6840,0.0100,0.0980,35.0530,0.8300,17.9380
C27,0.7000,3.3100,0.2630,1.4900,18.1220,3.9490,0.4700,3.8430,0.0090,0.1390,13.4850,1.1810,11.8430
C28,1.6290,9.3620,0.6190,2.3920,29.2960,5.5630,3.6450,5.2300,0.3360,0.7140,19.8790,2.7850,25.9500
C29,0.8600,8.9970,1.1010,2.1740,10.7240,0.2570,2.5380,9.6210,0.0200,0.6130,57.1400,4.6270,23.5450
C301,0.1840,0.3610,0.0390,0.9420,0.9360,0.9910,0.1910,0.0430,0.0100,0.0050,3.5890,0.1510,2.1360
C302T309,0.2560,1.2360,0.0730,2.6460,1.8550,0.6510,0.2780,1.8970,0.0160,0.3600,22.7540,0.2330,4.4290
C31T33,1.1420,5.6430,2.5730,2.6810,167.8300,0.6810,6.3310,92.8060,0.1150,3.8590,36.6750,3.7500,24.5760
D,61.6830,749.4610,196.9770,765.5730,6071.9050,227.1730,401.0620,1348.0650,162.9670,61.0060,1577.5780,45.3730,3110.2680
E,23.0360,142.8820,21.5500,88.6320,531.0380,21.2900,15.7910,88.3990,13.5520,1.7230,183.5180,92.3260,999.2220
F,10.0440,55.0170,36.7790,30.7150,208.0150,0.5140,3.9980,52.8650,8.2740,8.4960,353.0720,9.3690,186.6700
G,12.5600,79.8750,7.9940,27.9820,44.5840,33.5000,5.3660,110.6860,5.1220,22.1230,220.8390,39.7510,392.9680
H49,27.7290,176.7170,13.3790,108.5730,298.9000,21.9350,130.2920,89.4610,15.0930,40.7500,500.6190,61.3450,556.7190
H50,20.3480,137.8230,5.2590,17.8850,106.9200,0.8830,15.1020,6.3330,3.2360,2.1610,15.2450,9.6730,199.6990
