"code","description","isic_rev4","ghgfp_code"
"A01","Crop and animal production, hunting and related service activities","01","A01"
"A02","Forestry and logging","02","A02"
"A03","Fishing and aquaculture","03","A03"
"B05","Mining of coal and lignite","05","B05"
"B06","Extraction of crude petroleum and natural gas","06","B06"
"B07","Mining of metal ores","07","B07"
"B08","Other mining and quarrying","08","B08"
"B09","Mining support service activities","09","B09"
"C10T12","Food products, beverages and tobacco","10-12","C10T12"
"C13T15","Textiles, wearing apparel, leather and related products","13-15","C13T15"
"C16","Wood and products of wood and cork (except furniture)","16","C16"
"C17_18","Paper products and printing","17-18","C17_18"
"C19","Coke and refined petroleum products","19","C19"
"C20","Chemicals and chemical products","20","C20"
"C21","Pharmaceuticals, medicinal chemical and botanical products","21","C21"
"C22","Rubber and plastic products","22","C22"
"C23","Other non-metallic mineral products","23","C23"
"C24A","Basic iron and steel and casting of iron and steel","241+2431","C241_2431"
"C24B","Basic precious and other non-ferrous metals and casting","242+2432","C242_2432"
"C25","Fabricated metal products, except machinery and equipment","25","C25"
"C26","Computer, electronic and optical products","26","C26"
"C27","Electrical equipment","27","C27"
"C28","Machinery and equipment n.e.c.","28","C28"
"C29","Motor vehicles, trailers and semi-trailers","29","C29"
"C301","Building of ships and boats","301","C301"
"C302T309","Other transport equipment (railway, air, spacecraft, military, motorcycles)","302-309","C30X301"
"C31T33","Furniture; other manufacturing; repair and installation of machinery","31-33","C31T33"
"D","Electricity, gas, steam and air conditioning supply","35","D"
"E","Water supply; sewerage, waste management and remediation activities","36-39","E"
"F","Construction","41-43","F"
"G","Wholesale and retail trade; repair of motor vehicles and motorcycles","45-47","G"
"H49","Land transport and transport via pipelines","49","H49"
"H50","Water transport","50","H50"
"H51","Air transport","51","H51"
"H52","Warehousing and support activities for transportation","52","H52"
"H53","Postal and courier activities","53","H53"
"I","Accommodation and food service activities","55-56","I"
"J58T60","Publishing, audiovisual and broadcasting activities","58-60","J58T60"
"J61","Telecommunications","61","J61"
"J62_63","IT and other information services","62-63","J62_63"
"K","Financial and insurance activities","64-66","K"
"L","Real estate activities","68","L"
"M","Professional, scientific and technical activities","69-75","M"
"N","Administrative and support service activities","77-82","N"
"O","Public administration and defence; compulsory social security","84","O"
"P","Education","85","P"
"Q","Human health and social work activities","86-88","Q"
"R","Arts, entertainment and recreation","90-93","R"
"S","Other service activities","94-96","S"
"T","Activities of households as employers; undifferentiated own-use activities","97-98","T"
