ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,RUS,CHL,AUS,SGP,TUR,KOR,KAZ,MEA,AFR,LAM,ROW
A01,768.1622,969.0399,280.3478,1011.0899,145.5470,1281.3222,998.6812,1013.6923,994.1161,928.9969,559.0417,519.8808,74.4900,764.9650,578.4575,1564.3543,187.6878,1030.4016,2111.7296,1425.5805
A02,75.5712,705.8838,43.8090,8.8166,127.4871,125.0454,313.9862,44.6834,120.3088,262.4358,97.5209,1224.4047,0.0000,9.0177,45.0869,188.6156,51.4908,102.1098,54.5826,91.3136
A03,369.6691,327.3380,13.0496,247.3155,537.3647,32.7043,263.8587,56.3932,45.7629,372.8995,212.3864,866.2421,1067.3394,187.3850,334.0064,318.7499,299.4537,145.8398,195.0510,166.6891
B05,1830.0118,807.2048,1484.8635,3431.4603,670.9801,1102.8206,226.9581,5173.7862,46.1469,3232.5447,7137.1927,307.1889,0.0000,1621.6502,9415.3992,4496.7830,0.0000,3079.2317,319.6737,1103.6667
B06,452.1217,244.5402,145.3119,199.6663,374.0596,703.0754,482.5307,57.5486,246.4733,572.8417,3871.7749,289.8946,0.0000,1498.6744,7001.8868,498.8113,145.9853,472.3285,589.2196,683.6104
B07,357.3775,119.4157,103.5555,0.0000,9.4392,244.2624,152.7140,95.1352,76.9574,166.5017,127.7109,273.7956,0.0000,23.6776,108.5260,147.4059,4.1983,258.0919,134.9150,163.6709
B08,200.5237,96.2061,179.0977,1408.9053,104.6315,156.9731,461.9381,135.2220,76.7845,171.5557,87.7126,138.0354,0.0000,60.2000,313.9619,499.2892,77.6014,231.6337,175.5585,240.1358
B09,422.2670,117.1605,56.6743,196.5951,9.0651,149.8825,359.5383,36.1957,203.9380,74.7206,161.0836,91.6497,0.0000,10.8176,743.4549,161.2883,79.5470,136.9552,87.4121,147.8781
C10T12,42.6960,44.3802,14.0556,43.6948,31.2904,8.3245,50.4316,15.7722,64.3219,62.7834,76.1640,20.2035,28.9808,83.9129,46.7558,128.0518,96.8986,75.0053,29.3233,55.2488
C13T15,37.5139,99.6359,8.2137,65.0507,186.6708,67.4763,70.0771,4.4714,84.4648,57.8232,144.3958,440.9697,6.5159,81.7193,64.8168,136.4111,60.1529,46.4456,32.0342,31.3320
C16,23.6790,64.2988,18.0158,47.6111,15.5350,44.3922,245.2031,33.7188,84.3052,326.5284,109.2522,10.9391,0.0000,107.6035,62.3277,270.5175,139.4547,79.2442,55.2030,93.6726
C17_18,103.5047,134.6106,128.7957,54.2689,210.4998,106.8773,1150.5297,74.9143,115.4367,172.7680,345.2145,55.6416,38.7952,107.3564,177.4668,316.6998,121.2216,103.9022,130.9544,173.0630
C19,224.7450,132.7502,273.9337,225.3280,288.1915,403.2725,355.9935,511.8145,163.6289,604.5642,327.6302,343.3592,47.4191,463.0398,50.1925,1032.1057,92.3056,705.7509,363.5823,433.6681
C20,179.9598,229.6249,385.5300,150.0349,252.9526,290.1106,413.4387,493.3104,158.2281,1592.4288,50.2797,652.9961,187.4796,172.1284,104.5280,804.8940,961.0422,348.4253,168.0605,658.5593
C21,12.2919,96.5743,10.7469,11.0310,4.0171,133.1993,24.2072,197.6628,222.6544,43.1842,24.2511,90.4042,3.0977,8.6864,1.9463,658.5930,97.0353,124.3848,59.6231,26.4690
C22,20.2945,79.9288,72.4129,76.1725,11.2867,983.9673,32.8454,25.1529,710.5278,112.4695,70.8692,39.2288,14.4174,11.3104,11.2734,408.8841,96.9349,552.8452,79.0474,76.6488
C23,645.9825,579.5672,1297.8670,480.1388,1191.3446,2163.9227,118.4974,413.3825,752.4661,1538.8470,766.4575,532.4682,22.8539,2731.3774,1173.3979,1453.3032,608.1192,1134.1784,1372.7544,1366.9272
C24A,393.9328,287.1280,1082.8169,670.6360,482.8436,1327.8054,681.7616,1890.1927,5519.0870,1271.2039,540.2894,142.0753,123.4027,515.3179,734.1482,2819.2078,539.2237,946.9852,709.2958,995.6260
C24B,93.4102,76.5029,91.4710,157.3962,31.4361,22.7916,82.0759,55.1422,5526.1984,710.0203,26.1648,518.3198,61.4069,348.4762,69.8531,582.2895,331.2195,502.7796,203.9215,262.1991
C25,17.7971,123.3419,20.1893,63.2802,18.4151,58.4254,41.3852,4.7019,92.2085,81.7264,156.3044,10.4361,24.1460,26.3349,52.3889,140.4044,69.8926,82.0596,28.1422,78.3062
C26,8.6307,71.6022,15.2645,18.1635,5.2955,33.4422,6.7918,0.2845,43.1803,21.1770,35.0732,1.0750,10.7497,7.6327,28.3988,136.6162,4.3327,33.0850,6.7076,16.1550
C27,8.5683,85.9776,15.0867,36.9183,3.1576,52.9537,12.4836,1.6695,56.8537,74.1961,71.6397,1.5972,120.9483,20.7857,33.3056,138.2602,77.8630,31.3156,19.6014,43.7894
C28,12.0104,44.4904,18.5297,32.0199,11.9211,51.7108,18.5523,2.8608,87.1079,80.3130,144.7461,26.4251,14.8192,552.6495,37.0890,140.0739,19.3732,63.9679,33.2266,57.8174
C29,8.5953,77.8968,8.8167,10.5619,6.7312,57.2679,10.4182,4.2169,62.3206,39.7145,0.0000,1.9312,11.2747,16.9520,1.1885,72.5844,28.5683,77.4711,23.8127,80.0341
C301,7.4426,74.3532,10.5054,28.0513,10.5334,57.5272,2.1552,4.1108,116.3256,59.2297,45.3935,1.7147,5.7793,57.0806,28.8561,148.1591,39.9165,42.1515,25.5785,37.1473
C302T309,5.7974,74.4266,8.8062,7.2382,9.4307,58.1751,10.0435,4.9736,50.5027,67.1214,120.7460,2.2101,0.1271,28.9245,62.1889,59.9451,8.7679,46.0166,12.3993,53.2079
C31T33,10.6950,118.3283,355.3342,20.9502,23.6959,955.2513,96.5579,4.9891,641.4529,59.8479,72.6541,4.6029,5.6982,16.4242,23.7004,189.9098,22.4592,134.9897,46.1976,50.2033
D,628.3415,2292.1930,4516.8655,211.4163,1978.0332,9094.8743,1143.7744,27.3511,7613.7002,4201.6118,2129.7128,2559.8348,2006.7836,1986.0403,2127.1547,18829.8908,5738.6990,5864.8748,1286.9330,3315.3828
E,393.1846,1189.7242,1783.3871,346.1728,148.0839,2280.5040,93.9905,228.0287,60.2262,3133.8492,1843.2585,389.4915,92.4140,945.1933,850.9297,5464.0999,2025.7927,10207.9370,5508.8557,6000.2691
