ACTIVITY,EU27,USA,CHN,GBR,JPN,IND,CAN,NOR,IDN,RUS,CHL,AUS,SGP,TUR,KOR,KAZ,MEA,AFR,LAM,ROW
A01,449.9500,611.3860,652.1740,48.0550,11.2490,783.5090,73.4360,5.0240,150.7230,135.4040,9.2110,47.2920,0.0080,82.1990,26.0720,36.1310,13.5620,289.0000,925.1820,1922.0180
A02,4.9090,18.6710,7.1620,0.0260,0.5660,6.7140,5.6070,0.0580,1.3330,2.1250,0.2510,3.6840,0.0000,0.0280,0.1390,0.0330,0.0650,1.1210,0.8410,9.0510
A03,5.5880,2.1340,3.5770,0.7040,5.5500,1.5580,1.0250,0.9140,1.6390,4.5270,1.3920,3.6920,0.0550,0.4200,2.5430,0.1330,1.5590,2.9830,2.7960,28.3590
B05,23.5830,32.6930,671.1390,0.8430,0.3500,23.4190,1.3880,0.0780,4.2440,44.4940,0.0090,28.6920,0.0000,5.6770,2.4260,9.2760,0.0000,34.4490,5.7750,56.2950
B06,20.3420,174.6120,49.5310,6.5350,0.4450,16.7160,68.8260,12.8390,19.0650,100.7470,1.0770,25.3950,0.0000,3.2300,0.9760,20.9450,66.5810,68.4940,103.6730,616.0490
B07,7.2750,4.1160,24.5620,0.0000,0.0170,7.5320,5.1050,0.0360,2.0070,1.3530,7.0080,35.2480,0.0000,0.1220,0.0130,2.1060,0.1650,18.6290,15.9600,25.8540
B08,8.8760,5.0900,30.9510,8.0010,0.4920,1.0540,6.4270,0.1980,1.7430,2.0760,0.9160,2.5110,0.0000,0.3410,1.0280,0.5830,2.7350,5.7170,3.3660,27.0490
B09,3.7450,7.4560,2.0760,1.3070,0.0160,2.9730,6.6590,0.5760,1.5040,9.6960,0.1180,1.5390,0.0000,0.0060,0.0140,0.3330,2.2900,1.3220,2.1170,13.0450
C10T12,57.5990,49.9340,30.6530,6.6660,8.4910,2.8530,6.5740,0.5170,14.4460,11.7080,3.2000,1.8430,0.3080,7.4280,6.1370,1.3720,9.1230,18.5510,18.8000,60.2430
C13T15,8.5110,7.2060,15.7580,0.9800,5.3510,15.3240,0.4770,0.0050,5.9270,0.8680,0.2220,1.8280,0.0040,7.0850,4.2970,0.0510,1.2560,2.2500,2.9880,15.3110
