country,region
AGO,AFR
ARE,MEA
ARG,LAM
AUS,AUS
AUT,EU27
BEL,EU27
BGD,ROW
BGR,EU27
BLR,ROW
BRA,LAM
BRN,ROW
CAN,CAN
CHE,ROW
CHL,CHL
CHN,CHN
CIV,AFR
CMR,AFR
COD,AFR
COL,LAM
CRI,LAM
CYP,EU27
CZE,EU27
DEU,EU27
DNK,EU27
EGY,AFR
ESP,EU27
EST,EU27
FIN,EU27
FRA,EU27
GBR,GBR
GRC,EU27
HKG,ROW
HRV,EU27
HUN,EU27
IDN,IDN
IND,IND
IRL,EU27
ISL,ROW
ISR,MEA
ITA,EU27
JOR,MEA
JPN,JPN
KAZ,KAZ
KHM,ROW
KOR,KOR
LAO,ROW
LTU,EU27
LUX,EU27
LVA,EU27
MAR,AFR
MEX,LAM
MLT,EU27
MMR,ROW
MYS,ROW
NGA,AFR
NLD,EU27
NOR,NOR
NZL,ROW
PAK,ROW
PER,LAM
PHL,ROW
POL,EU27
PRT,EU27
ROU,EU27
ROW,ROW
RUS,RUS
SAU,MEA
SEN,AFR
SGP,SGP
STP,AFR
SVK,EU27
SVN,EU27
SWE,EU27
THA,ROW
TUN,AFR
TUR,TUR
TWN,ROW
UKR,ROW
USA,USA
VNM,ROW
ZAF,AFR
