ACTIVITY,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
A01,768.1622,280.3478,969.0399,1011.0899,551.6784,928.9969,1281.3222,764.9650,758.5319,2055.4534,187.6878,1030.4016,1398.7387
A02,75.5712,43.8090,705.8838,8.8166,137.5484,262.4359,125.0454,9.0177,102.3345,60.7286,51.4908,102.1098,161.2285
A03,369.6691,13.0496,327.3380,247.3155,121.3319,372.8995,32.7043,187.3850,164.3655,200.4902,299.4537,145.8398,184.6421
B05,1830.0118,1484.8635,807.2048,3431.4603,0.0000,3232.5447,1102.8206,1621.6503,231.5765,320.1495,0.0000,3079.2316,446.6514
B06,452.1217,145.3119,244.5402,199.6663,6811.3366,572.8417,703.0754,1498.6746,681.6357,594.4010,145.9853,472.3285,508.1285
B07,357.3775,103.5555,119.4157,0.0000,136.3502,166.5017,244.2624,23.6776,45.1856,132.6322,4.1983,258.0919,234.6776
B08,200.5237,179.0977,96.2061,1408.9052,2.4876,171.5557,156.9731,60.2000,270.3603,144.5826,77.6014,231.6337,223.2596
B09,422.2670,56.6743,117.1605,196.5951,25.0713,74.7206,149.8825,10.8176,153.5019,89.5750,79.5470,136.9552,157.5563
C10T12,42.6960,14.0556,44.3802,43.6948,18.3129,62.7834,8.3245,83.9129,56.7747,32.2041,96.8986,75.0053,48.4213
C13T15,37.5139,8.2137,99.6359,65.0507,15.2788,57.8232,67.4763,81.7193,36.5333,33.8562,60.1528,46.4456,65.9941
C16,23.6790,18.0158,64.2988,47.6111,32.3723,326.5284,44.3922,107.6035,88.0140,64.4466,139.4547,79.2442,122.7618
C17_18,103.5047,128.7957,134.6106,54.2689,46.5863,172.7680,106.8773,107.3564,150.7112,149.7332,121.2216,103.9022,316.9984
C19,224.7450,273.9337,132.7502,225.3280,141.6990,604.5642,403.2725,463.0398,223.5855,362.5551,92.3056,705.7509,363.9307
C20,179.9598,385.5300,229.6249,150.0349,32.0642,1592.4288,290.1106,172.1284,199.8105,162.8109,961.0422,348.4253,638.6979
C21,12.2919,10.7469,96.5743,11.0310,0.9731,43.1842,133.1993,8.6864,15.5331,58.5197,97.0353,124.3848,53.6870
C22,20.2945,72.4129,79.9288,76.1725,6.7891,112.4695,983.9673,11.3104,46.3630,78.7612,96.9349,552.8452,146.4519
C23,645.9825,1297.8670,579.5672,480.1388,375.4670,1538.8470,2163.9227,2731.3774,1466.3674,1345.6665,608.1192,1134.1784,952.1398
C24A,393.9328,1082.8169,287.1280,670.6360,61.5222,1271.2039,1327.8054,515.3179,901.1541,706.9204,539.2237,946.9851,751.8639
C24B,93.4102,91.4710,76.5029,157.3962,39.7285,710.0203,22.7916,348.4762,71.8569,201.8253,331.2195,502.7796,402.6909
C25,17.7971,20.1893,123.3419,63.2802,9.7089,81.7264,58.4254,26.3349,58.5235,34.5314,69.8926,82.0596,59.9809
C26,8.6307,15.2645,71.6022,18.1635,2.0025,21.1770,33.4422,7.6327,18.6400,8.7759,4.3327,33.0850,17.1208
C27,8.5683,15.0867,85.9776,36.9183,3.2907,74.1961,52.9537,20.7857,33.0820,20.4651,77.8630,31.3156,26.8833
C28,12.0104,18.5297,44.4904,32.0199,4.9361,80.3130,51.7108,552.6495,41.8334,35.5611,19.3732,63.9679,26.7560
C29,8.5953,8.8167,77.8968,10.5619,6.0883,39.7145,57.2679,16.9520,23.2553,23.8127,28.5683,77.4711,23.4563
C301,7.4426,10.5054,74.3532,28.0513,11.5295,59.2297,57.5272,57.0806,24.4916,27.2607,39.9165,42.1515,30.9233
C302T309,5.7974,8.8062,74.4266,7.2382,5.0626,67.1214,58.1751,28.9245,52.0304,16.0788,8.7679,46.0166,23.4734
C31T33,10.6950,355.3342,118.3283,20.9502,5.3119,59.8479,955.2513,16.4242,33.9169,47.1994,22.4592,134.9897,63.2801
D,628.3415,4516.8655,2292.1930,211.4163,11.8690,4201.6118,9094.8742,1986.0403,2871.9598,1345.3980,5738.6990,5864.8748,3462.5784
E,393.1846,1783.3871,1189.7242,346.1728,936.1849,3133.8492,2280.5040,945.1933,1925.2549,5195.4011,2025.7927,10207.9373,2476.2514
F,23.6906,44.4086,163.1294,21.1732,14.7282,112.9501,78.1206,22.7877,28.2540,44.6129,86.1715,192.5679,58.4718
G,24.0558,16.8320,45.2227,24.0355,6.9168,60.1160,277.9165,67.0044,87.2198,81.5599,74.3083,79.8582,84.7032
H49,222.6633,268.3827,619.8897,308.7113,32.5175,685.0034,365.4969,135.7315,617.8265,434.6722,954.1963,923.1305,737.8605
H50,510.4155,426.7086,230.8976,1003.9568,18.3035,3149.0927,1015.6166,398.7560,459.4967,1120.1522,610.5689,575.7657,502.0393
H51,760.0004,434.5361,768.3267,844.2113,199.4686,1576.0123,1814.7681,202.6293,480.2979,894.4051,1215.3383,757.7380,616.7230
H52,39.9287,77.1169,73.9500,48.5503,10.6270,85.0536,137.8114,45.9937,58.1079,101.5190,82.4830,79.3913,48.5727
H53,53.8090,59.1864,80.6305,65.9356,7.5421,131.5154,98.6363,33.9511,46.2134,135.4887,92.6160,212.5603,94.9829
I,17.8754,15.0857,19.2791,26.4975,20.3426,12.4931,141.0030,54.8038,110.2498,123.0373,90.0305,108.8333,91.6584
J58T60,3.9307,11.8908,14.8802,1.6934,3.8697,19.9488,96.7995,6.1246,17.8768,49.1337,35.5043,42.5003,24.9231
J61,5.2579,10.8623,17.5471,3.5743,1.6090,23.3240,86.0743,3.6113,20.1836,39.8353,37.4011,33.3905,23.2856
J62_63,2.7660,8.1231,15.0176,1.4988,2.4209,2.8131,65.8362,5.4484,15.8195,24.0545,9.5155,37.4181,9.3913
K,3.7773,10.3114,14.5010,0.5189,2.1227,12.2748,55.7825,9.3674,17.2526,29.0570,25.5562,28.4229,17.2129
L,1.9339,8.4385,15.7073,2.0231,1.1572,6.2622,55.7656,6.4097,40.7825,31.9693,47.4357,71.4856,35.2115
M,7.1997,39.6297,20.1075,3.4622,4.0666,27.0518,302.5513,20.1434,31.5528,38.3955,41.6733,62.6605,29.7850
N,18.3816,15.2611,70.5411,10.9884,7.0411,89.7499,157.0821,18.8355,49.2560,67.0009,101.7485,66.6022,69.7450
O,16.0826,15.7817,14.8634,16.3156,13.4970,39.7123,58.9277,31.8019,48.1173,66.7755,29.2703,99.4488,42.3754
P,12.8035,14.3322,18.7031,10.7358,7.6927,20.7338,69.8243,29.3085,56.4866,42.5854,84.5256,94.9475,72.3982
Q,13.1464,7.9984,15.8080,15.8449,8.5669,24.4536,60.1390,24.0324,54.8874,38.7089,82.5894,94.1309,38.3996
R,14.2582,4.5832,23.0374,13.9047,9.2383,33.0843,234.5461,8.1846,54.7174,54.4948,69.3233,28.3508,61.0560
S,23.8237,8.8990,27.2155,12.6046,13.7356,37.3455,159.8821,47.1378,74.0292,70.3100,141.4528,101.8470,99.6449
T,5.1095,0.0000,0.0000,35.9467,0.0000,0.0000,0.0000,142.4902,0.0000,0.0000,0.0000,0.0000,0.9738
