ACTIVITY,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
A01,449.9500,652.1740,611.3860,48.0550,6.8600,135.4040,783.5090,82.1990,303.3650,934.3930,13.5620,289.0000,1961.7280
A02,4.9090,7.1620,18.6710,0.0260,0.1670,2.1250,6.7140,0.0280,3.6180,1.0920,0.0650,1.1210,16.6860
A03,5.5880,3.5770,2.1340,0.7040,0.0090,4.5270,1.5580,0.4200,16.2760,4.1880,1.5590,2.9830,27.6250
B05,23.5830,671.1390,32.6930,0.8430,0.0000,44.4940,23.4190,5.6770,7.3610,5.7840,0.0000,34.4490,95.3880
B06,20.3420,49.5310,174.6120,6.5350,0.0640,100.7470,16.7160,3.2300,58.5460,104.7500,66.5810,68.4940,705.9300
B07,7.2750,24.5620,4.1160,0.0000,0.0070,1.3530,7.5320,0.1220,3.5170,22.9680,0.1650,18.6290,66.8620
B08,8.8760,30.9510,5.0900,8.0010,0.0060,2.0760,1.0540,0.3410,4.6580,4.2820,2.7350,5.7170,35.3670
B09,3.7450,2.0760,7.4560,1.3070,0.0010,9.6960,2.9730,0.0060,1.7740,2.2350,2.2900,1.3220,21.9110
C10T12,57.5990,30.6530,49.9340,6.6660,1.1190,11.7080,2.8530,7.4280,35.7000,22.0000,9.1230,18.5510,63.1120
C13T15,8.5110,15.7580,7.2060,0.9800,0.0630,0.8680,15.3240,7.0850,13.0810,3.2100,1.2560,2.2500,20.1070
C16,4.5040,5.2350,11.1060,0.6710,0.3720,6.4860,0.9750,0.7330,2.8870,1.9350,0.6440,0.9870,18.2710
C17_18,31.8040,81.9170,39.2590,1.6050,0.3050,4.7190,4.8140,1.7270,14.0200,14.0200,2.3710,2.0500,76.8330
C19,131.4010,225.9820,116.9660,12.7280,0.0590,109.2830,91.2620,11.8510,88.6730,101.4390,23.1170,46.7680,197.8540
C20,132.8950,635.7710,146.4430,7.9100,1.2960,104.7560,49.8540,4.1440,97.5760,37.9960,100.3930,15.4410,302.9190
C21,5.8950,5.5520,34.8140,0.4910,0.1440,0.8460,10.8650,0.0450,1.0710,3.7130,1.5370,1.1480,8.3250
C22,7.4950,53.0430,24.2710,2.6040,0.0630,3.0480,80.5770,0.2800,9.4310,8.1630,1.9270,9.0740,37.7600
C23,175.8860,1638.0070,110.1500,11.3820,3.1270,58.0990,206.3910,80.3330,206.4100,109.9920,18.8910,67.7860,195.3980
C24A,132.9520,1506.3870,56.9850,9.6270,0.2550,124.6780,326.4680,22.8680,200.7860,84.9940,7.1730,25.3440,323.9940
C24B,18.5540,82.6290,12.3740,1.4130,0.1250,55.2530,1.7560,4.4310,6.5140,14.3900,6.3800,10.6420,117.9280
C25,11.4320,21.8690,55.9410,3.0220,0.2480,4.8460,3.8590,0.7550,11.8190,3.3680,2.2330,1.6960,18.9760
C26,2.9950,32.6160,35.0530,0.5670,0.1580,0.6620,1.6840,0.0430,22.8470,1.4550,0.2420,0.1890,4.6000
C27,3.3100,18.1220,13.4850,0.7000,0.0720,1.4900,3.8430,0.4820,6.9070,1.6350,1.5770,0.5220,6.6590
C28,9.3620,29.2960,19.8790,1.6290,0.1700,2.3920,5.2300,11.2380,10.8510,4.0490,0.3270,0.8990,12.0780
C29,8.9970,10.7240,57.1400,0.8600,0.0120,2.1740,9.6210,0.5810,7.1440,7.5830,0.3130,3.3920,13.6760
C301,0.3610,0.9360,3.5890,0.1840,0.0020,0.9420,0.0430,0.1000,1.6950,0.1910,0.0440,0.0650,1.4260
C302T309,1.2360,1.8550,22.7540,0.2560,0.0280,2.6460,1.8970,0.0820,2.7210,0.4470,0.0820,0.0930,2.5870
C31T33,5.6430,167.8300,36.6750,1.1420,0.1190,2.6810,92.8060,0.5030,5.4270,5.0100,0.6040,3.0640,27.1580
D,749.4610,6071.9050,1577.5780,61.6830,1.0410,765.5730,1348.0650,138.5900,914.5210,267.2920,365.2380,355.6730,2162.4710
E,142.8820,531.0380,183.5180,23.0360,6.8430,88.6320,88.3990,15.9770,155.6360,224.2680,48.3200,157.2150,557.1950
F,55.0170,208.0150,353.0720,10.0440,1.4560,30.7150,52.8650,4.0350,20.9650,21.8140,25.8070,43.1260,136.8970
G,79.8750,44.5840,220.8390,12.5600,1.8100,27.9820,110.6860,11.6510,116.8850,96.0120,29.3940,23.4980,227.5740
H49,176.7170,298.9000,500.6190,27.7290,1.5530,108.5730,89.4610,15.4360,101.5670,139.1530,46.6730,67.7170,467.4140
H50,137.8230,106.9200,15.2450,20.3480,0.7240,17.8850,6.3330,3.9430,116.0510,16.2410,11.8550,9.9280,77.2710
H51,115.4190,53.1250,194.0750,23.0020,4.1220,34.5880,22.9060,2.5710,56.1120,38.7450,51.2630,11.9550,109.6820
H52,28.2090,22.4160,31.6800,3.8450,0.3140,8.1290,6.5370,1.1420,8.0090,9.3540,2.1710,3.1660,14.9940
H53,8.0900,6.1510,16.6340,2.2330,0.0770,0.8540,1.4480,0.1550,1.7040,2.0890,0.6480,0.9460,6.8680
I,13.8400,11.8600,26.9340,4.0370,0.5440,0.4030,12.3140,2.6490,40.1070,25.2880,8.2590,5.2400,57.7220
J58T60,1.4720,1.3370,14.2430,0.1700,0.0350,0.2960,2.8470,0.0540,1.9900,1.6330,0.7230,1.2910,6.1290
J61,1.7720,4.1540,11.8310,0.2620,0.0290,1.0410,6.7010,0.0690,3.6780,4.2850,2.8550,3.2940,11.0070
J62_63,2.8540,4.0170,20.0860,0.2660,0.1280,0.1480,15.3860,0.0830,3.1040,2.1960,0.7750,1.2970,4.1490
K,5.5960,16.4590,51.1610,0.2410,0.2640,1.6920,16.7880,0.4010,10.8080,10.2780,3.0860,3.3230,19.3270
L,4.0540,10.4400,70.7110,0.9110,0.1160,1.6500,13.5220,0.5010,20.2610,15.8330,9.1370,9.2670,57.3580
M,15.1430,53.2370,65.5240,1.4820,0.5960,4.2430,4.8280,0.6950,11.5900,10.4330,3.5870,4.8230,27.1910
N,23.5590,10.3630,130.4550,2.9240,0.3980,5.2340,21.0050,0.6440,9.3860,12.1970,5.7890,2.6620,39.4400
O,22.4860,18.4320,50.9570,4.1760,1.2760,10.4300,14.7850,2.0630,19.4120,27.1200,8.2720,12.3510,56.0880
P,11.5460,12.6890,32.1240,2.5020,0.0620,1.8350,11.7190,1.2440,16.6930,11.2770,9.1780,8.0880,52.4240
Q,22.6870,5.9930,47.8750,6.1340,0.8140,3.1270,4.1430,0.9880,15.6570,10.5960,9.6770,5.5650,48.3990
R,5.3050,0.7100,9.9190,1.0100,0.2250,1.0570,3.2870,0.1370,5.2850,3.2530,1.6550,1.2570,12.0810
S,9.1970,3.1190,16.4820,0.8190,0.3130,0.8190,9.8910,0.7810,9.3450,7.7500,4.1960,4.2900,31.9920
T,0.2580,0.0000,0.0000,0.1040,0.0000,0.0000,0.0000,0.0320,0.0000,0.0000,0.0000,0.0000,0.0340
