country,region
AGO,AFR
ARE,MEA
ARG,LAM
AUS,ROW
AUT,EU27
BEL,EU27
BGD,RASIA
BGR,EU27
BLR,ROW
BRA,LAM
BRN,RASIA
CAN,ROW
CHE,CHE
CHL,LAM
CHN,CHN
CIV,AFR
CMR,AFR
COD,AFR
COL,LAM
CRI,LAM
CYP,EU27
CZE,EU27
DEU,EU27
DNK,EU27
EGY,AFR
ESP,EU27
EST,EU27
FIN,EU27
FRA,EU27
GBR,GBR
GRC,EU27
HKG,RASIA
HRV,EU27
HUN,EU27
IDN,ROW
IND,IND
IRL,EU27
ISL,ROW
ISR,MEA
ITA,EU27
JOR,MEA
JPN,ROW
KAZ,ROW
KHM,ROW
KOR,RASIA
LAO,ROW
LTU,EU27
LUX,EU27
LVA,EU27
MAR,AFR
MEX,LAM
MLT,EU27
MMR,ROW
MYS,RASIA
NGA,AFR
NLD,EU27
NOR,ROW
NZL,ROW
PAK,ROW
PER,LAM
PHL,RASIA
POL,EU27
PRT,EU27
ROU,EU27
ROW,ROW
RUS,RUS
SAU,MEA
SEN,AFR
SGP,RASIA
STP,AFR
SVK,EU27
SVN,EU27
SWE,EU27
THA,RASIA
TUN,AFR
TUR,TUR
TWN,RASIA
UKR,ROW
USA,USA
VNM,RASIA
ZAF,AFR
