year,RCP1.9,RCP2.6,RCP3.4,RCP4.5,RCP6.0
2005,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0
2020,31.71469,31.68069,21.63314,17.74188999999999,15.47938
2030,95.13056,41.84239,20.10046,12.65402,8.46162
2040,267.57624,52.00433,18.56781,7.56615,1.44383
2050,435.8535,84.70958,30.24501,12.32447,2.35185
2060,709.95942,137.98297,49.26593,20.07526,3.83092
2070,1156.44908,224.75973,80.249,32.70048,6.24016
2080,1883.73369,366.10991,130.71717,53.26563,10.16456
2090,3068.40369,596.35446,212.9245,86.7641,16.557
2100,4998.10628,971.39858,346.83157,141.32958,26.9696
