code,year,value
AFE,2022,287406365.0
AFW,2022,206671012.0
ARB,2022,140926434.0
CSS,2022,1926206.0
CEB,2022,49010307.0
EAR,2022,1392418772.0
EAS,2022,1269404835.0
EAP,2022,1133872291.0
TEA,2022,1116358047.0
EMU,2022,173151313.0
ECS,2022,422936981.0
ECA,2022,87933796.0
TEC,2022,193135029.0
EUU,2022,218967280.0
HPC,2022,338032264.0
IBD,2022,2264999421.0
IBT,2022,2982880327.0
IDB,2022,258601611.0
IDX,2022,459279296.0
IDA,2022,717880906.0
LTE,2022,1232980155.0
LCN,2022,313902849.0
LAC,2022,295239979.0
TLA,2022,307429845.0
LDC,2022,434288561.0
LMY,2022,2884394702.0
MEA,2022,246671299.0
MNA,2022,211962088.0
TMN,2022,210570858.0
MIC,2022,2625500774.0
NAC,2022,190945914.0
OED,2022,689681032.0
OSS,2022,5562778.0
PSS,2022,993737.0
PST,2022,551993981.0
PRE,2022,409691430.0
SST,2022,8482721.0
SAS,2022,661309170.0
TSA,2022,661309170.0
SSF,2022,494077377.0
SSA,2022,494077377.0
TSS,2022,494077377.0
WLD,2022,3599248427.0
AFG,2022,8617545.0
ALB,2022,1261497.0
DZA,2022,13145205.0
ASM,2022,
AND,2022,
AGO,2022,14812783.0
ATG,2022,
ARG,2022,21566906.0
ARM,2022,1399516.0
ABW,2022,
AUS,2022,14230223.0
AUT,2022,4715201.0
AZE,2022,5071753.0
BHS,2022,239500.0
BHR,2022,867174.0
BGD,2022,74651451.0
BRB,2022,151781.0
BLR,2022,4907541.0
BEL,2022,5320892.0
BLZ,2022,170023.0
BEN,2022,6074872.0
BMU,2022,
BTN,2022,384122.0
BOL,2022,6569575.0
BIH,2022,1355798.0
BWA,2022,1065472.0
BRA,2022,106610573.0
VGB,2022,
BRN,2022,230003.0
BGR,2022,3134677.0
BFA,2022,9286105.0
BDI,2022,5691432.0
CPV,2022,216497.0
KHM,2022,9850128.0
CMR,2022,10499324.0
CAN,2022,21462479.0
CYM,2022,
CAF,2022,1901019.0
TCD,2022,5803315.0
CHI,2022,82427.0
CHL,2022,9670728.0
CHN,2022,770113477.0
COL,2022,25828593.0
COM,2022,288181.0
COD,2022,35515220.0
COG,2022,2408846.0
CRI,2022,2504874.0
CIV,2022,11906614.0
HRV,2022,1734995.0
CUB,2022,5005156.0
CUW,2022,
CYP,2022,755975.0
CZE,2022,5369986.0
DNK,2022,3147518.0
DJI,2022,252945.0
DMA,2022,
DOM,2022,5169749.0
ECU,2022,8739737.0
EGY,2022,32394044.0
SLV,2022,2806629.0
GNQ,2022,687104.0
ERI,2022,1624123.0
EST,2022,735699.0
SWZ,2022,406038.0
ETH,2022,51764455.0
FRO,2022,
FJI,2022,379661.0
FIN,2022,2846126.0
FRA,2022,31586796.0
PYF,2022,120561.0
GAB,2022,792686.0
GMB,2022,738066.0
GEO,2022,1863170.0
DEU,2022,43561312.0
GHA,2022,12434883.0
GIB,2022,
GRC,2022,4660376.0
GRL,2022,
GRD,2022,
GUM,2022,76032.0
GTM,2022,7234412.0
GIN,2022,4337819.0
GNB,2022,823140.0
GUY,2022,313338.0
HTI,2022,5073825.0
HND,2022,4209927.0
HKG,2022,3786090.0
HUN,2022,4912669.0
ISL,2022,232189.0
IND,2022,569155867.0
IDN,2022,139637843.0
IRN,2022,27880537.0
IRQ,2022,11408828.0
IRL,2022,2705770.0
IMN,2022,
ISR,2022,4467037.0
ITA,2022,25351560.0
JAM,2022,1544707.0
JPN,2022,68931266.0
JOR,2022,2957476.0
KAZ,2022,9896969.0
KEN,2022,22679572.0
KIR,2022,
PRK,2022,17514243.0
KOR,2022,29201402.0
XKX,2022,
KWT,2022,2756750.0
KGZ,2022,2769026.0
LAO,2022,3446569.0
LVA,2022,962817.0
LBN,2022,1815347.0
LSO,2022,850547.0
LBR,2022,2452391.0
LBY,2022,2516297.0
LIE,2022,
LTU,2022,1509407.0
LUX,2022,334814.0
MAC,2022,386966.0
MDG,2022,15639635.0
MWI,2022,7532800.0
MYS,2022,17730042.0
MDV,2022,264656.0
MLI,2022,8260725.0
MLT,2022,295009.0
MHL,2022,
MRT,2022,1130709.0
MUS,2022,592892.0
MEX,2022,58544385.0
FSM,2022,
MDA,2022,1464574.0
MCO,2022,
MNG,2022,1442982.0
MNE,2022,282083.0
MAR,2022,12170356.0
MOZ,2022,14168284.0
MMR,2022,22343279.0
NAM,2022,1064363.0
NRU,2022,
NPL,2022,8325856.0
NLD,2022,10073395.0
NCL,2022,129375.0
NZL,2022,2932530.0
NIC,2022,3108200.0
NER,2022,10614399.0
NGA,2022,105269418.0
MKD,2022,802703.0
MNP,2022,
NOR,2022,2995482.0
OMN,2022,2381905.0
PAK,2022,80064041.0
PLW,2022,
PAN,2022,2169258.0
PNG,2022,3494880.0
PRY,2022,3391301.0
PER,2022,18756175.0
PHL,2022,49481401.0
POL,2022,18378935.0
PRT,2022,5245513.0
PRI,2022,1180362.0
QAT,2022,1972313.0
ROU,2022,8420718.0
RUS,2022,73531906.0
RWA,2022,5079189.0
WSM,2022,57627.0
SMR,2022,
STP,2022,32567.0
SAU,2022,15469059.0
SEN,2022,5578418.0
SRB,2022,3257209.0
SYC,2022,
SLE,2022,2710522.0
SGP,2022,3459003.0
SXM,2022,
SVK,2022,2791445.0
SVN,2022,1058958.0
SLB,2022,409847.0
SOM,2022,3211325.0
ZAF,2022,24587967.0
SSD,2022,4793498.0
ESP,2022,23770575.0
LKA,2022,8527218.0
KNA,2022,
LCA,2022,101159.0
MAF,2022,
VCT,2022,53833.0
SDN,2022,10949089.0
SUR,2022,245451.0
SWE,2022,5586140.0
CHE,2022,5000225.0
SYR,2022,5706897.0
TJK,2022,2442377.0
TZA,2022,30944597.0
THA,2022,40754371.0
TLS,2022,593922.0
TGO,2022,2744142.0
TON,2022,34733.0
TTO,2022,651121.0
TUN,2022,4232595.0
TUR,2022,35081594.0
TKM,2022,2084340.0
TCA,2022,
TUV,2022,
UGA,2022,21087767.0
UKR,2022,
ARE,2022,6499963.0
GBR,2022,34488684.0
USA,2022,169483435.0
URY,2022,1733922.0
UZB,2022,13993646.0
VUT,2022,111868.0
VEN,2022,10509662.0
VNM,2022,56475416.0
VIR,2022,47986.0
PSE,2022,1391230.0
YEM,2022,7408746.0
ZMB,2022,6905885.0
ZWE,2022,6118687.0
