code,year,value
AFE,2023,7.67654773372157
AFE,2022,7.86947018999245
AFE,2021,8.40741154700022
AFE,2020,7.97430164130982
AFE,2019,7.45910636823544
AFE,2018,7.24484282680541
AFE,2017,7.21491501896869
AFE,2016,7.07442880999326
AFE,2015,6.9309412585873
AFE,2014,6.86242857576034
AFE,2013,6.88972223038428
AFE,2012,7.10873740350119
AFE,2011,7.303350943492
AFE,2010,7.33948885318777
AFE,2009,7.02933493362019
AFE,2008,6.95926232871186
AFE,2007,6.98058891496815
AFE,2006,7.03560059961336
AFE,2005,7.10041371887931
AFE,2004,7.27852246959678
AFE,2003,7.4720424200925
AFE,2002,7.51149338877195
AFE,2001,7.55388452430262
AFE,2000,7.66876829683373
AFW,2023,3.20335496340002
AFW,2022,3.59653801462938
AFW,2021,4.67076109003218
AFW,2020,4.7993062016358
AFW,2019,4.39390284484525
AFW,2018,4.33609979249296
AFW,2017,4.28464574730964
AFW,2016,4.16910166908106
AFW,2015,4.1727731083969
AFW,2014,3.89018286622866
AFW,2013,3.71010995935874
AFW,2012,3.98291438560293
AFW,2011,3.97007365881551
AFW,2010,3.99179170645225
AFW,2009,4.00441257217998
AFW,2008,3.96808904592347
AFW,2007,3.94820495192994
AFW,2006,3.96900207619704
AFW,2005,4.09641162927698
AFW,2004,4.08698904128015
AFW,2003,4.1682062921006
AFW,2002,4.27392083907488
AFW,2001,4.46563029423928
AFW,2000,4.53131047835059
ARB,2023,9.31338863204988
ARB,2022,9.74413095599936
ARB,2021,10.8627489086684
ARB,2020,11.2951503646669
ARB,2019,10.2137182910936
ARB,2018,10.6546406452031
ARB,2017,11.1152019032057
ARB,2016,10.8617161429412
ARB,2015,11.1524464292006
ARB,2014,11.0319261608507
ARB,2013,11.0350018909533
ARB,2012,11.0650966632009
ARB,2011,10.6873951414609
ARB,2010,9.57178825247491
ARB,2009,9.46079216862091
ARB,2008,9.87515901443002
ARB,2007,10.1456780757217
ARB,2006,10.5176425576734
ARB,2005,11.2344112966755
ARB,2004,11.4271164700074
ARB,2003,12.4496966444039
ARB,2002,12.5062276655765
ARB,2001,12.49820212983
ARB,2000,12.6227231888262
CSS,2023,7.51281290895946
CSS,2022,8.29867755889038
CSS,2021,9.71327125079923
CSS,2020,9.95181592662355
CSS,2019,8.21142514691839
CSS,2018,8.59708625490841
CSS,2017,8.24674002522057
CSS,2016,8.52897625860849
CSS,2015,8.22453564269079
CSS,2014,8.61294822432626
CSS,2013,8.87950796126762
CSS,2012,8.99563754734034
CSS,2011,8.82531756416261
CSS,2010,8.80934904598808
CSS,2009,9.18808540593253
CSS,2008,7.8711908829552
CSS,2007,8.1976990614565
CSS,2006,8.69394120180955
CSS,2005,9.98480572264988
CSS,2004,10.2916036767948
CSS,2003,11.5380632882928
CSS,2002,11.3083250951395
CSS,2001,11.1794403357232
CSS,2000,11.7427630641232
CEB,2023,4.01230416616797
CEB,2022,3.96540582731722
CEB,2021,4.44508031221282
CEB,2020,4.3496421220328
CEB,2019,3.76072643211224
CEB,2018,4.29483445753775
CEB,2017,5.27719000843769
CEB,2016,6.47626986745334
CEB,2015,7.81260796234007
CEB,2014,8.87370489824698
CEB,2013,10.076189699493
CEB,2012,10.014837051229
CEB,2011,9.80960842319458
CEB,2010,9.92718738959061
CEB,2009,8.51650875155537
CEB,2008,6.60116715977237
CEB,2007,7.80912922603523
CEB,2006,10.124914494498
CEB,2005,12.0311529429654
CEB,2004,12.8914606604503
CEB,2003,13.2764246828022
CEB,2002,13.9609765303477
CEB,2001,13.4981128132324
CEB,2000,12.1493697321005
EAR,2023,5.11313521249178
EAR,2022,5.64296814018676
EAR,2021,6.74359581980053
EAR,2020,7.36417086549936
EAR,2019,6.30970549335686
EAR,2018,6.77526130131479
EAR,2017,6.71806478492721
EAR,2016,6.7341480328496
EAR,2015,6.79324404164611
EAR,2014,6.61419058154874
EAR,2013,6.67711092742994
EAR,2012,6.70184146782176
EAR,2011,6.60736243902951
EAR,2010,6.69836499671353
EAR,2009,6.88223725605258
EAR,2008,6.76572719306619
EAR,2007,6.8238682430718
EAR,2006,6.88954096317128
EAR,2005,7.11332854467778
EAR,2004,7.18946151700737
EAR,2003,7.29621887458035
EAR,2002,7.39006412287729
EAR,2001,7.1563905809364
EAR,2000,7.07281148454185
EAS,2023,3.86187012642211
EAS,2022,4.10032254258298
EAS,2021,4.06219092494546
EAS,2020,4.29658340250273
EAS,2019,3.82442011949597
EAS,2018,3.75442452697159
EAS,2017,3.87456480348735
EAS,2016,4.00393781457677
EAS,2015,4.08987694775025
EAS,2014,4.02541580416077
EAS,2013,4.05303743028521
EAS,2012,4.0605301268473
EAS,2011,4.13091004622057
EAS,2010,4.22455076502669
EAS,2009,4.47420796985744
EAS,2008,4.38194930101755
EAS,2007,4.30429852915007
EAS,2006,4.351012904116
EAS,2005,4.47463469156014
EAS,2004,4.42980737625595
EAS,2003,4.47961803252938
EAS,2002,4.26557821608325
EAS,2001,3.96606605575514
EAS,2000,3.56333033432491
EAP,2023,3.97712381690091
EAP,2022,4.23491194246921
EAP,2021,4.13328662810016
EAP,2020,4.36943697408605
EAP,2019,3.90432643103478
EAP,2018,3.81235265554938
EAP,2017,3.9216662036523
EAP,2016,4.04312471702124
EAP,2015,4.12458341898818
EAP,2014,4.05030843985024
EAP,2013,4.05506180796151
EAP,2012,4.05276045051969
EAP,2011,4.11479448813573
EAP,2010,4.16370037437203
EAP,2009,4.42509624520043
EAP,2008,4.44442036989862
EAP,2007,4.36462589942474
EAP,2006,4.3836448453094
EAP,2005,4.49019174546575
EAP,2004,4.41127089940087
EAP,2003,4.41684389931735
EAP,2002,4.16950098114092
EAP,2001,3.85578728070638
EAP,2000,3.43334970499077
TEA,2023,3.98514803684521
TEA,2022,4.24711639501186
TEA,2021,4.14006542894987
TEA,2020,4.38103635885362
TEA,2019,3.91155753249547
TEA,2018,3.81860609641702
TEA,2017,3.92821339454137
TEA,2016,4.0503221911626
TEA,2015,4.13377205147225
TEA,2014,4.05853741844698
TEA,2013,4.06245777272466
TEA,2012,4.06044851591873
TEA,2011,4.12377298395066
TEA,2010,4.17487787059342
TEA,2009,4.43923742826889
TEA,2008,4.45880440548548
TEA,2007,4.37680263860099
TEA,2006,4.3960838573092
TEA,2005,4.50383702137591
TEA,2004,4.42310310906886
TEA,2003,4.428076738741
TEA,2002,4.17741336740834
TEA,2001,3.85850449672084
TEA,2000,3.43001128152857
EMU,2023,6.52267389015226
EMU,2022,6.72976967374639
EMU,2021,7.69446992680361
EMU,2020,7.78262585986041
EMU,2019,7.44468187207381
EMU,2018,8.089323082041
EMU,2017,9.01311660134066
EMU,2016,9.98608545604403
EMU,2015,10.8477448563899
EMU,2014,11.6207304139349
EMU,2013,12.0184063277941
EMU,2012,11.4328240980269
EMU,2011,10.2805136631252
EMU,2010,10.1761738210052
EMU,2009,9.57439638727687
EMU,2008,7.50283392231425
EMU,2007,7.52316793797376
EMU,2006,8.4404790481661
EMU,2005,9.16921983218386
EMU,2004,9.348951357228
EMU,2003,9.12146121246139
EMU,2002,8.88672719145059
EMU,2001,8.68043359773922
EMU,2000,9.62410987839098
ECS,2023,5.55238526456095
ECS,2022,5.8460641099346
ECS,2021,6.90011121093882
ECS,2020,7.09507940679226
ECS,2019,6.62369460842729
ECS,2018,6.87656497801786
ECS,2017,7.48554226672131
ECS,2016,8.07810956714781
ECS,2015,8.55823248897774
ECS,2014,8.94532051297809
ECS,2013,9.26791651199215
ECS,2012,9.07096034933149
ECS,2011,8.8511592613399
ECS,2010,9.11732766770857
ECS,2009,9.05895187341576
ECS,2008,7.16897078667497
ECS,2007,7.24696438985174
ECS,2006,8.17297527475334
ECS,2005,8.7318165816003
ECS,2004,9.05651425282142
ECS,2003,9.11346744115473
ECS,2002,9.07870920871455
ECS,2001,9.0564200675213
ECS,2000,9.68483091902418
ECA,2023,7.17961712726961
ECA,2022,7.71538545377934
ECA,2021,8.95407922243149
ECA,2020,9.26814225066227
ECA,2019,9.11807057814077
ECA,2018,8.61159005290134
ECA,2017,8.94336027365094
ECA,2016,9.03756351375215
ECA,2015,8.9610543144391
ECA,2014,8.96073635337147
ECA,2013,8.56358395138192
ECA,2012,8.60097981057876
ECA,2011,8.88391871872232
ECA,2010,9.54059516043394
ECA,2009,10.1856136243961
ECA,2008,8.58123430648126
ECA,2007,8.61312246579108
ECA,2006,9.15632666629247
ECA,2005,9.62072328847468
ECA,2004,10.1363077374344
ECA,2003,10.290974644155
ECA,2002,10.702874375174
ECA,2001,10.6408534193536
ECA,2000,10.7462183942089
TEC,2023,5.0769631792025
TEC,2022,5.62584537984402
TEC,2021,6.78803635122713
TEC,2020,7.20291679357834
TEC,2019,6.70220366105967
TEC,2018,6.64992815855912
TEC,2017,7.09014958895511
TEC,2016,7.43861188713932
TEC,2015,7.60801134268431
TEC,2014,7.62801272694854
TEC,2013,7.69053724382223
TEC,2012,7.63560375277808
TEC,2011,8.10364260938392
TEC,2010,8.67633640799942
TEC,2009,9.09793178837198
TEC,2008,7.37988688857846
TEC,2007,7.59407523011705
TEC,2006,8.7030435256555
TEC,2005,9.31364245463686
TEC,2004,9.96727145258182
TEC,2003,10.3043605492778
TEC,2002,10.5396612637819
TEC,2001,10.7447066639553
TEC,2000,11.0183192610913
EUU,2023,6.02643653344515
EUU,2022,6.16137258045926
EUU,2021,7.02659354012655
EUU,2020,7.05471356704802
EUU,2019,6.67705052747452
EUU,2018,7.24247265095853
EUU,2017,8.13208945121752
EUU,2016,9.1056944627421
EUU,2015,10.0165353301996
EUU,2014,10.8255885011473
EUU,2013,11.3511730368596
EUU,2012,10.8758482088061
EUU,2011,9.92888294564936
EUU,2010,9.87327234610775
EUU,2009,9.21120412957521
EUU,2008,7.24163431745465
EUU,2007,7.5031053820411
EUU,2006,8.68896256105534
EUU,2005,9.63100586720302
EUU,2004,9.86057517861666
EUU,2003,9.70782702151941
EUU,2002,9.5656358156472
EUU,2001,9.20662418982846
EUU,2000,9.6992067646065
HPC,2023,4.19910039388827
HPC,2022,4.43373072825994
HPC,2021,4.93715177073133
HPC,2020,5.02089641432522
HPC,2019,4.32898652284681
HPC,2018,4.33410256985773
HPC,2017,4.36920088303381
HPC,2016,4.36188759881032
HPC,2015,4.42098675547524
HPC,2014,4.29007836108981
HPC,2013,4.27857896799128
HPC,2012,4.56094900790948
HPC,2011,4.74535045997051
HPC,2010,4.78571428120254
HPC,2009,4.57407582008614
HPC,2008,4.5262370792047
HPC,2007,4.54506136589078
HPC,2006,4.59642816898817
HPC,2005,4.68922289072775
HPC,2004,4.85136488879186
HPC,2003,4.99178021799851
HPC,2002,5.03903619896395
HPC,2001,5.07110613621308
HPC,2000,5.14154508627694
IBD,2023,5.11483631019168
IBD,2022,5.56994264084484
IBD,2021,6.31312953704222
IBD,2020,6.95128407575739
IBD,2019,6.06655916125813
IBD,2018,6.28190637378299
IBD,2017,6.39131744182123
IBD,2016,6.41617806380602
IBD,2015,6.30417535482962
IBD,2014,6.16790791106399
IBD,2013,6.18706162531591
IBD,2012,6.18009390756913
IBD,2011,6.26592646975982
IBD,2010,6.38041154792517
IBD,2009,6.61644359608536
IBD,2008,6.30181703865489
IBD,2007,6.33250535472639
IBD,2006,6.51847415278713
IBD,2005,6.7433312220245
IBD,2004,6.81767500872433
IBD,2003,6.97665523180592
IBD,2002,6.90119517399481
IBD,2001,6.68806846107529
IBD,2000,6.5378671665525
IBT,2023,4.95229978677743
IBT,2022,5.38688118322023
IBT,2021,6.14426628538333
IBT,2020,6.61408029513375
IBT,2019,5.76754375212112
IBT,2018,5.91052378397874
IBT,2017,5.97437329582885
IBT,2016,5.9532852798488
IBT,2015,5.89281637093057
IBT,2014,5.72458407935885
IBT,2013,5.76329271095437
IBT,2012,5.80125250741964
IBT,2011,5.80496166155309
IBT,2010,5.89357507981921
IBT,2009,6.10349138905202
IBT,2008,5.84641495837857
IBT,2007,5.86213546063134
IBT,2006,6.01942694309996
IBT,2005,6.23544419009254
IBT,2004,6.31917928815113
IBT,2003,6.47146966831216
IBT,2002,6.42004833349401
IBT,2001,6.25511128517531
IBT,2000,6.13816528121627
IDB,2023,4.36958257524396
IDB,2022,4.7445653467311
IDB,2021,5.813781237265
IDB,2020,5.79415278844651
IDB,2019,5.0804070213856
IDB,2018,4.76275439835545
IDB,2017,4.34851254345894
IDB,2016,3.73137542358032
IDB,2015,4.00215322009935
IDB,2014,3.3801313878636
IDB,2013,3.70433029886193
IDB,2012,4.08486021677751
IDB,2011,3.19533203358853
IDB,2010,3.14320402026914
IDB,2009,3.09853098089253
IDB,2008,3.04378002820466
IDB,2007,3.01249783655869
IDB,2006,3.13594252329219
IDB,2005,3.2286448044491
IDB,2004,3.27695586964826
IDB,2003,3.42217572676054
IDB,2002,3.53946096491474
IDB,2001,3.72882194919706
IDB,2000,3.82333592364451
IDX,2023,4.47548995238531
IDX,2022,4.84575036237372
IDX,2021,5.4758211874645
IDX,2020,5.36883540058505
IDX,2019,4.58715903592676
IDX,2018,4.57603095021492
IDX,2017,4.63010594547981
IDX,2016,4.65649793185176
IDX,2015,4.66516707695412
IDX,2014,4.53885193995517
IDX,2013,4.51023719758888
IDX,2012,4.57527350048646
IDX,2011,4.57016379793951
IDX,2010,4.54322123586762
IDX,2009,4.6806678937123
IDX,2008,4.60439548603495
IDX,2007,4.50752544150733
IDX,2006,4.46410290906953
IDX,2005,4.6516678563648
IDX,2004,4.7859524360758
IDX,2003,4.86883782766902
IDX,2002,4.84933668416053
IDX,2001,4.77529106040507
IDX,2000,4.73287488547404
IDA,2023,4.4365457830767
IDA,2022,4.80930057278539
IDA,2021,5.59743166548829
IDA,2020,5.52030439819486
IDA,2019,4.76341458315545
IDA,2018,4.64268643897519
IDA,2017,4.52920643847786
IDA,2016,4.32363603508757
IDA,2015,4.42667989026364
IDA,2014,4.1251730610122
IDA,2013,4.22340373585698
IDA,2012,4.40051440115524
IDA,2011,4.08445007343374
IDA,2010,4.04830534732675
IDA,2009,4.1230776222485
IDA,2008,4.05687082523928
IDA,2007,3.98489680875933
IDA,2006,4.0014311767834
IDA,2005,4.15643920973113
IDA,2004,4.26095308105496
IDA,2003,4.36679845445489
IDA,2002,4.39538296144678
IDA,2001,4.41300801781456
IDA,2000,4.41879573758311
LTE,2023,4.795456897897
LTE,2022,5.19342173354142
LTE,2021,5.50538471355182
LTE,2020,5.93153762506637
LTE,2019,5.19591640696366
LTE,2018,5.05006029808032
LTE,2017,5.27038544833334
LTE,2016,5.2806539060794
LTE,2015,5.11139944235291
LTE,2014,4.93887259586478
LTE,2013,5.01097351607565
LTE,2012,5.02938218164513
LTE,2011,5.11922021804218
LTE,2010,5.25181815855478
LTE,2009,5.57785428299668
LTE,2008,5.14867990448764
LTE,2007,5.11709007503548
LTE,2006,5.38097826380605
LTE,2005,5.63125210477498
LTE,2004,5.70845578270121
LTE,2003,5.90243541524635
LTE,2002,5.66563235164984
LTE,2001,5.47907914783063
LTE,2000,5.29485034456226
LCN,2023,6.19254754786298
LCN,2022,6.93153207639263
LCN,2021,9.14468412313157
LCN,2020,10.214072797585
LCN,2019,8.00061467672947
LCN,2018,7.93331984460849
LCN,2017,8.02820612705932
LCN,2016,7.73682468877475
LCN,2015,6.67695891386519
LCN,2014,6.18310613899892
LCN,2013,6.37856594564285
LCN,2012,6.42118292240463
LCN,2011,6.71534566285068
LCN,2010,7.21826756521545
LCN,2009,7.81478715032184
LCN,2008,6.83921032197309
LCN,2007,7.22630490484512
LCN,2006,7.61413600233204
LCN,2005,8.23739951394743
LCN,2004,8.75018243421292
LCN,2003,9.25661869657505
LCN,2002,9.38790662648606
LCN,2001,9.04975653454107
LCN,2000,9.4445224692252
LAC,2023,6.06496995571875
LAC,2022,6.83824311969363
LAC,2021,9.08714668261223
LAC,2020,10.1125058323335
LAC,2019,8.0031866353429
LAC,2018,7.9491088470884
LAC,2017,8.06804526490034
LAC,2016,7.76472151764398
LAC,2015,6.6503628849075
LAC,2014,6.11295170625168
LAC,2013,6.33724541486795
LAC,2012,6.35784018295865
LAC,2011,6.63768103519111
LAC,2010,7.13684615492128
LAC,2009,7.67986013495104
LAC,2008,6.7530751478709
LAC,2007,7.18560904807712
LAC,2006,7.55497236157597
LAC,2005,8.18339925036928
LAC,2004,8.70252011336982
LAC,2003,9.20720625106016
LAC,2002,9.33585929151463
LAC,2001,8.98514907364224
LAC,2000,9.43023989036824
TLA,2023,6.26268991297245
TLA,2022,7.01556949606688
TLA,2021,9.26330031941499
TLA,2020,10.355452107179
TLA,2019,8.10633851896146
TLA,2018,8.03589728630349
TLA,2017,8.12865999426483
TLA,2016,7.82039688517988
TLA,2015,6.72924741273479
TLA,2014,6.20935559864304
TLA,2013,6.39401761164224
TLA,2012,6.43477941830029
TLA,2011,6.73516198738484
TLA,2010,7.26042689855492
TLA,2009,7.89406164784247
TLA,2008,6.91574463042059
TLA,2007,7.31214733545694
TLA,2006,7.7076777430645
TLA,2005,8.34365571129642
TLA,2004,8.88029213614675
TLA,2003,9.38382565258049
TLA,2002,9.50084872810719
TLA,2001,9.1432735656305
TLA,2000,9.52894893986909
LDC,2023,4.70150733081641
LDC,2022,5.05335918611166
LDC,2021,5.73711716533604
LDC,2020,5.60086950090988
LDC,2019,4.87497607678154
LDC,2018,4.87754288880162
LDC,2017,4.95341590091408
LDC,2016,4.89297336347609
LDC,2015,4.8279816293117
LDC,2014,4.74956834449145
LDC,2013,4.78988464462384
LDC,2012,4.84635217073716
LDC,2011,4.85771679502528
LDC,2010,4.75811575185378
LDC,2009,4.8829128853627
LDC,2008,4.78702697123613
LDC,2007,4.72894569655668
LDC,2006,4.66764776059219
LDC,2005,4.78646677820371
LDC,2004,4.84650569132879
LDC,2003,4.88937432863617
LDC,2002,4.81408543577446
LDC,2001,4.72380835168631
LDC,2000,4.69058823718314
LMY,2023,4.97693562706687
LMY,2022,5.41429545248604
LMY,2021,6.16482463440876
LMY,2020,6.61993043653694
LMY,2019,5.79766416170734
LMY,2018,5.93231543498439
LMY,2017,5.97968341182999
LMY,2016,5.93516153167366
LMY,2015,5.85653298559457
LMY,2014,5.67803935391165
LMY,2013,5.7005501665021
LMY,2012,5.74186303825936
LMY,2011,5.71399266887495
LMY,2010,5.77935702058715
LMY,2009,5.97569476954537
LMY,2008,5.7950809136433
LMY,2007,5.79597099801048
LMY,2006,5.88469145974764
LMY,2005,6.07307040352156
LMY,2004,6.12111625915839
LMY,2003,6.25409528839094
LMY,2002,6.19417254239003
LMY,2001,5.99852495062941
LMY,2000,5.85095700176626
MEA,2023,7.79272191834479
MEA,2022,8.23898776216766
MEA,2021,9.00366611562493
MEA,2020,9.14819309323363
MEA,2019,8.33082967841649
MEA,2018,8.53535637968998
MEA,2017,8.5198428948238
MEA,2016,8.0751146709309
MEA,2015,8.36498933286657
MEA,2014,7.64519859427481
MEA,2013,7.92975020058705
MEA,2012,8.34766826613965
MEA,2011,7.23452105809906
MEA,2010,6.85675050559872
MEA,2009,6.71404844364157
MEA,2008,6.58386551452509
MEA,2007,6.82070410411982
MEA,2006,7.22108801251314
MEA,2005,7.65760282606948
MEA,2004,7.54776306570901
MEA,2003,8.30300037305323
MEA,2002,8.48914200309222
MEA,2001,8.42943669202
MEA,2000,8.4169385368672
MNA,2023,8.59209919735259
MNA,2022,8.9382675467404
MNA,2021,9.6948074926195
MNA,2020,9.77596723068346
MNA,2019,9.06488013658605
MNA,2018,9.28194998275843
MNA,2017,9.25338345180518
MNA,2016,8.75542082657381
MNA,2015,9.05052035727651
MNA,2014,8.14794947550081
MNA,2013,8.46109583177143
MNA,2012,8.88951819638217
MNA,2011,7.58032093040946
MNA,2010,7.123332390198
MNA,2009,6.94800177686091
MNA,2008,6.84334845869645
MNA,2007,7.01816989858009
MNA,2006,7.39019405991603
MNA,2005,7.84838151626538
MNA,2004,7.69407412818457
MNA,2003,8.52231485976772
MNA,2002,8.74924905373015
MNA,2001,8.72286096614539
MNA,2000,8.71870374230222
TMN,2023,8.59209919735259
TMN,2022,8.83598059809406
TMN,2021,9.58930430798614
TMN,2020,9.67954007701653
TMN,2019,8.96317446023269
TMN,2018,9.1788143786994
TMN,2017,9.15400226751887
TMN,2016,8.66507565229991
TMN,2015,8.96791885955849
TMN,2014,8.07837404021819
TMN,2013,8.39834200288349
TMN,2012,8.83376247941241
TMN,2011,7.52714837608606
TMN,2010,7.05144257493513
TMN,2009,6.88122796682575
TMN,2008,6.76464093439402
TMN,2007,6.96341976204585
TMN,2006,7.33599436897474
TMN,2005,7.79217578193013
TMN,2004,7.62342664414024
TMN,2003,8.45544746199598
TMN,2002,8.66928035849805
TMN,2001,8.66782939884288
TMN,2000,8.70973223936551
MIC,2023,4.96756774789441
MIC,2022,5.42949094564465
MIC,2021,6.19670261206739
MIC,2020,6.69849633442843
MIC,2019,5.86054208956752
MIC,2018,6.00981501156322
MIC,2017,6.05518297615024
MIC,2016,6.01421235038408
MIC,2015,5.93705456165038
MIC,2014,5.75311900107613
MIC,2013,5.77644112078398
MIC,2012,5.80334478008198
MIC,2011,5.78106658586154
MIC,2010,5.85407842097449
MIC,2009,6.07794731544178
MIC,2008,5.87208459437414
MIC,2007,5.88198217147033
MIC,2006,5.97972371507844
MIC,2005,6.18100517194098
MIC,2004,6.21906740046783
MIC,2003,6.34937695144509
MIC,2002,6.2794627269579
MIC,2001,6.06529717812631
MIC,2000,5.90554769116785
NAC,2023,3.8406106523085
NAC,2022,3.83310095020415
NAC,2021,5.59210953628448
NAC,2020,8.2305997250471
NAC,2019,3.890566885067
NAC,2018,4.10721129091519
NAC,2017,4.57971738602629
NAC,2016,5.10340701910414
NAC,2015,5.4606408215288
NAC,2014,6.26083245211775
NAC,2013,7.34976348971497
NAC,2012,7.99588953313322
NAC,2011,8.80784798616693
NAC,2010,9.47758645184374
NAC,2009,9.16994852137916
NAC,2008,5.83652846325955
NAC,2007,4.78243165759455
NAC,2006,4.81614136114576
NAC,2005,5.25750859640354
NAC,2004,5.70124819512877
NAC,2003,6.15326151532504
NAC,2002,5.97486412366027
NAC,2001,4.97961964201139
NAC,2000,4.27316817166147
OED,2023,4.82631374195204
OED,2022,4.99493064713263
OED,2021,6.19605024177905
OED,2020,7.15007422562512
OED,2019,5.38695191058807
OED,2018,5.47444010714932
OED,2017,5.9177915757262
OED,2016,6.43777999780825
OED,2015,6.86087280016011
OED,2014,7.41355981597454
OED,2013,8.00520155093803
OED,2012,8.1052243905592
OED,2011,8.12208995143807
OED,2010,8.5207939102318
OED,2009,8.38089327283664
OED,2008,6.20560204861274
OED,2007,5.88940261869547
OED,2006,6.34618116260618
OED,2005,6.8314671013283
OED,2004,7.17441119702139
OED,2003,7.27483771000377
OED,2002,7.13987676171849
OED,2001,6.61732244402856
OED,2000,6.71100200632985
OSS,2023,8.44487902544127
OSS,2022,9.01147513544492
OSS,2021,9.49668399234599
OSS,2020,9.99575648409841
OSS,2019,8.37803693303246
OSS,2018,8.78845724438525
OSS,2017,9.26010688179757
OSS,2016,9.69565767751643
OSS,2015,9.99952511697503
OSS,2014,10.4617084896957
OSS,2013,10.7696689681663
OSS,2012,10.5345766634014
OSS,2011,10.5303011113759
OSS,2010,11.1281009935269
OSS,2009,10.7283220301547
OSS,2008,8.87238702238271
OSS,2007,9.04975553505642
OSS,2006,9.68343911516973
OSS,2005,10.5021202220473
OSS,2004,10.6266524019735
OSS,2003,10.6409211857421
OSS,2002,10.2407776645491
OSS,2001,10.9398104204621
OSS,2000,11.0177711399269
PSS,2023,3.52057525691559
PSS,2022,3.60681620269367
PSS,2021,3.35468526106548
PSS,2020,3.30655660526839
PSS,2019,3.32798136589447
PSS,2018,3.35231302156857
PSS,2017,3.40034043733734
PSS,2016,3.36311039358415
PSS,2015,3.37020462675283
PSS,2014,3.39737128470569
PSS,2013,3.42532155080918
PSS,2012,3.54707816512722
PSS,2011,3.44436830760268
PSS,2010,3.50675202326758
PSS,2009,3.60850865304197
PSS,2008,3.66517406587763
PSS,2007,3.76264674833736
PSS,2006,3.81456389998427
PSS,2005,3.8404573462192
PSS,2004,4.3406725276094
PSS,2003,4.51420593104194
PSS,2002,4.61174676237171
PSS,2001,4.51782547170457
PSS,2000,4.40485764939109
PST,2023,4.46960383607434
PST,2022,4.52602226819937
PST,2021,5.80602995350964
PST,2020,6.72548575920498
PST,2019,4.93863793927205
PST,2018,5.29340998979908
PST,2017,5.85021474599449
PST,2016,6.41054588620563
PST,2015,6.88380194224391
PST,2014,7.46206202944811
PST,2013,8.01055138462552
PST,2012,8.11703125262048
PST,2011,8.06019449389029
PST,2010,8.34726962592943
PST,2009,8.07274225977277
PST,2008,5.90228542517582
PST,2007,5.57196004328002
PST,2006,5.994063325313
PST,2005,6.4091008362879
PST,2004,6.67204910657906
PST,2003,6.86199228387437
PST,2002,6.77664467622594
PST,2001,6.38359327702813
PST,2000,6.53699120304108
PRE,2023,4.65198898265421
PRE,2022,4.97495099823102
PRE,2021,5.76848661848567
PRE,2020,5.89078404749377
PRE,2019,5.38924122021237
PRE,2018,5.32927480343501
PRE,2017,5.2669199218143
PRE,2016,5.00843089695962
PRE,2015,4.92874848701502
PRE,2014,4.85956498950861
PRE,2013,4.86973350643787
PRE,2012,5.06492902606905
PRE,2011,5.14866591361225
PRE,2010,5.09524000558138
PRE,2009,4.90149804162028
PRE,2008,4.86836540696563
PRE,2007,4.87191262111388
PRE,2006,4.90998713639371
PRE,2005,4.93387732610229
PRE,2004,4.96212948847294
PRE,2003,5.04587122100171
PRE,2002,5.0724611452453
PRE,2001,5.12153810037018
PRE,2000,5.13391983978484
SST,2023,7.66141080204045
SST,2022,8.21647080688741
SST,2021,8.82676059647368
SST,2020,9.20499420465331
SST,2019,7.75168865751208
SST,2018,8.10689854999494
SST,2017,8.32778127632623
SST,2016,8.66740053405155
SST,2015,8.78391504425952
SST,2014,9.17019543151895
SST,2013,9.42789036106017
SST,2012,9.31406963085983
SST,2011,9.25275015749216
SST,2010,9.64092506344516
SST,2009,9.49383006346729
SST,2008,8.00243712798649
SST,2007,8.20829015972595
SST,2006,8.74041678886564
SST,2005,9.58922696945574
SST,2004,9.79947038236949
SST,2003,10.1507838382451
SST,2002,9.84688576834024
SST,2001,10.2393243248864
SST,2000,10.4220070497304
SAS,2023,4.16220090187648
SAS,2022,4.86631704704624
SAS,2021,6.33048938390488
SAS,2020,7.62561175204578
SAS,2019,6.30644937347767
SAS,2018,7.28140399591901
SAS,2017,7.24969569674111
SAS,2016,7.25080318686175
SAS,2015,7.27349261228767
SAS,2014,7.29419854752289
SAS,2013,7.31372620028363
SAS,2012,7.23720359721905
SAS,2011,7.17458097714582
SAS,2010,7.16328861819797
SAS,2009,7.3628078548039
SAS,2008,7.29504082041586
SAS,2007,7.2019977638481
SAS,2006,7.16089355787342
SAS,2005,7.24801932806737
SAS,2004,7.30632128284372
SAS,2003,7.33330344756806
SAS,2002,7.34580672778149
SAS,2001,7.23245898235974
SAS,2000,7.17647475389305
TSA,2023,4.16220090187648
TSA,2022,4.86631704704624
TSA,2021,6.33048938390488
TSA,2020,7.62561175204578
TSA,2019,6.30644937347767
TSA,2018,7.28140399591901
TSA,2017,7.24969569674111
TSA,2016,7.25080318686175
TSA,2015,7.27349261228767
TSA,2014,7.29419854752289
TSA,2013,7.31372620028363
TSA,2012,7.23720359721905
TSA,2011,7.17458097714582
TSA,2010,7.16328861819797
TSA,2009,7.3628078548039
TSA,2008,7.29504082041586
TSA,2007,7.2019977638481
TSA,2006,7.16089355787342
