code,year,value
AFE,2022,7.86947018999245
AFW,2022,3.59653801462938
ARB,2022,9.74413095599936
CSS,2022,8.29867755889038
CEB,2022,3.96540582731722
EAR,2022,5.64296814018676
EAS,2022,4.10032254258298
EAP,2022,4.23491194246921
TEA,2022,4.24711639501186
EMU,2022,6.72976967374639
ECS,2022,5.8460641099346
ECA,2022,7.71538545377934
TEC,2022,5.62584537984402
EUU,2022,6.16137258045926
HPC,2022,4.43373072825994
IBD,2022,5.56994264084484
IBT,2022,5.38688118322023
IDB,2022,4.7445653467311
IDX,2022,4.84575036237372
IDA,2022,4.80930057278539
LTE,2022,5.19342173354142
LCN,2022,6.93153207639263
LAC,2022,6.83824311969363
TLA,2022,7.01556949606688
LDC,2022,5.05335918611166
LMY,2022,5.41429545248604
MEA,2022,8.23898776216766
MNA,2022,8.9382675467404
TMN,2022,8.83598059809406
MIC,2022,5.42949094564465
NAC,2022,3.83310095020415
OED,2022,4.99493064713263
OSS,2022,9.01147513544492
PSS,2022,3.60681620269367
PST,2022,4.52602226819937
PRE,2022,4.97495099823102
SST,2022,8.21647080688741
SAS,2022,4.86631704704624
TSA,2022,4.86631704704624
SSF,2022,6.08211610820712
SSA,2022,6.08211610820711
TSS,2022,6.08211610820711
WLD,2022,5.23462796913747
AFG,2022,14.1
ALB,2022,10.785
DZA,2022,12.382
ASM,2022,
AND,2022,
AGO,2022,14.124
ATG,2022,
ARG,2022,6.805
ARM,2022,13.451
ABW,2022,
AUS,2022,3.728
AUT,2022,4.992
AZE,2022,5.65
BHS,2022,9.25
BHR,2022,1.265
BGD,2022,4.593
BRB,2022,7.261
BLR,2022,3.574
BEL,2022,5.57
BLZ,2022,8.682
BEN,2022,1.685
BMU,2022,
BTN,2022,5.947
BOL,2022,3.552
BIH,2022,12.657
BWA,2022,23.615
BRA,2022,9.231
VGB,2022,
BRN,2022,5.191
BGR,2022,4.148
BFA,2022,3.828
BDI,2022,0.909
CPV,2022,12.239
KHM,2022,0.245
CMR,2022,3.646
CAN,2022,5.279
CYM,2022,
CAF,2022,6.287
TCD,2022,1.081
CHI,2022,5.923
CHL,2022,8.249
CHN,2022,4.98
COL,2022,10.541
COM,2022,3.879
COD,2022,4.54
COG,2022,20.131
CRI,2022,11.325
CIV,2022,2.31
HRV,2022,6.811
CUB,2022,1.829
CUW,2022,
CYP,2022,6.806
CZE,2022,2.224
DNK,2022,4.434
DJI,2022,26.272
DMA,2022,
DOM,2022,5.504
ECU,2022,3.713
EGY,2022,6.546
SLV,2022,2.999
GNQ,2022,8.334
ERI,2022,6.033
EST,2022,5.571
SWZ,2022,36.472
ETH,2022,3.386
FRO,2022,
FJI,2022,5.403
FIN,2022,6.719
FRA,2022,7.303
PYF,2022,11.793
GAB,2022,20.319
GMB,2022,6.067
GEO,2022,11.621
DEU,2022,3.137
GHA,2022,2.87
GIB,2022,
GRC,2022,12.426
GRL,2022,
GRD,2022,
GUM,2022,5.383
GTM,2022,3.051
GIN,2022,5.174
GNB,2022,2.666
GUY,2022,11.907
HTI,2022,14.54
HND,2022,8.774
HKG,2022,4.318
HUN,2022,3.583
ISL,2022,3.789
IND,2022,4.822
IDN,2022,3.462
IRN,2022,9.085
IRQ,2022,15.41
IRL,2022,4.465
IMN,2022,
ISR,2022,3.695
ITA,2022,8.069
JAM,2022,4.083
JPN,2022,2.614
JOR,2022,18.2
KAZ,2022,4.86
KEN,2022,5.565
KIR,2022,
PRK,2022,3.457
KOR,2022,2.857
XKX,2022,
KWT,2022,2.133
KGZ,2022,4.767
LAO,2022,1.209
LVA,2022,6.815
LBN,2022,11.105
LSO,2022,16.623
LBR,2022,2.956
LBY,2022,19.238
LIE,2022,
LTU,2022,5.955
LUX,2022,4.588
MAC,2022,2.446
MDG,2022,3.186
MWI,2022,5.02
MYS,2022,3.93
MDV,2022,4.303
MLI,2022,2.387
MLT,2022,3.471
MHL,2022,
MRT,2022,10.52
MUS,2022,6.322
MEX,2022,3.256
FSM,2022,
MDA,2022,0.909
MCO,2022,
MNG,2022,5.954
MNE,2022,14.851
MAR,2022,9.413
MOZ,2022,6.789
MMR,2022,3.063
NAM,2022,19.615
NRU,2022,
NPL,2022,10.661
NLD,2022,3.526
NCL,2022,10.71
NZL,2022,3.299
NIC,2022,4.969
NER,2022,0.403
NGA,2022,3.827
MKD,2022,14.476
MNP,2022,
NOR,2022,3.231
OMN,2022,3.3
PAK,2022,5.291
PLW,2022,
PAN,2022,8.086
PNG,2022,2.689
PRY,2022,6.755
PER,2022,4.291
PHL,2022,2.598
POL,2022,2.811
PRT,2022,6.138
PRI,2022,6.0
QAT,2022,0.13
ROU,2022,5.614
RUS,2022,3.867
RWA,2022,15.084
WSM,2022,5.048
SMR,2022,
STP,2022,8.964
SAU,2022,5.589
SEN,2022,2.837
SRB,2022,8.439
SYC,2022,
SLE,2022,3.137
SGP,2022,3.591
SXM,2022,
SVK,2022,6.143
SVN,2022,4.011
SLB,2022,1.475
SOM,2022,19.112
ZAF,2022,33.268
SSD,2022,12.475
ESP,2022,13.033
LKA,2022,4.528
KNA,2022,
LCA,2022,15.934
MAF,2022,
VCT,2022,19.277
SDN,2022,7.53
SUR,2022,7.973
SWE,2022,7.417
CHE,2022,4.122
SYR,2022,13.245
TJK,2022,7.051
TZA,2022,1.573
THA,2022,0.94
TLS,2022,1.537
TGO,2022,1.965
TON,2022,2.002
TTO,2022,4.383
TUN,2022,15.3
TUR,2022,10.465
TKM,2022,4.017
TCA,2022,
TUV,2022,
UGA,2022,2.885
UKR,2022,
ARE,2022,2.872
GBR,2022,3.768
USA,2022,3.65
URY,2022,7.877
UZB,2022,4.456
VUT,2022,5.077
VEN,2022,5.646
VNM,2022,1.57
VIR,2022,12.092
PSE,2022,24.42
YEM,2022,17.224
ZMB,2022,5.993
ZWE,2022,10.087
