model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,57786.1145249449
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,54667.1470280902
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,46053.0114342426
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,39660.0991902874
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,33359.7594730165
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,27186.1419791943
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,21824.2154544446
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,17673.654173654
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,15242.5530933103
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,11160.5426183191
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,7669.77042647889
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,6593.35840665712
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,6396.49363850509
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,14808.68778448484
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,12763.65517840661
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,10791.9394439466
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,9157.010763570755
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,7480.985153648502
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,5964.501051841954
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,4477.622260731487
