model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2030,49.92895016671864
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2035,54.82740240398467
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2040,66.42231247751546
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2045,88.03603456865083
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2050,112.0247431750156
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2055,128.5972538603799
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2060,156.2863147227882
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2070,251.7522015186518
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2080,386.5107772648543
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2090,279.8100906579618
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2100,259.787695486771
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2030,48.16452539565837
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2035,54.66640360050627
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2040,66.3122277444039
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2045,89.71848003388153
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2050,114.3383757638976
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2055,128.5465637307495
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2060,176.804820065587
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2070,253.0147444513138
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2080,377.233111877864
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2090,281.7169051302764
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2100,257.160396452751
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2030,51.11605647826963
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2035,54.33386203849396
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2040,68.32396058625658
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2045,86.56061218089266
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2050,111.2494074979753
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2055,126.3925349270114
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2060,150.7369422648653
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2070,252.0751093234448
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2080,399.6971376854239
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2090,276.7141134622331
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2100,266.125638868152
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2030,50.4759145494823
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2035,53.2624480578507
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2040,64.091411249784
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2045,89.4666163199864
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2050,111.608599492251
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2055,134.342635104345
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2060,144.536037812015
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2070,250.137109445126
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2080,383.465675429901
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2090,287.5726077633
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2100,249.534542788025
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2030,51.1175025672232
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2035,59.6565932957838
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2040,61.4832994876871
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2045,85.0813897666943
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2050,113.467129256766
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2055,134.058296492075
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2060,145.045683341937
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2070,250.903809360275
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2080,378.990206404788
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2090,282.37065976704
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2100,253.053799151723
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2025,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2030,49.61657225823234
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2035,54.80524689369355
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2040,64.50351176982753
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2045,89.99130368925704
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2050,110.0348804864517
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2055,130.3760846776646
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2060,151.045412086538
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2070,250.4724250408273
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2080,375.4211007656711
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2090,280.8019982809662
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2100,257.304667705338
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2020,0.0
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2025,0.0
