model,scenario,region,variable,unit,year,value
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2025,5.58736059475701
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2030,76.6763250306005
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2035,128.239410129065
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2040,184.564185720052
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2045,251.455475915804
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2050,344.266450545451
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2055,455.916030548697
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2060,626.409212266412
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2065,826.138426923069
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2070,987.15501385592
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2075,1292.85986233606
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2080,1078.44117991557
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2085,937.538850379456
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2090,852.040629579564
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2095,804.899303162976
GCAM 6.0 NGFS,Below 2?C,World,Price|Carbon,US$2010/t CO2,2100,768.683735624989
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2025,5.143200160020323
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2030,83.18728393568615
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2035,130.062339265736
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2040,203.0102911873687
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2045,290.4617728019196
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2050,401.7260948346241
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2055,473.1873011188584
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2060,638.9837862961648
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2065,900.3250142398132
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2070,1025.518744829531
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2075,1320.384421798671
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2080,1074.584305129044
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2085,925.8965269341004
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2090,831.7082772482964
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2095,773.9487970602033
GCAM 6.0 NGFS,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2100,724.7179736852211
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2025,4.3410479196547165
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2030,70.55162097913426
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2035,113.6712171970026
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2040,154.7898168486964
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2045,207.5245091836533
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2050,292.5007433294753
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2055,445.3051721861126
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2060,644.9817676010455
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2065,824.4060061409684
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2070,995.3888067454212
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2075,1312.468871299637
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2080,1103.044136439066
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2085,953.1674466519312
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2090,868.4130100193203
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2095,827.2993986887141
GCAM 6.0 NGFS,Below 2?C,Asia (R5),Price|Carbon,US$2010/t CO2,2100,797.2247124002947
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2025,8.636251738903981
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2030,69.80955433810189
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2035,137.9389041612471
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2040,206.6064313333276
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2045,279.807942879318
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2050,371.3765094774963
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2055,451.2898164278661
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2060,592.4576975241109
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2065,796.9139256715191
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2070,975.0868288082792
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2075,1280.214032442552
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2080,1072.613263354657
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2085,941.355668789853
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2090,858.5102532013881
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2095,809.9142923738832
GCAM 6.0 NGFS,Below 2?C,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,2100,771.0135450400018
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2025,7.966997379564567
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2030,94.8259178454436
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2035,169.7237449817645
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2040,240.4233365905417
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2045,311.4735273953068
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2050,406.6934439677326
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2055,495.9607942557279
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2060,645.6990176919736
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2065,854.5433587963497
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2070,1004.766379325645
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2075,1316.738923385594
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2080,1097.238516929752
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2085,956.938193506617
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2090,862.7488178068525
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2095,805.0827002823286
GCAM 6.0 NGFS,Below 2?C,Latin America (R5),Price|Carbon,US$2010/t CO2,2100,761.5651602292661
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2025,7.8526962446064354
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2030,70.70680168222286
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2035,141.4246919769674
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2040,204.8607026655591
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2045,276.019352470892
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2050,361.691384792549
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2055,440.1759022837957
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2060,566.1737559031634
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2065,740.5282908883507
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2070,925.6732297187584
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2075,1224.189079465616
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2080,1033.771078573003
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2085,913.8659491664174
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2090,837.8391869228075
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2095,794.4787590452809
GCAM 6.0 NGFS,Below 2?C,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,2100,762.1560981746389
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2020,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2025,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2030,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2035,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2040,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2045,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2050,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2055,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2060,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2065,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2070,0.0
GCAM 6.0 NGFS,Current Policies,World,Price|Carbon,US$2010/t CO2,2075,0.0
