model,scenario,region,variable,unit,year,value
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2020,11.170512416
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2025,18.41418208
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2030,32.113372592
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2035,48.73467300800001
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2040,70.01633620800001
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2045,98.08985558400002
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2050,135.003447264
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2055,156.0307336
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2060,177.039858128
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2070,219.163271264
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2080,260.945616176
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2090,302.7307782239999
REMIND-MAgPIE 3.3-4.8,Below 2?C,World,Price|Carbon,US$2010/t CO2,2100,344.5397873120001
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2020,23.32083148872387
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2025,28.45563187340313
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2030,49.32332924941866
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2035,71.41018393390632
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2040,93.5232241879004
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2045,115.7207138016164
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2050,138.0893608190827
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2055,158.9239199072394
REMIND-MAgPIE 3.3-4.8,Below 2?C,OECD & EU (R5),Price|Carbon,US$2010/t CO2,2060,179.6859702463674
