model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040741337956348
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.150794721061966
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.237332473667856
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.32492132533728
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.367096131940206
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.387521691611748
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.40964857040714
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.412011047837071
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.416108690890663
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.391594385679848
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.384527607034458
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.354897141769065
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.338327237670128
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.318625705683223
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.298571170395123
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.288805967543592
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2?C,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.264614319856562
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040679910625216
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.1517271188949
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.227075117695329
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.320791735828785
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.3967982173836662
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.46927394934091
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.560803471937216
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.6243069732119122
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.697043228223174
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.759032889386643
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.827852053620978
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.8639983275041532
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.91999910210657
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.9712487530604241
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,2.016098502573325
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,2.077771576813652
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,2.134760786785748
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040827654166664
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.150090412414501
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2030,1.227944846749923
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2035,1.334719244818833
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2040,1.396160143502496
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2045,1.4321540718243781
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2050,1.457075663398046
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2055,1.46343548175579
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2060,1.4688375801396392
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2065,1.447998347386004
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2070,1.440063714541724
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2075,1.4126455891145722
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2080,1.39489846059501
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2085,1.374964788086256
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2090,1.353618549318164
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2095,1.337574230061304
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2100,1.31182236361905
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2020,1.040734373932213
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,K,2025,1.149907842881559
