region,ndgain,coverage_members,members,ndgain_year,scale
EU27,0.3282,27,27,2024,0.9242
USA,0.3169,1,1,2024,0.8923
CHN,0.3941,1,1,2024,1.1098
GBR,0.2815,1,1,2024,0.7927
JPN,0.3531,1,1,2024,0.9943
IND,0.4749,1,1,2024,1.3371
CAN,0.2824,1,1,2024,0.7953
NOR,0.2635,1,1,2024,0.7419
IDN,0.4309,1,1,2024,1.2134
RUS,0.3098,1,1,2024,0.8724
CHL,0.3466,1,1,2024,0.9759
AUS,0.3001,1,1,2024,0.8452
SGP,0.3795,1,1,2024,1.0686
TUR,0.3958,1,1,2024,1.1144
KOR,0.3559,1,1,2024,1.0021
KAZ,0.3550,1,1,2024,0.9997
MEA,0.4296,4,4,2024,1.2098
AFR,0.4760,11,11,2024,1.3402
LAM,0.3921,6,6,2024,1.1042
ROW,0.4147,15,18,2024,1.1678
