year,RCP1.9,RCP2.6,RCP3.4,RCP4.5,RCP6.0
2005,0.91338626,0.91338626,0.91338626,0.91338626,0.91338626
2010,0.98904799,0.9890734,0.98904946,0.98902735,0.9890179
2020,1.2414338,1.2412716,1.2420732,1.2422663,1.2423028
2030,1.5022073,1.4924332,1.4923678,1.4859884,1.4818519
2040,1.6273789,1.6967989,1.7374785,1.7431921,1.7543369
2050,1.6447602,1.809846,1.9187555,1.9664936,2.0254249
2060,1.6167484,1.8532355,2.0505319,2.1541523,2.2866024
2070,1.569317,1.8615285,2.1442703,2.3176377,2.5453645
2080,1.503767,1.8444342,2.200498,2.4586262,2.7860187
2090,1.424558,1.8070194,2.2207681,2.5667237,3.0114556
2100,1.3368769,1.7546334,2.2124152,2.6290866,3.2293392
