scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-0.0019201244780846492,-0.2578332978665063,-0.26120339916008023,-0.27545914730646154,-0.3042498741188715
Below 2?C,USA,-0.003554165433238848,-0.381701702369809,-0.39261188831606203,-0.4154255715587819,-0.4580795334887851
Below 2?C,CHN,-0.000865006195245957,-0.4056025527283627,-0.37124234374057996,-0.3906089185602585,-0.401014149484392
Below 2?C,GBR,-0.001082874837071635,-0.10055562860563348,-0.10424677567798786,-0.11216409892702156,-0.12418801498925706
Below 2?C,JPN,-0.005310965657621076,-0.8465846067439833,-0.85023011315942,-0.8893308538641254,-0.9755859052913254
Below 2?C,IND,-0.005465936453106901,-1.9357666737738457,-1.7898949520446545,-1.8957324278206171,-1.964045832826302
Below 2?C,CAN,-0.0017793624733948865,-0.22453468208525904,-0.22817170449459895,-0.23986085645520042,-0.2634060790536513
Below 2?C,NOR,-0.001542946435495654,-0.08220434601518735,-0.09002732726284245,-0.10127879547165146,-0.11385168327640996
Below 2?C,IDN,-0.005035622529370182,-1.221049084575823,-1.137529863861581,-1.2155313223112887,-1.2596847611842357
Below 2?C,RUS,-0.004951235722724201,-1.993086825538819,-1.8764626851700144,-1.9250518753447121,-2.203028099464596
Below 2?C,CHL,-0.005552171930407543,-1.0059229745131948,-0.9919170716121208,-0.8895189438549709,-0.9523590837803906
Below 2?C,AUS,-0.001022014285024945,-0.14733085317401878,-0.14858782371755286,-0.1558342980964551,-0.17066135746011168
Below 2?C,SGP,-0.0010716202406974677,-0.22964438293833464,-0.2213582140740657,-0.23389329040781182,-0.25022748054421845
Below 2?C,TUR,-0.005994227086476033,-1.704302422485675,-1.7866527544827533,-1.9668867341804008,-2.359499207882717
Below 2?C,KOR,-0.0032766786068625484,-0.9219170435130306,-0.8656134323867679,-0.9152824998928786,-0.9604604152456339
Below 2?C,KAZ,-0.005801736110861137,-1.8077623543768937,-1.712562484592637,-1.7668059209848799,-2.022257863115227
Below 2?C,MEA,-0.007126924250096299,-1.0250905598960809,-1.1052617517350873,-1.2454835760220087,-1.498581380834389
Below 2?C,AFR,-0.00783600022949295,-1.451493340974714,-1.563708565314103,-1.7560003099457624,-2.1310022137053526
Below 2?C,LAM,-0.00616940540970399,-1.3438646101789962,-1.3180610038833462,-1.153675872296651,-1.2322661887109816
Below 2?C,ROW,-0.006880006911190161,-2.021466866027308,-1.9616222383220971,-2.048817393038142,-2.232761192414688
Current Policies,EU27,-0.0019207053167042912,-0.013636256392799657,-0.029800414717281568,-0.05187511919052159,-0.0769453377819664
Current Policies,USA,-0.003555240570068665,-0.02071849991467561,-0.04964430001964065,-0.08950574073443933,-0.13476381752477035
Current Policies,CHN,-0.0008652678600547558,-0.03155714451577118,-0.041461548194324405,-0.053620208196636265,-0.06680626567273412
