region,2025,2030,2035,2040,2045
USA,0.00036712803239969744,-0.3601913566370861,-0.20270443959094528,-0.237522600671483,-0.2518758043766618
CHN,-0.0020080357459354415,-5.920066932661756,-7.048573758925626,-8.751618529418426,-10.437093030465249
GBR,0.000963117041098143,0.3136227519591818,0.530979758956595,0.6412120101342476,0.7597283689195915
JPN,-0.000587092056610292,-0.5200706557687522,-0.656276818517052,-0.797793552162079,-0.9280853165674929
IND,-0.0035383986182905775,-5.942481471888751,-6.875650095510885,-8.52595431227661,-10.153888689944228
CAN,0.0005565043549663078,-0.10901887489743521,-0.0170850076415604,-0.021565787760078274,-0.011363721843259785
NOR,0.00010897374756934717,1.256552208842071,1.5007561410986292,1.7931738154213814,2.0865377044397273
IDN,-0.002965877206534984,-3.1912225370860843,-3.651398438047708,-4.5569732305246,-5.441494516766573
CHL,-0.0008597609197961446,-1.029043473952975,-1.0219773157756307,-1.2615719489149377,-1.546867391098033
AUS,0.00010626268487294733,-0.10084344745512508,-0.1317286386454955,-0.1667774666822387,-0.18684546558371123
SGP,-0.0007578861333620861,-1.2690422929468037,-1.5132694085498306,-1.8316772842925726,-2.170343338722064
TUR,-0.0017413679852959652,-4.246517332907085,-4.486520715048522,-5.130179874238425,-6.093229938189349
KOR,-0.0007363834438782395,-1.8029303798385192,-2.221662932150068,-2.730477215479382,-3.267582384515838
KAZ,-0.0011418778837957977,-3.84390404309123,-4.867023922055543,-5.56220554940232,-6.512894043866992
