region,2025,2030,2035,2040,2045
USA,0.0003660277015981041,-0.34054864419510966,-0.31856913871572845,-0.42685678661205306,-0.5220313438458126
CHN,-0.0020020173997810746,-3.120629263311547,-3.3281089638861534,-3.364330717874583,-3.3081155314495962
GBR,0.0009602304531714935,0.04484255932064157,0.07082386390151311,0.0005555998335108302,-0.07884745156627948
JPN,-0.0005853324648160164,-0.24060000334147202,-0.2535833946299195,-0.24045405912557144,-0.20768897516420937
IND,-0.0035277935741522388,-3.239517930924192,-3.4342468679067952,-3.5866976079435786,-3.6458305899942345
CAN,0.0005548364385204083,-0.13505320778319352,-0.11861445415472287,-0.16873921091470967,-0.21253689269857706
NOR,0.00010864713897388861,0.6163941415405507,0.6371339515761283,0.6301477579508119,0.5905721803768199
IDN,-0.002956988084059747,-1.8051178860050807,-1.9231783629603363,-2.0428011107956214,-2.113922613091731
CHL,-0.0008571841037032022,-0.751407868435039,-0.7107816208731585,-0.6605653227456623,-0.5888670846028623
AUS,0.00010594420168750002,-0.04622126805495613,-0.045351048102971775,-0.04205292578657065,-0.029619387280410074
SGP,-0.0007556146493482178,-0.7073896344776185,-0.7531154943484721,-0.7439520003906921,-0.7123704950105549
TUR,-0.0017361488773498762,-2.5425062578857904,-2.640249958155782,-2.782287105085934,-2.9268166533571778
KOR,-0.0007341764062412973,-0.9539310563730147,-1.0347212667130146,-0.9930436240647562,-0.9290560143070654
KAZ,-0.001138455526208484,-1.3537424300890242,-1.5266964656980795,-1.4830209180174747,-1.43786469793903
