scenario,region,2025,2030,2035,2040,2045
Net Zero 2050,USA,-0.2620777489972398,-1.029301431689712,-0.8867655374818293,-1.1852412191573074,-1.4753816247571852
Net Zero 2050,CHN,-2.9787800482661853,-24.680145058482417,-21.896491801842803,-22.738451080435574,-37.53526604189248
Net Zero 2050,GBR,0.5910524849314258,1.670497830334098,2.163117552297394,2.4832450177137924,3.1914503525151696
Net Zero 2050,JPN,-0.7438187395476866,-2.3143023798320814,-2.7706661461478137,-3.2540829284742565,-4.171916908759595
Net Zero 2050,IND,-2.912234183472144,-24.636192464458997,-20.978634548954993,-22.003336407950695,-36.747148227771575
Net Zero 2050,CAN,-0.0674841705427749,-0.2433256461997187,-0.18779280329396397,-0.3049124152306817,-0.3258048004513892
Net Zero 2050,NOR,1.5906926876431555,5.323703907624204,5.952034696075727,6.964435653425757,9.146150195268483
Net Zero 2050,IDN,-1.1612082304435387,-12.94988700116281,-10.735894165829258,-10.936521473592668,-18.995116861106958
Net Zero 2050,CHL,-0.4925766418942761,-3.365827355186235,-1.7625013271104915,-2.9467896882959437,-5.566816370505948
Net Zero 2050,AUS,-0.24638775254632192,-0.5085142348208138,-0.819964052874921,-0.9899952400276097,-1.101436981988021
Net Zero 2050,SGP,-0.8878476603494877,-4.702072410123313,-5.048202320903962,-5.370991401083154,-7.776200824255647
Net Zero 2050,TUR,-2.019217202583953,-16.166153832571865,-11.829024672972558,-12.435527901129523,-20.576482455779274
Net Zero 2050,KOR,-0.8298596210759044,-6.997286311440323,-6.845839101123456,-6.861377958258235,-11.004993853265432
Net Zero 2050,KAZ,-4.261143447430818,-15.825094039354315,-16.89216929534049,-18.62288295210898,-25.520761542558866
