scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,0.0,-0.07724466654004535,-0.10613520223175617,-0.11663694862738692,-0.18728537304153245
Below 2?C,USA,0.0,-0.2864702669348748,-0.32514177401648964,-0.3944081546934119,-0.5336225513106388
Below 2?C,GBR,0.0,-0.1649530959426445,-0.18722062438855633,-0.22710505658339059,-0.30726641492435697
Below 2?C,CHE,0.0,-0.1137607558225135,-0.12911767199210783,-0.1566241769540625,-0.21190787236162553
Below 2?C,IND,0.0,-0.33352585229782356,-0.37854953834049787,-0.4591936097062287,-0.6212753530602202
Below 2?C,TUR,0.0,-0.33352585229782356,-0.37854953834049787,-0.4591936097062287,-0.6212753530602202
Current Policies,CHN,0.0,0.013757744601329355,0.011876418438070581,0.009942781366141181,0.008181108449056274
Current Policies,USA,0.0,-0.000431615587879036,-0.003586438842485701,-0.00676114408165326,-0.009942676176861997
Current Policies,GBR,0.0,-0.00024852955330940886,-0.0020651155067742573,-0.003893149750988068,-0.005725114982705734
Current Policies,CHE,0.0,-0.0001713996919375234,-0.0014242175908787988,-0.002684930862750393,-0.003948355160486715
Current Policies,IND,0.0,-0.0005025127331804662,-0.00417554702780375,-0.007871729120336375,-0.011575859447790592
Current Policies,TUR,0.0,-0.0005025127331804662,-0.00417554702780375,-0.007871729120336375,-0.011575859447790592
Delayed transition,CHN,0.0,0.013757744601329355,-0.1162778835794502,-0.15474449798795212,-0.13422521896348827
Delayed transition,USA,0.0,-0.000431615587879036,-0.31396348800675966,-0.45791507334826187,-0.49478835732222304
Delayed transition,GBR,0.0,-0.00024852955330940886,-0.1807840300977551,-0.263673119852158,-0.2849052093606302
Delayed transition,CHE,0.0,-0.0001713996919375234,-0.1246786414467277,-0.18184353093252278,-0.1964863512831933
Delayed transition,IND,0.0,-0.0005025127331804662,-0.3655351078779061,-0.5331321702339872,-0.5760622571711802
Delayed transition,TUR,0.0,-0.0005025127331804662,-0.3655351078779061,-0.5331321702339872,-0.5760622571711802
Fragmented World,CHN,0.0,0.013757744601329355,0.038878426576483924,0.03692576558816697,0.050860595819195935
Fragmented World,USA,0.0,-0.000431615587879036,-0.030301868727156307,-0.033477002523341355,-0.04202758851479959
Fragmented World,GBR,0.0,-0.00024852955330940886,-0.017448187949391448,-0.019276468961996196,-0.024200001328918894
Fragmented World,CHE,0.0,-0.0001713996919375234,-0.012033233068545828,-0.013294116525514623,-0.01668965608890959
Fragmented World,IND,0.0,-0.0005025127331804662,-0.035279251496418446,-0.03897593254071331,-0.04893103716975764
Fragmented World,TUR,0.0,-0.0005025127331804662,-0.035279251496418446,-0.03897593254071331,-0.04893103716975764
Low demand,CHN,0.0,-0.22923006836516818,-0.21263052517355327,-0.3507637372004565,-0.3523360727780894
Low demand,USA,0.0,-0.5935476431639611,-0.7401340288487992,-1.0312952805547735,-1.163347921602373
Low demand,GBR,0.0,-0.3417720183561437,-0.42617825848874896,-0.593832481041467,-0.6698700126194169
Low demand,CHE,0.0,-0.23570484024561644,-0.2939160403370683,-0.40953964209756355,-0.4619793190478739
Low demand,IND,0.0,-0.691043736174648,-0.8617083909882228,-1.2006957688769475,-1.3544393672085389
Low demand,TUR,0.0,-0.691043736174648,-0.8617083909882228,-1.2006957688769475,-1.3544393672085389
Nationally Determined Contributions (NDCs),CHN,0.0,-0.26954350450895004,-0.2685307504324153,-0.267109086132595,-0.263210624637709
Nationally Determined Contributions (NDCs),USA,0.0,-0.2914690275927722,-0.318054277170501,-0.34472347337678005,-0.37117632373967635
Nationally Determined Contributions (NDCs),GBR,0.0,-0.16783144368609085,-0.1831395567100899,-0.19849600723320007,-0.2137278831641819
Nationally Determined Contributions (NDCs),CHE,0.0,-0.11574582323178681,-0.12630314255868275,-0.13689379809186214,-0.14739854011322895
Nationally Determined Contributions (NDCs),IND,0.0,-0.33934570902046585,-0.37029784977431973,-0.40134772622386844,-0.43214571987742106
Nationally Determined Contributions (NDCs),TUR,0.0,-0.33934570902046585,-0.37029784977431973,-0.40134772622386844,-0.43214571987742106
Net Zero 2050,CHN,0.0,-0.5017706359930929,-0.6991064793565775,-0.7009035644414973,-0.7600450474254089
Net Zero 2050,USA,0.0,-1.4971452370400595,-1.7407023456968582,-1.9519880740386308,-2.240874906996382
Net Zero 2050,GBR,0.0,-0.862074603999601,-1.0023177766738227,-1.123978692451847,-1.2903232767722848
Net Zero 2050,CHE,0.0,-0.5945342096548974,-0.6912536390853952,-0.7751577189323084,-0.8898781219119211
Net Zero 2050,IND,0.0,-1.7430662055791306,-2.026629987318544,-2.272621494142449,-2.608960857423585
Net Zero 2050,TUR,0.0,-1.7430662055791306,-2.026629987318544,-2.272621494142449,-2.608960857423585
