scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-0.5736359185177703,-0.6736674341893636,-0.7766241035815022,-0.8599051734731342,-0.9035912530865017
Below 2?C,CHN,-0.7862782380192838,-0.9233906491317027,-1.0645125454229247,-1.1786652523593277,-1.2385454178014166
Below 2?C,USA,-0.53475811156722,-0.628010055336656,-0.7239889024068558,-0.801625651130022,-0.8423509346795319
Below 2?C,GBR,-0.47158813014024925,-0.5538243951784544,-0.6384654395007205,-0.7069311034496517,-0.7428455849752501
Below 2?C,CHE,-0.5098707894466582,-0.5987828436234764,-0.6902948926552216,-0.764318473607629,-0.8031484268606472
Below 2?C,RUS,-0.5927487668488427,-0.696113210472888,-0.8025002703675059,-0.888556163812379,-0.9336978102528499
Below 2?C,IND,-0.9483304466743212,-1.1137017717187316,-1.283908938182494,-1.4215885563171455,-1.4938100439468665
Below 2?C,TUR,-0.7580376127575096,-0.8902253801067764,-1.0262786246196773,-1.1363313276855307,-1.1940607871420095
Below 2?C,RASIA,-0.770513027741584,-0.904876277185336,-1.0431686199390935,-1.1550325169585964,-1.213712059829678
Below 2?C,LAM,-0.7341579323806635,-0.8621815242577571,-0.9939488231414136,-1.1005346489315329,-1.1564455165174397
Below 2?C,MEA,-0.8531891359178744,-1.0019695725420814,-1.1551006944959445,-1.2789675964200027,-1.3439434588333565
Below 2?C,AFR,-0.9380675681989162,-1.1016492366756196,-1.2700144128593198,-1.4062040554328037,-1.4776439585911452
Below 2?C,ROW,-0.6623196989491144,-0.7778160289492044,-0.8966897397391473,-0.9928460147529428,-1.0432859369470695
Current Policies,EU27,-0.5736216032237207,-0.6546104252749215,-0.7627587002078678,-0.8766121902543639,-0.9834474173565597
Current Policies,CHN,-0.7862586161584157,-0.8972693570238391,-1.0455073461630566,-1.201565428748643,-1.3480036335621761
Current Policies,USA,-0.5347447664830554,-0.6102446229949382,-0.7110632178657601,-0.8172003605501321,-0.9167948985658952
Current Policies,GBR,-0.47157636148606397,-0.5381575603274402,-0.6270666420413353,-0.7206660014045083,-0.8084956218237054
Current Policies,CHE,-0.5098580654347151,-0.5818442038590674,-0.6779707617284512,-0.7791683453826653,-0.8741278132696508
Current Policies,RUS,-0.5927339745866759,-0.676421245292167,-0.7881728886846783,-0.9058198379916134,-1.0162146844030326
Current Policies,IND,-0.9483067807413451,-1.0821968725436475,-1.2609867609788523,-1.4492084667433929,-1.6258276346995555
Current Policies,TUR,-0.7580186956517689,-0.8650422821216827,-1.0079560319542324,-1.1584090022318998,-1.2995876102943342
Current Policies,RASIA,-0.7704937993073018,-0.8792787280006433,-1.0245444829396486,-1.1774735351533734,-1.320975592201467
Current Policies,LAM,-0.7341396112010761,-0.8377917435443423,-0.9762034282946025,-1.1219168331714076,-1.2586480365406694
Current Policies,MEA,-0.8531678442710889,-0.973625404326631,-1.1344781861389521,-1.3038165376232915,-1.46271637662298
Current Policies,AFR,-0.938044158379824,-1.0704852850602677,-1.2473403005784673,-1.4335250618375674,-1.6082328485199158
Current Policies,ROW,-0.662303170518904,-0.7558128175050925,-0.8806807530425639,-1.0121359266424805,-1.1354878179158205
Delayed transition,EU27,-0.5726763875025368,-0.655447066608702,-0.7842804821812127,-0.8900392682903969,-0.9543608578618048
Delayed transition,CHN,-0.7849630164098487,-0.8984161347142581,-1.0750070833007903,-1.219969818918629,-1.3081349154235469
Delayed transition,USA,-0.5338636121519423,-0.6110245614982094,-0.7311263748510575,-0.8297174269726254,-0.8896796620102877
Delayed transition,GBR,-0.47079929627772754,-0.5388453661454843,-0.6447597755960144,-0.7317044500438848,-0.7845834577462053
Delayed transition,CHE,-0.5090179194982423,-0.5825878444916842,-0.6971001914081726,-0.791102875033256,-0.8482745035776803
Delayed transition,RUS,-0.5917572654318768,-0.6772857624935559,-0.8104117501528599,-0.919694289871836,-0.9861589962638717
Delayed transition,IND,-0.9467441574499198,-1.0835800015008092,-1.296566403837944,-1.4714060079021545,-1.5777419603764522
Delayed transition,TUR,-0.7567696297448109,-0.8661478711877089,-1.0363962319185527,-1.1761523649680463,-1.2611508503025521
Delayed transition,RASIA,-0.7692241768801005,-0.8804025123147263,-1.053452737906536,-1.1955089095385738,-1.2819062586757717
Delayed transition,LAM,-0.7329298933345396,-0.8388625043735101,-1.0037477058487785,-1.1391012449744884,-1.2214221103226712
Delayed transition,MEA,-0.8517619912580894,-0.9748697707855617,-1.1664882991261185,-1.3237871090914555,-1.4194549005524493
Delayed transition,AFR,-0.9364984458740844,-1.0718534457282085,-1.282534898802388,-1.455482380120259,-1.5606675597161395
Delayed transition,ROW,-0.661211824995224,-0.7567788031040238,-0.9055297900315066,-1.0276388231583937,-1.101904493186418
Fragmented World,EU27,-0.5724274730711209,-0.6544997545846565,-0.7766120974415652,-0.89109712047132,-0.9850097314096692
Fragmented World,CHN,-0.7846218313580878,-0.8971176615798598,-1.0644960887014219,-1.2214198085759198,-1.3501450851366976
Fragmented World,USA,-0.53363156773668,-0.6101414529398186,-0.7239777099753628,-0.830703583899565,-0.9182513277847536
Fragmented World,GBR,-0.4705946628377928,-0.5380665775591046,-0.6384555692103495,-0.7325741140866376,-0.8097800057669244
Fragmented World,CHE,-0.5087966742910408,-0.5817458352765003,-0.6902842211127844,-0.7920431368076561,-0.8755164611452596
Fragmented World,RUS,-0.5915000574755584,-0.6763068871896435,-0.802487864197647,-0.9207873883956706,-1.017829052852631
Fragmented World,IND,-0.9463326540445223,-1.0820139126177697,-1.283889089725168,-1.4731548409142894,-1.628410440162051
Fragmented World,TUR,-0.7564406989800513,-0.864896035097843,-1.0262627589715156,-1.1775502755869445,-1.3016521477072935
Fragmented World,RASIA,-0.768889832732519,-0.8791300741142918,-1.0431524931817975,-1.196929826291716,-1.3230741067687821
Fragmented World,LAM,-0.732611324537836,-0.8376501035902925,-0.9939334572924714,-1.140455118650875,-1.2606475369518781
Fragmented World,MEA,-0.8513917719573071,-0.9734607998666406,-1.1550828373363284,-1.3253604903234097,-1.4650400619675965
Fragmented World,AFR,-0.936091395778666,-1.0703043051356562,-1.26999477920297,-1.4572122871760038,-1.6107877027353747
Fragmented World,ROW,-0.6609244285370217,-0.755685037190275,-0.8966758774569369,-1.028860218673186,-1.1372916648157734
Low demand,EU27,-0.5740357102308269,-0.6808410725649477,-0.7761568920804218,-0.8354751022762261,-0.8521742919933422
Low demand,CHN,-0.7868262293733278,-0.9332234987843474,-1.0638721422961457,-1.145179146076052,-1.1680685939701994
Low demand,USA,-0.535130807653,-0.6346975049662155,-0.7235533558660018,-0.7788513123604625,-0.7944187251907159
Low demand,GBR,-0.4719168003303813,-0.5597218688174579,-0.6380813432629122,-0.6868470549739005,-0.7005755182714934
Low demand,CHE,-0.5102261404799008,-0.6051590633539546,-0.6898796161894278,-0.7426040389195236,-0.7574469536836235
Low demand,RUS,-0.5931618791335876,-0.7035258657193278,-0.8020174919497273,-0.8633121124750531,-0.8805676988019558
Low demand,IND,-0.9489913792302866,-1.1255611749837442,-1.2831365477564276,-1.3812009522941742,-1.4088079230787995
Low demand,TUR,-0.7585659219968417,-0.8997050649268354,-1.0256612227459476,-1.1040479363360987,-1.126115267720884
Low demand,RASIA,-0.7710500316378691,-0.9145119740555334,-1.04254105716509,-1.1222178212287495,-1.1446483260392106
Low demand,LAM,-0.7346695988366254,-0.8713625803029817,-0.9933508706448132,-1.0692682481033242,-1.0906404150116114
Low demand,MEA,-0.8537837603742566,-1.0126391804405315,-1.154405794187178,-1.2426318812702963,-1.2674691810023093
Low demand,AFR,-0.9387213481104356,-1.113380296898471,-1.2692503812802212,-1.3662535280358699,-1.3935617348324458
Low demand,ROW,-0.6627812982292258,-0.786098707658661,-0.8961502976108711,-0.9646390687125855,-0.9839199434784353
Nationally Determined Contributions (NDCs),EU27,-0.5729807977641793,-0.6577418409092669,-0.771184027349207,-0.8757773271668686,-0.9424228344869343
Nationally Determined Contributions (NDCs),CHN,-0.785380269159254,-0.9015615637842549,-1.0570558757539958,-1.2004210884864097,-1.291771560756216
Nationally Determined Contributions (NDCs),USA,-0.5341473912030837,-0.6131638089404093,-0.7189175238567106,-0.8164220797736429,-0.8785507305230705
Nationally Determined Contributions (NDCs),GBR,-0.47104955303719687,-0.5407319082649066,-0.6339931334693315,-0.7199796574890638,-0.774769166243203
Nationally Determined Contributions (NDCs),CHE,-0.5092884916423654,-0.58462753263962,-0.6854595330243647,-0.7784262853272195,-0.8376635058941567
Nationally Determined Contributions (NDCs),RUS,-0.5920718182717181,-0.6796569958716381,-0.7968789374380952,-0.9049571582855046,-0.9738232125278187
Nationally Determined Contributions (NDCs),IND,-0.9472474061309675,-1.0873737045574356,-1.2749154463930583,-1.4478282775691829,-1.5580061128222182
Nationally Determined Contributions (NDCs),TUR,-0.7571718960963157,-0.8691803264027038,-1.019089774920371,-1.1573057630493548,-1.2453752155349223
Nationally Determined Contributions (NDCs),RASIA,-0.7696330635359081,-0.883484874205315,-1.0358614596418065,-1.1763521393960124,-1.2658709961706112
Nationally Determined Contributions (NDCs),LAM,-0.7333194875023183,-0.8417994312663312,-0.9869864363909208,-1.1208483481997549,-1.2061434391748573
Nationally Determined Contributions (NDCs),MEA,-0.852214751484064,-0.978282870348233,-1.1470094753269071,-1.3025748160134065,-1.4016990531255804
Nationally Determined Contributions (NDCs),AFR,-0.9369962483732927,-1.0756060931448115,-1.2611182490778887,-1.4321598091381038,-1.5411452944693897
Nationally Determined Contributions (NDCs),ROW,-0.6615632969068312,-0.7594283481810363,-0.8904086308752813,-1.0111719942056794,-1.088120858318988
Net Zero 2050,EU27,-0.5739603824590382,-0.681717854357809,-0.7730746424508851,-0.8272432725420801,-0.8440982553944167
Net Zero 2050,CHN,-0.7867229781894951,-0.9344252966860542,-1.0596473269915008,-1.1338958418579976,-1.156998834176234
Net Zero 2050,USA,-0.535060585172695,-0.6355148634346642,-0.7206800037308548,-0.7711773896138719,-0.7868900367993955
Net Zero 2050,GBR,-0.4718548731011081,-0.5604426742497691,-0.6355474148729768,-0.6800796384530005,-0.6939361798415139
Net Zero 2050,CHE,-0.5101591861117567,-0.6059383824489892,-0.687139988141128,-0.7352872559398513,-0.7502686459393417
Net Zero 2050,RUS,-0.5930840415324266,-0.7044318608108782,-0.7988325455263074,-0.8548060082261548,-0.8722225785253024
Net Zero 2050,IND,-0.948866847942825,-1.1270106638362,-1.2780409966000545,-1.3675921552911887,-1.3954566820773526
Net Zero 2050,TUR,-0.7584663792686798,-0.9008636980523326,-1.0215881494329409,-1.09316989268705,-1.1154430986562092
Net Zero 2050,RASIA,-0.7709488506838178,-0.9156896754024643,-1.0384009511890795,-1.111160752018894,-1.133800519597681
Net Zero 2050,LAM,-0.734573191900794,-0.8724847141990936,-0.9894061071771612,-1.0587328842911243,-1.0803044403281954
Net Zero 2050,MEA,-0.853671722695917,-1.0139432492341538,-1.1498214545159406,-1.2303883876689072,-1.2554574040806648
Net Zero 2050,AFR,-0.9385981645066577,-1.1148140993116735,-1.2642099744276782,-1.3527920060996368,-1.380354981614107
Net Zero 2050,ROW,-0.6626943248275908,-0.787111039408375,-0.8925915339755748,-0.9551346028740311,-0.974595356303484
