scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-0.5677222718214994,-0.9758854637528973,-1.0648840547972258,-1.1472201259785912,-1.2157533824574145
Below 2?C,USA,-0.5292432114677396,-0.8496987987164825,-0.9356011792462405,-1.0101109040417406,-1.067314296891441
Below 2?C,CHN,-0.7781865290870285,-2.4365525618346915,-2.4223328759553153,-2.584335551480668,-2.6685378807612086
Below 2?C,GBR,-0.46677700074014916,-0.7207767640442887,-0.7972078452098192,-0.8646813676215235,-0.913365331401339
Below 2?C,JPN,-0.6292559840032096,-1.1483742342747332,-1.2441811050312512,-1.3352763725832635,-1.414548433039109
Below 2?C,IND,-0.938585409400248,-2.484261287137723,-2.5187408533594664,-2.702150373718744,-2.805565800199793
Below 2?C,CAN,-0.5093944875825521,-0.8582296524433028,-0.9387054711787515,-1.010744167914616,-1.0684490294527462
Below 2?C,NOR,-0.5563006231331991,-0.7660913406477076,-0.8610817709200174,-0.9414510409880437,-0.9925347873741297
Below 2?C,IDN,-0.8785788612411064,-1.9114083370663177,-1.9811370689604029,-2.138460388977667,-2.221435405913799
Below 2?C,RUS,-0.5866343161650605,-1.672513055509592,-1.7018192359739357,-1.792812746782057,-1.9654972001731181
Below 2?C,CHL,-0.6578346833047566,-1.2609742110306692,-1.352223820978223,-1.3758189839133406,-1.4450251523317172
Below 2?C,AUS,-0.5565847723561166,-0.9799418724595148,-1.0659607850711403,-1.1458970897586227,-1.2119431397813274
Below 2?C,SGP,-0.6471570839122515,-1.3309582146113714,-1.4064986799027615,-1.5120245538609924,-1.5908250427718535
Below 2?C,TUR,-0.7502368114123047,-1.7646634109982018,-1.9202126608665209,-2.100708633217602,-2.3511720753076637
Below 2?C,KOR,-0.6449033652816996,-1.508830039785906,-1.5583870457999782,-1.672964716671835,-1.7475315204254156
Below 2?C,KAZ,-0.6874036476074976,-1.6959657608676544,-1.7510347347544482,-1.8563126001354944,-2.0235231143031913
Below 2?C,MEA,-0.8444151254255114,-1.4855517593332053,-1.6517571100512114,-1.8178759980871948,-1.992928200602907
Below 2?C,AFR,-0.928428152794274,-1.7955600609772664,-1.9903354059394494,-2.192041333999775,-2.4328713037633003
Below 2?C,LAM,-0.7309659903801603,-1.514213102098777,-1.6104865715117502,-1.6114030868676879,-1.6926850140629106
Below 2?C,ROW,-0.8151597652749745,-1.9500294137043825,-2.0418573464100436,-2.178136635329825,-2.316931403938661
Current Policies,EU27,-0.567708104104665,-0.6547984867155392,-0.7650716166792219,-0.8808055194262223,-0.989761684787502
Current Policies,USA,-0.5292300040099229,-0.6075757690156414,-0.7097500691683708,-0.8170119890436395,-0.917862497307397
Current Policies,CHN,-0.778167109157715,-0.9940273147646437,-1.1551369459348726,-1.322181215817966,-1.4787124097208817
Current Policies,GBR,-0.46676535214945697,-0.5362490211488311,-0.6260886813866675,-0.72044943640286,-0.8091503710330133
Current Policies,JPN,-0.629240280690093,-0.7250230536767533,-0.8481739305946576,-0.9773122785204652,-1.0988502443753925
Current Policies,IND,-0.9385619866582395,-1.1639434571509257,-1.3543114015768707,-1.5524939168554062,-1.738396878175441
Current Policies,CAN,-0.5093817754568961,-0.5861171731187667,-0.6848802027784462,-0.7885082893692721,-0.8859698747662256
Current Policies,NOR,-0.556286740447783,-0.6377557599329123,-0.7437685597446184,-0.8552323147980607,-0.9599423310798885
Current Policies,IDN,-0.8785569359844438,-1.0623627294026523,-1.2365173360501516,-1.41840179960541,-1.5889542115068993
Current Policies,RUS,-0.5866196764912458,-0.7598873552629899,-0.8733327017571277,-0.9934088639140125,-1.1119123566607798
Current Policies,CHL,-0.6578182667997515,-0.8660675559061718,-0.9819538118535847,-1.1023690497581184,-1.2166258861110522
Current Policies,AUS,-0.5565708825796528,-0.6390638187466626,-0.7477078253413095,-0.8616649186869229,-0.968845806495884
Current Policies,SGP,-0.6471409338706426,-0.768807395473063,-0.8963882494051812,-1.029876806989765,-1.1554116702969104
Current Policies,TUR,-0.7502180889784131,-0.8855874689243941,-1.038425369401986,-1.1994924399860547,-1.3530764760018041
Current Policies,KOR,-0.6448872714824632,-0.7855839513783509,-0.9141529968273979,-1.0483363225045645,-1.1744114356351576
Current Policies,KAZ,-0.6873864931981789,-0.8657349726980192,-0.997996585842526,-1.1377886538167192,-1.274154036347801
Current Policies,MEA,-0.8443940527373652,-0.977645691618982,-1.1436447088770323,-1.3184834182436,-1.4837883757268113
Current Policies,AFR,-0.9284049835303174,-1.0773930428199252,-1.2624630491210744,-1.4575226315179113,-1.6424620844664795
Current Policies,LAM,-0.7309477488566526,-0.9988751551145586,-1.1243528122301034,-1.254235415117079,-1.377937101322743
Current Policies,ROW,-0.8151394226650357,-0.9872169714668132,-1.1503809097867421,-1.3208712080965908,-1.4818570077326805
Delayed transition,EU27,-0.566772632668395,-0.6556265030642032,-1.0863353928004442,-1.2543665793839074,-1.2737541978504137
Delayed transition,USA,-0.5283579369240581,-0.6083476641010829,-0.9499285436842105,-1.0927708837979182,-1.1170814894798893
Delayed transition,CHN,-0.7768848426232078,-0.9951622907914367,-2.5781870716246815,-3.0747704651434287,-3.00472386475961
Delayed transition,GBR,-0.46599621453944345,-0.5369298099904474,-0.8107221817634775,-0.932157925142308,-0.9596480135129953
Delayed transition,JPN,-0.6282034163140515,-0.7259408162309288,-1.2703664767376128,-1.469504621757972,-1.4806758704500411
Delayed transition,IND,-0.9370154208732181,-1.165312373084252,-2.664662199348211,-3.1598709364186335,-3.1247939381142116
Delayed transition,CAN,-0.5085424143527456,-0.5868601190706391,-0.9547559199077217,-1.1008805958189598,-1.1189638785898868
