scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,0.0,-0.31124399900525296,-0.2981000508192173,-0.29823421156923446,-0.3233531974874443
Below 2?C,CHN,0.0,-1.5157449164317813,-1.3620481943156442,-1.411211449729961,-1.4354775914172206
Below 2?C,USA,0.0,-0.2313749082999588,-0.2218726544916074,-0.21985701551529815,-0.23687814476329844
Below 2?C,GBR,0.0,-0.19632525316152158,-0.18752328927461687,-0.18788289108981782,-0.20273013726643693
Below 2?C,CHE,0.0,-0.1432940433020452,-0.13686338594763764,-0.13732352001083356,-0.1487091921127159
Below 2?C,RUS,0.0,-0.9782728355742725,-0.9026843491629102,-0.9085304524768766,-1.0356804244682736
Below 2?C,IND,0.0,-1.376272065572512,-1.2422824652469,-1.2896422937086767,-1.3207272765684035
Below 2?C,TUR,0.0,-0.8789021618264454,-0.8999672883213286,-0.9717531218382566,-1.1641901226649782
Below 2?C,RASIA,0.0,-0.9309112345246142,-0.844034806890769,-0.8726138063000238,-0.8976470234607393
Below 2?C,LAM,0.0,-0.644381208535494,-0.6097629839541054,-0.5072457214193904,-0.5322545294392282
Below 2?C,MEA,0.0,-0.49156665580892805,-0.5062264421669163,-0.5498398233922146,-0.6602959855372649
Below 2?C,AFR,0.0,-0.7029780749152811,-0.731100120588915,-0.7981051801424246,-0.967852101889655
Below 2?C,ROW,0.0,-0.6705123322268914,-0.633794753053414,-0.6459603814167723,-0.6979562679427885
Current Policies,EU27,0.0,-0.007189961742174683,-0.010463306163122564,-0.013542647903690266,-0.016772533197174234
Current Policies,CHN,0.0,-0.10612691388937734,-0.12044257284817934,-0.13295363698805784,-0.14446376260866942
Current Policies,USA,0.0,-0.004303711690661961,-0.006712835796364331,-0.008940663742603288,-0.011232979748915973
Current Policies,GBR,0.0,-0.005158175135907665,-0.007227960346582152,-0.00915630801690882,-0.011141537267625104
Current Policies,CHE,0.0,-0.004464674294746112,-0.00590572064552762,-0.0072486252497024435,-0.00866160558652326
Current Policies,RUS,0.0,-0.08995483857514909,-0.09279625882442145,-0.0964257545701195,-0.10561837844113935
Current Policies,IND,0.0,-0.09291928070665574,-0.10628066416315698,-0.11812011517584922,-0.12914597746894835
Current Policies,TUR,0.0,-0.029245991370048123,-0.0406338332693179,-0.052780752992941916,-0.06658405174021655
Current Policies,RASIA,0.0,-0.06284304436884526,-0.0716496895888379,-0.07942194638818731,-0.08675723974034096
Current Policies,LAM,0.0,-0.16143212582252944,-0.14941282511863754,-0.13458867550091233,-0.12245930608714838
Current Policies,MEA,0.0,-0.01406740340979428,-0.02084423503822925,-0.028062650187606692,-0.036073856224593775
Current Policies,AFR,0.0,-0.01789860333582553,-0.027912642843176776,-0.038681425647448586,-0.05068046244913032
Current Policies,ROW,0.0,-0.03864233326812729,-0.04503959700748451,-0.05090982773673068,-0.05710050748063602
Delayed transition,EU27,0.0,-0.007189961742174683,-0.31224027819157896,-0.3764462238747042,-0.3323098503444247
Delayed transition,CHN,0.0,-0.10612691388937734,-1.5073231676263463,-1.8593557152896578,-1.703378797931448
Delayed transition,USA,0.0,-0.004303711690661961,-0.2296796917230163,-0.2761344814094131,-0.24121962258277507
Delayed transition,GBR,0.0,-0.005158175135907665,-0.19667871773232265,-0.23797422806111626,-0.21088117933159073
Delayed transition,CHE,0.0,-0.004464674294746112,-0.14378869505389422,-0.1743636901340134,-0.15507799153948515
Delayed transition,RUS,0.0,-0.08995483857514909,-0.995768366642132,-1.1726781015542782,-1.0211089318529856
Delayed transition,IND,0.0,-0.09291928070665574,-1.3756544789794387,-1.6968973043777875,-1.5577102511815684
Delayed transition,TUR,0.0,-0.029245991370048123,-0.993920317458432,-1.2559547620362237,-1.2308793868555543
Delayed transition,RASIA,0.0,-0.06284304436884526,-0.9292075526931676,-1.1465621153431953,-1.050579389789139
Delayed transition,LAM,0.0,-0.16143212582252944,-0.5107788844266277,-0.7011107262858828,-0.6073784368341276
Delayed transition,MEA,0.0,-0.01406740340979428,-0.5604879826071762,-0.7107543773945353,-0.701292641952509
Delayed transition,AFR,0.0,-0.01789860333582553,-0.810996421148287,-1.0310858428308063,-1.0238689774708114
Delayed transition,ROW,0.0,-0.03864233326812729,-0.6789068554815519,-0.838977288596752,-0.7668645056665558
Fragmented World,EU27,0.0,-0.007189961742174683,-0.06014666471238974,-0.05970840567123954,-0.07085531090183617
Fragmented World,CHN,0.0,-0.10612691388937734,-0.5133462418928396,-0.48259293028471106,-0.5665718316647447
Fragmented World,USA,0.0,-0.004303711690661961,-0.03428158311006428,-0.032556165317299574,-0.03761185200794096
Fragmented World,GBR,0.0,-0.005158175135907665,-0.0386419071414418,-0.0378422198674095,-0.04469002170897623
Fragmented World,CHE,0.0,-0.004464674294746112,-0.03125159029534731,-0.030725991695921544,-0.03671418784062414
Fragmented World,RUS,0.0,-0.08995483857514909,-0.5001934243162057,-0.4942013503711983,-0.6078427559334616
Fragmented World,IND,0.0,-0.09291928070665574,-0.4726073411706296,-0.450519466593714,-0.5317428251595335
