scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,1.5236241924753202,10.503662263350156,21.685737907401734,33.649073684666575,41.60433431551478
Below 2?C,USA,2.3974831763289677,15.704331760948042,33.231226064220756,51.86119727564361,64.00371622723196
Below 2?C,CHN,1.2918661144425956,14.05223842304032,23.755421774334764,35.35329960549499,43.734528324103536
Below 2?C,GBR,1.2426299733012254,7.897476251760287,16.939644902250855,26.54115615692385,32.70700002818822
Below 2?C,JPN,3.980291761223302,28.691552960934587,58.08006341355999,89.65668703950833,111.01560555222987
Below 2?C,IND,1.6091989245763154,15.256904248832889,27.202917049305125,41.035777704415125,50.691430556534215
Below 2?C,CAN,1.595495984863759,10.828774585504652,22.534372279163573,35.024493401873684,43.274038178526695
Below 2?C,NOR,2.8468574742738473,16.65572310658225,37.19142106944925,58.840850913988,72.29080913163148
Below 2?C,IDN,2.0980547990345193,17.03912879183228,32.41502788957973,49.69929613172685,61.21146126747088
Below 2?C,RUS,1.2541700721021076,13.932848860471381,23.303353775387055,34.2463369980712,43.4920607456555
Below 2?C,CHL,0.6592932125068881,4.8458712674840845,9.763780642101196,14.796349741820228,18.35349143210766
Below 2?C,AUS,2.468587657484185,17.327750815243505,35.5072606254198,54.99090942682504,68.02256063518593
Below 2?C,SGP,2.9798022309112713,23.293486998330774,45.26161560820372,69.41355063732496,85.80601937945322
Below 2?C,TUR,0.5926827372207715,5.037840336589896,9.460618189103124,14.278356044521171,17.865479394996395
Below 2?C,KOR,3.732308548433046,32.145128157269916,59.73152498170662,90.83671437503665,112.23474348032778
Below 2?C,KAZ,1.1693343406123409,11.401934033816886,20.05133387032578,29.913103257134466,37.73351413928325
Below 2?C,MEA,1.169546695089157,7.984273753348416,16.521763639786798,25.62996995238247,31.734378261764167
Below 2?C,AFR,0.9555065647139107,6.96113008938554,13.983828716981698,21.506402707098168,26.726641999818447
Below 2?C,LAM,0.8298691829715911,6.460568609213711,12.716029499236356,19.04996000929899,23.699560531017436
Below 2?C,ROW,2.032929621075888,17.85946826118132,33.07317603451133,49.917191407104625,62.05676239027832
Current Policies,EU27,1.5240850895592908,6.45698143700776,17.247563728465252,32.8463891439237,50.71548238080553
Current Policies,USA,2.3982084161947395,10.125430134143475,27.098196269463404,51.63687302146454,79.7476766879402
Current Policies,CHN,1.2922569045914842,5.844767533463954,15.023762751289366,28.27875520328759,43.46332980452889
Current Policies,GBR,1.2430058694926729,5.2506123103912765,14.04483728185679,26.76049867509574,41.327679143954256
Current Policies,JPN,3.981495801481496,16.851616367546182,45.05595182340988,85.82133067286668,132.517694729623
Current Policies,IND,1.6096857080597544,7.141284247261388,18.56041546995372,35.057057496807346,53.95563617245117
Current Policies,CAN,1.5959786232010484,6.7483333555298435,18.046978732187785,34.380656915699404,53.09163554045166
Current Policies,NOR,2.847718650090596,12.012649134228418,32.145350308001106,61.261949365584655,94.62019325802709
Current Policies,IDN,2.0986894616656726,9.158105197709942,24.02571984101846,45.51354379891999,70.13122998283565
Current Policies,RUS,1.2545494591792425,5.865803936210055,14.764479719254883,27.620941821867646,42.34605099900172
Current Policies,CHL,0.6594926490350207,3.052212545151046,7.7057354267182365,14.439788323631324,22.15620914618641
Current Policies,AUS,2.4693344064912424,10.426566664649776,27.915546856449165,53.19489053860112,82.15253830273576
Current Policies,SGP,2.980703622583717,12.866114770082266,33.98279955025777,64.50278815000509,99.46563188149584
Current Policies,TUR,0.5928620240466526,2.5505248277556207,6.756688124213669,12.83325826859867,19.793155420364368
Current Policies,KOR,3.73343757364474,16.378338193264995,42.84115424474874,81.08122056536253,124.88917186956829
Current Policies,KAZ,1.1696880648380628,5.33981861291896,13.628821400554974,25.607899389246423,39.32923332818392
Current Policies,MEA,1.1699004835522153,4.965003882772828,13.24745303816426,25.220701222532966,38.93675699441718
Current Policies,AFR,0.9557956059299575,4.061927416833778,10.833421266039151,20.62028409390911,31.831026800272554
Current Policies,LAM,0.8301202188165175,3.9421525662495864,9.796282181555789,18.26922974927152,27.97867099730384
Current Policies,ROW,2.033544583307978,8.902259351252303,23.322050331513207,44.15823356674721,68.02610124385082
Delayed transition,EU27,1.4983484631687243,6.549262305022949,22.567771701751163,38.86197292856572,49.85200799984491
Delayed transition,USA,2.357710812460447,10.270637744823386,34.65159250571676,59.90225972225625,77.06704499350768
Delayed transition,CHN,1.2704350697202316,5.923011582743911,23.946886045085357,40.36876219769538,51.148543635790865
