scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,-28.749907520486914,-30.428102185941388,-38.47318204584168,-42.2909202005983,-43.66603459916285
Below 2?C,CHN,-39.2669549369374,-43.5515752072143,-53.00072249944162,-58.161448838325136,-60.93897109468344
Below 2?C,USA,-26.69293294668734,-30.87713188469775,-36.075036575506864,-39.90008972011403,-41.81803238078436
Below 2?C,GBR,-23.362588991437136,-25.750865707227796,-31.402169316233927,-34.613939901508594,-35.98154446539495
Below 2?C,CHE,-25.30737356245642,-27.522861408224472,-33.96603390776922,-37.40547722621469,-38.796192337182305
Below 2?C,RUS,-29.56614967165232,-34.72194042455815,-40.02849846717223,-44.32094337472564,-46.57259660410154
Below 2?C,IND,-47.51042294682003,-55.79536373269172,-64.32257541890502,-71.2201889160496,-74.83841443561364
Below 2?C,TUR,-38.09820854054651,-44.74183287029678,-51.5797321972377,-57.110870443269505,-60.0122950537255
Below 2?C,RASIA,-38.514582045958846,-44.08385988626667,-52.07124273874275,-57.421119235651524,-60.25896820095736
Below 2?C,LAM,-36.653525288622795,-41.46468670429501,-49.35980390416249,-54.88874628827329,-57.006984710509094
Below 2?C,MEA,-42.90845473490493,-50.390897210524635,-58.092143673061656,-64.3216385536352,-67.58939447533407
Below 2?C,AFR,-46.85607281611956,-53.42885645829349,-63.26955854533372,-69.92692791534772,-72.98677135979506
Below 2?C,ROW,-33.1981922265214,-37.904548996403825,-44.83955296930458,-49.51407745370546,-51.82505900763126
Current Policies,EU27,-28.7491900560347,-32.80322237088965,-38.19177206339964,-43.897733667226355,-49.25210079459237
Current Policies,CHN,-39.265975015722205,-44.6672798638257,-52.19501195948083,-59.98888784629663,-67.30025359383725
Current Policies,USA,-26.692266814787583,-30.46020120519009,-35.48817906503027,-40.78607751171708,-45.7574173959413
Current Policies,GBR,-23.362005969488234,-26.65791468563244,-31.04646725073215,-35.683284951224884,-40.0343452242123
Current Policies,CHE,-25.306742007697604,-28.876453953192073,-33.626792728505144,-38.64956975064991,-43.36281882051111
Current Policies,RUS,-29.56541183757882,-33.7397104775313,-39.31385250765497,-45.182050817225075,-50.68851617746669
Current Policies,IND,-47.5092373068471,-54.21699926073543,-63.174196878886455,-72.60391927154555,-81.45236592802468
Current Policies,TUR,-38.09725778582489,-43.476155676202154,-50.6588571052587,-58.2204721764845,-65.31596712410435
Current Policies,RASIA,-38.51362090048419,-43.88748451420037,-51.204486774906414,-58.84887289271472,-66.02110899108882
