scenario,region,tenor,2025,2030,2035,2040,2045
Below 2?C,EU27,1D,-28.384558244404914,-29.999225487164278,-37.978574066290726,-41.743289943699644,-43.090625257294924
Below 2?C,EU27,6M,-28.104135438421512,-29.702850714796718,-37.60336800476899,-41.330890694918025,-42.66491512496931
Below 2?C,EU27,1Y,-27.82588585479778,-29.40877278943448,-37.23106971745456,-40.92168746033152,-42.2425041636047
Below 2?C,EU27,5Y,-25.727647168485124,-27.191174934481346,-34.42362375790401,-37.83594678754506,-39.05716598945575
Below 2?C,EU27,10Y,-23.395831554831773,-24.726713032832194,-31.303651580442924,-34.40669999716513,-35.517234456547286
Below 2?C,EU27,20Y,-19.539263219854334,-20.650762225655157,-26.143558374464526,-28.73510036159965,-29.662574346259333
Below 2?C,USA,1D,-26.460710644949323,-30.604440082976552,-35.76064301236615,-39.55198463098492,-41.452248359207836
Below 2?C,USA,6M,-26.199294326136815,-30.302086144975394,-35.407348810252756,-39.16123419488753,-41.042724430770406
Below 2?C,USA,1Y,-25.93990393309462,-30.002075391353596,-35.05679256968595,-38.773511998885645,-40.63637423335309
Below 2?C,USA,5Y,-23.98387959533689,-27.739738961731796,-32.41330014785996,-35.84975664012346,-37.57214788911978
Below 2?C,USA,10Y,-21.810109699079348,-25.225558166028545,-29.475532893829996,-32.600527445877056,-34.166810412568054
Below 2?C,USA,20Y,-18.214931718304282,-21.067377738577747,-24.61678673007356,-27.226657252091744,-28.534754170605822
Below 2?C,CHN,1D,-38.90719451433996,-43.129219630508366,-52.513665228651774,-57.62219076153364,-60.3723266043271
Below 2?C,CHN,6M,-38.52281422683615,-42.70312820838643,-51.994860982022566,-57.052917275537254,-59.77588338740761
Below 2?C,CHN,1Y,-38.1414128120117,-42.28033891214747,-51.48007736768504,-56.48805554864937,-59.184062489741834
Below 2?C,CHN,5Y,-35.265321523116214,-39.09214777103482,-47.598170769242614,-52.22851735873338,-54.72122920647692
Below 2?C,CHN,10Y,-32.069062385637146,-35.549045677524944,-43.28412848413949,-47.49480535399778,-49.7615912020243
Below 2?C,CHN,20Y,-26.78279888014862,-29.689141806303258,-36.14917374112021,-39.66576273267166,-41.55889165368595
Below 2?C,GBR,1D,-23.337571242621905,-25.721577690071552,-31.36831119535591,-34.57645954193529,-35.942181395699606
Below 2?C,GBR,6M,-23.107009711371596,-25.467463571822353,-31.058410658288505,-34.2348643787401,-35.58709370071555
Below 2?C,GBR,1Y,-22.878234987272137,-25.215318788705332,-30.75091179027959,-33.89591651180886,-35.2347578665
Below 2?C,GBR,5Y,-21.15307885117129,-23.313932516719117,-28.432108604841112,-31.339961107397603,-32.577845793901886
Below 2?C,GBR,10Y,-19.23587751445434,-21.2008830216709,-25.855175147238814,-28.499475533145944,-29.625165007200756
Below 2?C,GBR,20Y,-16.06503590773965,-17.70612995237677,-21.59320867109773,-23.801622642257957,-24.741753489320494
Below 2?C,JPN,1D,-31.46107527413554,-33.47779313561829,-42.12560671934787,-46.32261677768937,-47.87142294058633
Below 2?C,JPN,6M,-31.15025828231686,-33.14705215284917,-41.70943040480821,-45.86497646264751,-47.398481328043765
Below 2?C,JPN,1Y,-30.84185006190325,-32.81887434855082,-41.296479375990764,-45.410882771290005,-46.92920492127356
Below 2?C,JPN,5Y,-28.516189585358827,-30.34413438308481,-38.18247714485331,-41.98662984696125,-43.39046140031096
Below 2?C,JPN,10Y,-25.931635479747076,-27.593905189023655,-34.72182270602093,-38.18118746038514,-39.457783269494314
Below 2?C,JPN,20Y,-21.657065284155276,-23.045326492816535,-28.998278250381098,-31.887401398262945,-32.953563183583015
Below 2?C,IND,1D,-46.92669909706557,-55.10984921826713,-63.53229364448949,-70.34516149520663,-73.91893267404788
Below 2?C,IND,6M,-46.46309080261795,-54.565396194829475,-62.90463180452196,-69.65019251228333,-73.18865692561906
Below 2?C,IND,1Y,-46.00307538253761,-54.025162576729315,-62.28183422208205,-68.96060940419166,-72.46404067260694
Below 2?C,IND,5Y,-42.534167583494266,-49.95134128872604,-57.58541037052113,-63.760565846238855,-66.99981738429135
Below 2?C,IND,10Y,-38.679099320336796,-45.424020279649994,-52.36617838474124,-57.9816509691041,-60.92731416370971
Below 2?C,IND,20Y,-32.30323747868102,-37.936325822314394,-43.73413874515575,-48.42395695796817,-50.88405709937774
Below 2?C,CAN,1D,-25.468328828769042,-27.955025742325617,-34.21676760634351,-37.70554595847888,-39.167887182401344
Below 2?C,CAN,6M,-25.216716660900296,-27.678846465815425,-33.87872598874166,-37.333037254705175,-38.780931404067346
Below 2?C,CAN,1Y,-24.967054438533516,-27.40480752513449,-33.543304128114606,-36.963415421139366,-38.39697445796716
Below 2?C,CAN,5Y,-23.08438878757914,-25.33832067040333,-31.013937812316765,-34.17615220085602,-35.50161228817035
Below 2?C,CAN,10Y,-20.99214390198936,-23.04179151730702,-28.203001236654273,-31.078609514785292,-32.28393702617329
Below 2?C,CAN,20Y,-17.531799384378818,-19.243583133965934,-23.554019161975784,-25.955612237729916,-26.96225358988473
Below 2?C,NOR,1D,-27.813507101035075,-28.816698213568714,-37.13634705633979,-40.76348697036322,-41.9423425435794
Below 2?C,NOR,6M,-27.538725945790254,-28.532006117864928,-36.76946170424646,-40.36076760092754,-41.527976771728575
Below 2?C,NOR,1Y,-27.266074291206042,-28.24952033068813,-36.405419642476126,-39.96116922849942,-41.116822254245264
Below 2?C,NOR,5Y,-25.210048754401107,-26.11933706403732,-33.66023265062626,-36.94785739134664,-38.01636724762692
Below 2?C,NOR,10Y,-22.925145478112277,-23.752020784187113,-30.60945013872678,-33.59910224899087,-34.5707681167828
Below 2?C,NOR,20Y,-19.146165025187116,-19.836738224841444,-25.563789082421867,-28.06062700764529,-28.872123496156036
Below 2?C,IDN,1D,-43.92653608460519,-50.47803429058175,-59.400705911908666,-65.54440401916938,-68.79760464935882
Below 2?C,IDN,6M,-43.49256764303524,-49.97934088501919,-58.81386173819335,-64.89686370752165,-68.11792462141572
Below 2?C,IDN,1Y,-43.06196237272126,-49.48451225663045,-58.2315654930086,-64.25434170770173,-67.44351198186837
Below 2?C,IDN,5Y,-39.81483213469491,-45.75308323647324,-53.84055619614151,-59.4091789611074,-62.35786666873821
Below 2?C,IDN,10Y,-36.20622981600355,-41.60626976515526,-48.96073765837291,-54.02465039583971,-56.706084903385296
Below 2?C,IDN,20Y,-30.237995726521994,-34.74789321475269,-40.89005078973616,-45.11922826811916,-47.35865517316171
Below 2?C,RUS,1D,-29.33010864965546,-34.44473820531263,-39.70893140172338,-43.96710762383429,-46.20078480508261
Below 2?C,RUS,6M,-29.040344359631476,-34.10444437175257,-39.316630423480454,-43.53273835922613,-45.74434811855323
Below 2?C,RUS,1Y,-28.752825686656735,-33.76678774940419,-38.927369701733944,-43.101735372174765,-45.291448727820665
Below 2?C,RUS,5Y,-26.584690177463404,-31.220569428160985,-35.99201254937611,-39.85160601144089,-41.87620184670569
Below 2?C,RUS,10Y,-24.17519679340142,-28.39090487380132,-32.72989004435948,-36.23967070627745,-38.0807680603523
Below 2?C,RUS,20Y,-20.190157910437453,-23.71094876790064,-27.334695722817976,-30.26592422121288,-31.80353512982008
Below 2?C,CHL,1D,-32.88993194426657,-35.91990550594804,-44.076505995903275,-49.206757976510936,-50.55927556185476
Below 2?C,CHL,6M,-32.564998685661706,-35.5650378837041,-43.64105593947156,-48.72062403613724,-50.059779540128304
Below 2?C,CHL,1Y,-32.24258359679171,-35.21292041670762,-43.208980536523676,-48.23825753951801,-49.56415451569528
Below 2?C,CHL,5Y,-29.811299410459384,-32.55765501879953,-39.95076424716761,-44.600803599762195,-45.82671999152977
Below 2?C,CHL,10Y,-27.109363513508992,-29.60680421539719,-36.32984177264602,-40.55842655943932,-41.67323248064436
Below 2?C,CHL,20Y,-22.640656655940614,-24.726419290015205,-30.341231491076798,-33.87277645894789,-34.8038177977619
Below 2?C,AUS,1D,-27.82771378371836,-29.376301591809785,-37.22887130655248,-40.91605725835261,-42.228560452592205
Below 2?C,AUS,6M,-27.552792274771807,-29.086080942580068,-36.861071869073605,-40.511830583856934,-41.811367015484905
Below 2?C,AUS,1Y,-27.280001354199825,-28.798109447094927,-36.496122805902196,-40.1107365876907,-41.39740674660246
Below 2?C,AUS,5Y,-25.22292563331404,-26.626559270763636,-33.744096251514605,-37.086146474586435,-38.27579398638318
Below 2?C,AUS,10Y,-22.936855265953582,-24.213271097195726,-30.685712793726527,-33.72485755324246,-34.806681810756174
Below 2?C,AUS,20Y,-19.155944571870194,-20.22195604687069,-25.627480603126852,-28.165652810438665,-29.069149182245056
Below 2?C,SGP,1D,-32.35608122726973,-34.48637230073297,-43.584597316929035,-47.541959436710066,-49.71431759984684
Below 2?C,SGP,6M,-32.03642210098524,-34.145667146702046,-43.154007030054345,-47.072272730565224,-49.22316926775515
Below 2?C,SGP,1Y,-31.719240270933042,-33.80760239153666,-42.72675373439193,-46.606226005299426,-48.73582723998121
Below 2?C,SGP,5Y,-29.327419310255788,-31.258306401480436,-39.50490023819507,-43.09183703174986,-45.060853560509045
Below 2?C,SGP,10Y,-26.66933970398762,-28.425221570753397,-35.924388480241525,-39.18622460813403,-40.97678006522063
Below 2?C,SGP,20Y,-22.273166361052358,-23.73960870131703,-30.002613110059613,-32.72676824571067,-34.2221685824658
Below 2?C,TUR,1D,-37.50978520237569,-44.050799363422,-50.78308796213793,-56.22879828503916,-59.085410658381214
Below 2?C,TUR,6M,-37.13921050018323,-43.61560327345863,-50.28138080502014,-55.67329070037301,-58.501681417050825
Below 2?C,TUR,1Y,-36.77150768006152,-43.18377986878821,-49.78356178106624,-55.12208819174988,-57.92247596412915
Below 2?C,TUR,5Y,-33.99871545447116,-39.92746386092685,-46.02958263314062,-50.96555213328239,-53.554773871583
