scenario,region,2025,2030,2035,2040,2045
Below 2?C,CHN,-0.47660431625578425,-0.6719651844319361,-0.7644842816450601,-0.8358466422311537,-0.9700484207102478
Below 2?C,USA,0.09321655798259712,-0.3068190857696715,-0.21646426816222938,-0.28606214451451445,-0.4498760587017169
Below 2?C,GBR,0.2441387931724722,0.0470066876005067,0.1332186637294441,0.12079505277939961,0.04097401995758958
Below 2?C,CHE,0.1560063845189157,0.01789694615345753,0.0751341651964848,0.06477096525768283,0.008780287502932168
Below 2?C,IND,-0.8501761258000772,-1.4831019515611494,-1.5499745558720475,-1.7701902982198683,-2.033923807490355
Below 2?C,TUR,-0.42363987147663407,-0.982185647747245,-0.972503157262803,-1.130793914683926,-1.362043933707655
Current Policies,CHN,-0.4765924224208405,-0.5238894471946818,-0.6227127691696789,-0.7192650686703972,-0.8097126581141024
Current Policies,USA,0.09321423172931546,0.10574780496929806,0.11893312785702828,0.13425074791570388,0.14842698079922761
Current Policies,GBR,0.24413270059963962,0.2782402944993568,0.32174089009835266,0.36836358340629344,0.41199878765580245
Current Policies,CHE,0.1560024913225592,0.17777918878636353,0.20544837397184637,0.23514774935752988,0.262938071927795
Current Policies,IND,-0.8501549093440601,-0.9709173153777959,-1.1363118801751126,-1.3087588907449914,-1.4708053123044387
Current Policies,TUR,-0.42362929938877186,-0.48417115840891156,-0.5691503262404412,-0.6569397349788897,-0.7395470974994404
Delayed transition,CHN,-0.4758070917294276,-0.5245845690619944,-0.8268244875121412,-0.9116639735997186,-0.9178553442215385
Delayed transition,USA,0.093060632986218,0.10588376023793347,-0.3286011395872934,-0.37851756188884733,-0.3564134990604697
Delayed transition,GBR,0.2437304178659257,0.27859636809752897,0.07119101374118933,0.0775634711973947,0.11164787191103431
Delayed transition,CHE,0.15574542986163564,0.17800672228872758,0.0321914359720821,0.034306516054493634,0.056426494207882
Delayed transition,IND,-0.8487540210559665,-0.9721572873964163,-1.6933269499816268,-1.9281948507311173,-2.00995915951109
Delayed transition,TUR,-0.42293124152015993,-0.4847890322478274,-1.110162527375488,-1.2663917741763786,-1.3003287259128642
Fragmented World,CHN,-0.4756002816456071,-0.5237974966613195,-0.5949842456786616,-0.7043254824076621,-0.7612179831530608
Fragmented World,USA,0.09302018407815658,0.1057298208429853,0.082362177799512,0.109888514635428,0.11416283556805128
Fragmented World,GBR,0.24362448016759203,0.27819319317970664,0.30528261283771324,0.3591449221589562,0.3927878052740704
Fragmented World,CHE,0.155677734936603,0.1777490907159617,0.1937992164872291,0.22847781728665084,0.24965544158865802
Fragmented World,IND,-0.8483851091727924,-0.970753292213186,-1.2020428338888567,-1.3613311911978028,-1.513308742861067
Fragmented World,TUR,-0.4227474139836867,-0.4840894262239371,-0.6245803626389221,-0.6987415315642971,-0.7808888442026377
Low demand,CHN,-0.4769364824432474,-0.8987864884422624,-0.8499765419422189,-1.1075149015747552,-1.061076009212975
Low demand,USA,0.09328152463862038,-0.7518899485830112,-0.6804365673910999,-1.0274759780791565,-1.084711234719965
Low demand,GBR,0.24430894406992334,-0.2068887247644811,-0.13409740873352544,-0.31423161633205277,-0.34164377035155225
Low demand,CHE,0.15611511212418075,-0.1573579719484614,-0.1092116757163599,-0.23472081682937607,-0.2539857154909549
Low demand,IND,-0.8507686503592284,-2.0132692578864915,-2.0893780717083326,-2.592559302207526,-2.687104987099044
Low demand,TUR,-0.42393512444889264,-1.507018879368028,-1.5122540757585359,-1.9713282927787519,-2.053457025380078
Nationally Determined Contributions (NDCs),CHN,-0.4760600104186657,-0.9381769372486009,-0.9088085857713596,-0.9941027593722441,-1.0444541734811101
Nationally Determined Contributions (NDCs),USA,0.09311010003646497,-0.31667107930858507,-0.20478362355412358,-0.21449431939186137,-0.230019148902632
Nationally Determined Contributions (NDCs),GBR,0.2438599745263572,0.036046035687193584,0.13813826114464098,0.16727469456819466,0.18046352445580793
Nationally Determined Contributions (NDCs),CHE,0.15582821746749528,0.010681165211992517,0.07864425634560158,0.09648375322019843,0.10414289890247384
Nationally Determined Contributions (NDCs),IND,-0.8492051823736986,-1.4679561575336562,-1.5272833759744446,-1.7133935102803262,-1.8428515404643953
Nationally Determined Contributions (NDCs),TUR,-0.42315605367008874,-0.9788815858817187,-0.9538570339323565,-1.0621951304501764,-1.1420978170057656
Net Zero 2050,CHN,-0.47687389650675116,-1.295563587185923,-1.430841380886316,-1.3890314610272303,-1.4881638141412972
Net Zero 2050,USA,0.09326928378099635,-2.064831202721576,-1.7254502784957506,-1.9133090143252367,-2.2346236258631142
Net Zero 2050,GBR,0.24427688465609804,-0.9626052977540496,-0.7368525256288558,-0.8270383548895601,-1.0064589150829484
Net Zero 2050,CHE,0.15609462593607595,-0.6785607151467348,-0.5248384193403928,-0.588203192621418,-0.7123048331011638
Net Zero 2050,IND,-0.8506570083383627,-3.543339492742385,-3.300894367106194,-3.610141542590363,-4.01240461160696
Net Zero 2050,TUR,-0.4238794936096636,-3.036437168957397,-2.7260622276622968,-2.9950314431459284,-3.384761717369796
