scenario,region,2025,2030,2035,2040,2045
Below 2?C,USA,0.0,-0.2864702669348748,-0.32514177401648964,-0.3944081546934119,-0.5336225513106388
Below 2?C,CHN,0.0,-0.07724466654004535,-0.10613520223175617,-0.11663694862738692,-0.18728537304153245
Below 2?C,GBR,0.0,-0.1649530959426445,-0.18722062438855633,-0.22710505658339059,-0.30726641492435697
Below 2?C,JPN,0.0,0.013444452960842488,0.01525936123543091,0.01851013000366197,0.025043657642737603
Below 2?C,IND,0.0,-0.33352585229782356,-0.37854953834049787,-0.4591936097062287,-0.6212753530602202
Below 2?C,CAN,0.0,-0.13806419002095954,-0.1567019019176945,-0.19008479657606675,-0.25717909963888186
Below 2?C,NOR,0.0,0.051192340120131054,0.05810295239644849,0.07048087962932817,0.09535854256273145
Below 2?C,IDN,0.0,-0.2226718918629816,-0.2607172130857531,-0.31102134945371046,-0.4335537771206594
Below 2?C,CHL,0.0,-0.06296868106990139,-0.0627962578280951,-0.13377185097942293,-0.17095248939635183
Below 2?C,AUS,0.0,-0.003102566067886758,-0.00352139105433023,-0.0042715684623835515,-0.0057793056098625305
Below 2?C,SGP,0.0,0.01769461640662622,-0.00521939891952425,0.01026305644036378,-0.02651392434081948
Below 2?C,TUR,0.0,-0.33352585229782356,-0.37854953834049787,-0.4591936097062287,-0.6212753530602202
Below 2?C,KOR,0.0,0.11702415521210341,0.10036303113546982,0.143031269834947,0.14169204221888607
Below 2?C,KAZ,0.0,-0.028972759042801513,-0.05718352734031197,-0.07248961986437179,-0.08146671390022792
Current Policies,USA,0.0,-0.000431615587879036,-0.003586438842485701,-0.00676114408165326,-0.009942676176861997
Current Policies,CHN,0.0,0.013757744601329355,0.011876418438070581,0.009942781366141181,0.008181108449056274
Current Policies,GBR,0.0,-0.00024852955330940886,-0.0020651155067742573,-0.003893149750988068,-0.005725114982705734
Current Policies,JPN,0.0,2.025632722898006e-05,0.0001683166243765855,0.00031731001105231885,0.0004666237916938848
Current Policies,IND,0.0,-0.0005025127331804662,-0.00417554702780375,-0.007871729120336375,-0.011575859447790592
Current Policies,CAN,0.0,-0.0002080168988514488,-0.001728482258021087,-0.0032585297288834306,-0.004791867399317967
Current Policies,NOR,0.0,7.712986137188553e-05,0.0006408979158954591,0.0012082188882376764,0.0017767598222190218
Current Policies,IDN,0.0,0.005665735621361255,0.002767701417820692,-0.0001660950341083979,-0.0030300189442294214
Current Policies,CHL,0.0,0.06591205673550299,0.06035053019483081,0.0547658558562498,0.04917323328274669
Current Policies,AUS,0.0,-4.674537052841553e-06,-3.8842297933058085e-05,-7.322538716592015e-05,-0.00010768241346781999
Current Policies,SGP,0.0,0.019040452350516074,0.017822863889026163,0.01654216105385128,0.015500070860522032
Current Policies,TUR,0.0,-0.0005025127331804662,-0.00417554702780375,-0.007871729120336375,-0.011575859447790592
Current Policies,KOR,0.0,0.024567447163248997,0.02404428947644213,0.02344671436873873,0.023157482400841697
Current Policies,KAZ,0.0,0.02429735388039306,0.022107947057371652,0.01989539243644096,0.01767488958058863
Delayed transition,USA,0.0,-0.000431615587879036,-0.31396348800675966,-0.45791507334826187,-0.49478835732222304
Delayed transition,CHN,0.0,0.013757744601329355,-0.1162778835794502,-0.15474449798795212,-0.13422521896348827
Delayed transition,GBR,0.0,-0.00024852955330940886,-0.1807840300977551,-0.263673119852158,-0.2849052093606302
Delayed transition,JPN,0.0,2.025632722898006e-05,0.0147347485346133,0.021490599110207242,0.023221114242559168
Delayed transition,IND,0.0,-0.0005025127331804662,-0.3655351078779061,-0.5331321702339872,-0.5760622571711802
Delayed transition,CAN,0.0,-0.0002080168988514488,-0.15131453302852857,-0.22069192163174356,-0.23846298087551182
Delayed transition,NOR,0.0,7.712986137188553e-05,0.05610538865102742,0.08182958891963521,0.08841885807743698
Delayed transition,IDN,0.0,0.005665735621361255,-0.2577193491877817,-0.3694612713181433,-0.38494645049461973
Delayed transition,CHL,0.0,0.06591205673550299,-0.15218187385573131,-0.1401556963447426,-0.13284112248424987
Delayed transition,AUS,0.0,-4.674537052841553e-06,-0.0034003265849107383,-0.004959369025432474,-0.005358718671359848
Delayed transition,SGP,0.0,0.019040452350516074,-0.02394062489929419,-0.014570906342204707,0.029453169922872852
Delayed transition,TUR,0.0,-0.0005025127331804662,-0.3655351078779061,-0.5331321702339872,-0.5760622571711802
Delayed transition,KOR,0.0,0.024567447163248997,0.07266656481809455,0.13208470110219003,0.20070050164790976
Delayed transition,KAZ,0.0,0.02429735388039306,-0.050140812603251,-0.08013001979540468,-0.10935419246208408
Fragmented World,USA,0.0,-0.000431615587879036,-0.030301868727156307,-0.033477002523341355,-0.04202758851479959
Fragmented World,CHN,0.0,0.013757744601329355,0.038878426576483924,0.03692576558816697,0.050860595819195935
Fragmented World,GBR,0.0,-0.00024852955330940886,-0.017448187949391448,-0.019276468961996196,-0.024200001328918894
Fragmented World,JPN,0.0,2.025632722898006e-05,0.001422109362646327,0.001571122862106274,0.001972413901416589
Fragmented World,IND,0.0,-0.0005025127331804662,-0.035279251496418446,-0.03897593254071331,-0.04893103716975764
Fragmented World,CAN,0.0,-0.0002080168988514488,-0.0146039692240988,-0.01613422323778365,-0.02025517352608573
Fragmented World,NOR,0.0,7.712986137188553e-05,0.005414954880845623,0.005982352436481581,0.007510345240009306
Fragmented World,IDN,0.0,0.005665735621361255,-0.0032024828224863763,-0.006144791165908569,-0.00576634795397901
Fragmented World,CHL,0.0,0.06591205673550299,0.029246825726216116,-0.03897593254071331,-0.04893103716975764
Fragmented World,AUS,0.0,-4.674537052841553e-06,-0.00032817908368761267,-0.00036256681433221834,-0.00045517243878844655
Fragmented World,SGP,0.0,0.019040452350516074,0.06635011459920792,0.06504352528045022,0.08782837420696674
Fragmented World,TUR,0.0,-0.0005025127331804662,-0.035279251496418446,-0.03897593254071331,-0.04893103716975764
Fragmented World,KOR,0.0,0.024567447163248997,0.09509216969812724,0.09446152819549805,0.12650564523694663
Fragmented World,KAZ,0.0,0.02429735388039306,0.12322488869907743,0.12977484027172562,0.16644246282838449
Low demand,USA,0.0,-0.5935476431639611,-0.7401340288487992,-1.0312952805547735,-1.163347921602373
Low demand,CHN,0.0,-0.22923006836516818,-0.21263052517355327,-0.3507637372004565,-0.3523360727780894
Low demand,GBR,0.0,-0.3417720183561437,-0.42617825848874896,-0.593832481041467,-0.6698700126194169
Low demand,JPN,0.0,0.027856026574481912,0.03473553203983525,0.048400139520621104,0.05459755588747596
Low demand,IND,0.0,-0.691043736174648,-0.8617083909882228,-1.2006957688769475,-1.3544393672085389
Low demand,CAN,0.0,-0.28605996520717986,-0.3567071944090784,-0.4970322020002248,-0.560674900844465
Low demand,NOR,0.0,0.10606717811052725,0.13226221815168057,0.18429283894390355,0.20789069357154305
Low demand,IDN,0.0,-0.49128707472386657,-0.5809509415351966,-0.833059215560778,-0.9209814111593939
Low demand,CHL,0.0,-0.15939784628077708,-0.17889438784877845,-0.32802705974405383,-0.2931539166512287
Low demand,AUS,0.0,-0.006428313824880481,-0.00801589200919283,-0.011169262966297284,-0.012599435974033034
Low demand,SGP,0.0,-0.058151343459300966,0.02782016173423635,-0.03590668906334124,0.018892770768950615
Low demand,TUR,0.0,-0.691043736174648,-0.8617083909882228,-1.2006957688769475,-1.3544393672085389
Low demand,KOR,0.0,0.12083853635550804,0.2793899555510569,0.2935102225714444,0.40728826604070933
Low demand,KAZ,0.0,-0.04042754923013255,-0.07097332096582201,-0.22079855543279056,-0.15055743114510203
Nationally Determined Contributions (NDCs),USA,0.0,-0.2914690275927722,-0.318054277170501,-0.34472347337678005,-0.37117632373967635
Nationally Determined Contributions (NDCs),CHN,0.0,-0.26954350450895004,-0.2685307504324153,-0.267109086132595,-0.263210624637709
Nationally Determined Contributions (NDCs),GBR,0.0,-0.16783144368609085,-0.1831395567100899,-0.19849600723320007,-0.2137278831641819
Nationally Determined Contributions (NDCs),JPN,0.0,0.013679051836483882,0.014926735029662528,0.016178357956310972,0.01741982746792702
Nationally Determined Contributions (NDCs),IND,0.0,-0.33934570902046585,-0.37029784977431973,-0.40134772622386844,-0.43214571987742106
Nationally Determined Contributions (NDCs),CAN,0.0,-0.14047334001312306,-0.1532860866507649,-0.16613929132057811,-0.1788882282283278
Nationally Determined Contributions (NDCs),NOR,0.0,0.05208562045430402,0.05683641415140722,0.06160220914133794,0.06632934305095296
Nationally Determined Contributions (NDCs),IDN,0.0,-0.30915289250799005,-0.3262786761831748,-0.34328304678396004,-0.3590731519150617
Nationally Determined Contributions (NDCs),CHL,0.0,-0.12703185558343488,-0.13093495558944723,-0.13493579129115388,-0.13868474419686488
Nationally Determined Contributions (NDCs),AUS,0.0,-0.003156704269957839,-0.003444631160691349,-0.003733467220687174,-0.0040199601849063085
Nationally Determined Contributions (NDCs),SGP,0.0,-0.24368530026806734,-0.23083116116871205,-0.217380425028119,-0.20062867286796565
Nationally Determined Contributions (NDCs),TUR,0.0,-0.33934570902046585,-0.37029784977431973,-0.40134772622386844,-0.43214571987742106
Nationally Determined Contributions (NDCs),KOR,0.0,-0.21663134091777964,-0.1913882382974386,-0.1653521726586961,-0.13515275801060403
Nationally Determined Contributions (NDCs),KAZ,0.0,-0.33934570902046585,-0.3221752420902237,-0.3051025108556764,-0.287777896825133
