scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,0.0,-0.39714138172999797,-0.44528736986366674,-0.5390648346537616,-0.7274136328152374
Below 2?C,USA,0.0,-0.29349996576626763,-0.33199718927916266,-0.4012704214124821,-0.5418821915687919
Below 2?C,CHN,0.0,-1.8525746646667123,-1.975005090808935,-2.473231704484265,-3.147292648476391
Below 2?C,GBR,0.0,-0.22046904943593634,-0.24774462316197302,-0.3001998628321172,-0.4039728318936931
Below 2?C,JPN,0.0,-0.5237112794183907,-0.5888598596075088,-0.714403773151702,-0.9616435495755042
Below 2?C,IND,0.0,-1.6813232459627507,-1.79436905204772,-2.2441826050293443,-2.8641252929520578
Below 2?C,CAN,0.0,-0.3333856251325161,-0.3760523109353503,-0.4551366076160582,-0.6132239932021353
Below 2?C,NOR,0.0,-0.14422498099086797,-0.16190046004158767,-0.19575423951015578,-0.26368884025408923
Below 2?C,IDN,0.0,-1.0697183644353057,-1.1403393975918246,-1.4287057997387278,-1.8187307153053742
Below 2?C,RUS,0.0,-1.4539309030358403,-1.5364452658921903,-1.8495632770668087,-2.5766201863018567
Below 2?C,CHL,0.0,-0.5868324815937049,-0.6759991167093098,-0.7239721263648788,-0.9905517135536008
Below 2?C,AUS,0.0,-0.418811536614498,-0.4719335471785941,-0.5734393632948828,-0.7716495030381443
Below 2?C,SGP,0.0,-0.7048530473329296,-0.7688065828137757,-0.9448876001011739,-1.2360363971330783
Below 2?C,TUR,0.0,-1.0333424059171061,-1.1359634410997081,-1.3475252579923986,-1.859546061016764
Below 2?C,KOR,0.0,-0.9189061512854091,-0.9877800327726955,-1.2255217614262743,-1.5787944713113244
Below 2?C,KAZ,0.0,-1.3096184754832922,-1.3846602503238405,-1.666969814671898,-2.3204778830435235
Below 2?C,MEA,0.0,-0.5668023750642713,-0.6244084694157038,-0.7410541308135103,-1.02055432225767
Below 2?C,AFR,0.0,-0.8028221826873202,-0.885704379331762,-1.0472802648182273,-1.4501314280442608
