region,spot_pct,fwd5y_pct,rate_bp
USA,-0.5975600340935772,-0.5975600340935772,0.0
CHN,-0.5993295544650376,-0.5993295544650376,0.0
GBR,-0.5819368135781321,-0.581936813578132,0.0
JPN,-0.5986906579771017,-0.5986906579771017,0.0
IND,-0.59890047229606,-0.5989004722960598,0.0
CAN,-0.5955806431445972,-0.5955806431445972,0.0
NOR,-0.571561850280733,-0.571561850280733,0.0
IDN,-0.6003623533921575,-0.6003623533921575,0.0
CHL,-0.5923010680740424,-0.5923010680740424,0.0
AUS,-0.5959755279603006,-0.5959755279603006,0.0
SGP,-0.5849648846116441,-0.584964884611644,0.0
TUR,-0.5764560818815503,-0.5764560818815503,0.0
KOR,-0.5953284961009828,-0.5953284961009828,0.0
KAZ,-0.5967591038859725,-0.5967591038859725,0.0
