scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,0.0,6.670517045956474,0.9004737208534859,1.6128814273146181,3.2416348670798394
Below 2?C,CHN,0.0,5.125623715155564,0.32266300701926864,1.4028464994019958,1.8286663787969206
Below 2?C,USA,0.0,0.9411117072589754,0.12704357922118947,0.22755381377617093,0.45734693473529514
Below 2?C,GBR,0.0,3.3714551271035824,0.45512315193525027,0.815192783417931,1.638407700260508
Below 2?C,CHE,0.0,4.3953019295062035,0.5933353974615992,1.0627513280755236,2.1359609589285764
Below 2?C,RUS,0.0,0.0,0.0,0.0,0.0
Below 2?C,IND,0.0,0.0,0.0,0.0,0.0
Below 2?C,TUR,0.0,0.0,0.0,0.0,0.0
Below 2?C,RASIA,0.0,2.2939086862259375,0.14440378686729582,0.627826377676696,0.8183967305536539
Below 2?C,LAM,0.0,3.1610736435554383,0.5280519056361213,0.11296234181533982,1.4592908000760232
Below 2?C,MEA,0.0,0.0,0.0,0.0,0.0
Below 2?C,AFR,0.0,3.1961011185862938,0.33423366531787,0.6247234302610446,1.641821604281971
Below 2?C,ROW,0.0,2.1655903243191603,0.2124627242059233,0.5029111363796827,0.9374614782965349
Current Policies,EU27,0.0,0.010050254663609317,0.07346068589246571,0.07392364185065255,0.0740826065490843
Current Policies,CHN,0.0,0.2852051466901964,0.03583416262729021,0.03525090041206456,0.03884914820738612
Current Policies,USA,0.0,0.0014179429060286013,0.010364220800332372,0.010429537067301367,0.010451964644909566
Current Policies,GBR,0.0,0.005079663597421144,0.03712896682316871,0.03736295696637633,0.03744330191473098
Current Policies,CHE,0.0,0.006622260824858853,0.048404327913640195,0.04870937641322067,0.04881412059435787
Current Policies,RUS,0.0,0.0,0.0,0.0,0.0
Current Policies,IND,0.0,0.0,0.0,0.0,0.0
Current Policies,TUR,0.0,0.0,0.0,0.0,0.0
Current Policies,RASIA,0.0,0.12763999070289303,0.016037130597652362,0.015776098899617758,0.01738644962600364
Current Policies,LAM,0.0,0.7759592700600749,-0.022064331312862763,-0.022064331312857437,-0.02206433131286358
Current Policies,MEA,0.0,0.0,0.0,0.0,0.0
Current Policies,AFR,0.0,0.05412538172618703,0.03387883902519571,0.034032917224227965,0.034422151263662
Current Policies,ROW,0.0,0.10458345094588793,0.01659019987294459,0.016976564735614163,0.017865406064352198
Delayed transition,EU27,0.0,0.010050254663609317,7.300651902894514,3.3519412471216246,0.8586017387438567
Delayed transition,CHN,0.0,0.2852051466901964,4.699939339278923,2.582608958951587,1.2689873192331405
Delayed transition,USA,0.0,0.0014179429060286013,1.0300144545169003,0.472909540291578,0.12113605926463714
Delayed transition,GBR,0.0,0.005079663597421144,3.6899418920055993,1.6941594520335652,0.4339599485744144
Delayed transition,CHE,0.0,0.006622260824858853,4.81050706779871,2.2086434574057217,0.5657453317304482
Delayed transition,RUS,0.0,0.0,0.0,0.0,0.0
Delayed transition,IND,0.0,0.0,0.0,0.0,0.0
Delayed transition,TUR,0.0,0.0,0.0,0.0,0.0
Delayed transition,RASIA,0.0,0.12763999070289303,2.1033989762511665,1.1558142878391469,0.5679193784148316
Delayed transition,LAM,0.0,0.7759592700600749,1.7167681700367337,2.0986406929702257,0.587037010536857
Delayed transition,MEA,0.0,0.0,0.0,0.0,0.0
Delayed transition,AFR,0.0,0.05412538172618703,3.4664592780649546,1.3686633783661808,0.6405337033119475
Delayed transition,ROW,0.0,0.10458345094588793,2.1021764669403034,1.084567991642504,0.41760730084484515
Fragmented World,EU27,0.0,0.010050254663609317,0.6955347752647597,0.07393362088589736,0.19910209258088588
Fragmented World,CHN,0.0,0.2852051466901964,1.1979484147678503,0.03488040111955911,0.4777986972014655
Fragmented World,USA,0.0,0.0014179429060286013,0.09812971247921413,0.01043094496219637,0.028090372751721878
Fragmented World,GBR,0.0,0.005079663597421144,0.35154160734311884,0.03736800063380239,0.10063144524243223
Fragmented World,CHE,0.0,0.006622260824858853,0.45829810773259355,0.04871595174652152,0.1311913013129868
Fragmented World,RUS,0.0,0.0,0.0,0.0,0.0
Fragmented World,IND,0.0,0.0,0.0,0.0,0.0
Fragmented World,TUR,0.0,0.0,0.0,0.0,0.0
Fragmented World,RASIA,0.0,0.12763999070289303,0.5361268066091662,0.015610286582415102,0.2138328216597565
Fragmented World,LAM,0.0,0.7759592700600749,-0.022064331312862763,-0.7538949387472111,0.0
Fragmented World,MEA,0.0,0.0,0.0,0.0,0.0
Fragmented World,AFR,0.0,0.05412538172618703,1.6778223971980082,0.3948294814523974,0.6635805191170658
Fragmented World,ROW,0.0,0.10458345094588793,0.5009137627974799,0.02783599955633505,0.2066600121415777
Low demand,EU27,0.0,13.82087472349295,3.4132930962714974,6.779747557774486,3.0748719666318385
Low demand,CHN,0.0,9.236273356189592,3.7452839601037895,4.017083317236432,3.0434252550791783
Low demand,USA,0.0,1.949921860213734,0.48156538257473835,0.956522523655005,0.4338191456798408
Low demand,GBR,0.0,6.985434356370081,1.7251682936193924,3.426663106720128,1.5541213350728362
Low demand,CHE,0.0,9.106777918580626,2.249069094442459,4.4672755225645835,2.02607842762563
Low demand,RUS,0.0,0.0,0.0,0.0,0.0
Low demand,IND,0.0,0.0,0.0,0.0,0.0
Low demand,TUR,0.0,0.0,0.0,0.0,0.0
Low demand,RASIA,0.0,4.1335784399221085,1.6761549200464496,1.7977953175640564,1.3620468486328654
Low demand,LAM,0.0,6.2115219590034405,1.766183229806294,2.2181807434528724,2.203716897778171
Low demand,MEA,0.0,0.0,0.0,0.0,0.0
Low demand,AFR,0.0,6.987313571519943,1.0996787908606167,2.894950012618131,1.8044037142383424
Low demand,ROW,0.0,4.258768677488022,1.266935930362516,1.854036490347933,1.2287551236311371
Nationally Determined Contributions (NDCs),EU27,0.0,6.786914180409315,0.6190428150770825,0.6209975289909755,0.6159598730710475
Nationally Determined Contributions (NDCs),CHN,0.0,1.3960440902303153,0.6392978966077726,0.6494308149873798,0.6939291029687731
Nationally Determined Contributions (NDCs),USA,0.0,0.9575336285538725,0.08733782352250312,0.08761360486539345,0.08690286581312452
Nationally Determined Contributions (NDCs),GBR,0.0,3.4302853066874994,0.3128805545970991,0.3138685185287721,0.31132235445141315
Nationally Determined Contributions (NDCs),CHE,0.0,4.47199771577358,0.4078964285391629,0.40918441832738695,0.4058650326437135
Nationally Determined Contributions (NDCs),RUS,0.0,0.0,0.0,0.0,0.0
Nationally Determined Contributions (NDCs),IND,0.0,0.0,0.0,0.0,0.0
Nationally Determined Contributions (NDCs),TUR,0.0,0.0,-0.0,-0.0,-0.0
Nationally Determined Contributions (NDCs),RASIA,0.0,0.6247820446641026,0.2861097652912729,0.29064462597936264,0.31055927734576777
Nationally Determined Contributions (NDCs),LAM,0.0,2.4805837642947233,0.31602936046159813,0.3160293604616046,0.31602936046159813
Nationally Determined Contributions (NDCs),MEA,0.0,0.0,-0.0,-0.0,-0.0
Nationally Determined Contributions (NDCs),AFR,0.0,7.328341483411056,-0.058645539056178676,-0.048131320330944624,-0.04502940566638017
Nationally Determined Contributions (NDCs),ROW,0.0,1.6824853434455054,0.20041680444208895,0.20568519053194506,0.23045260539692408
Net Zero 2050,EU27,0.0,34.86132411158263,5.6712756347883,4.919830136478125,6.726787265622704
Net Zero 2050,CHN,0.0,24.825911391720737,1.7245587675185858,4.883888434779708,5.543957605944485
