region,2025,2030,2035,2040,2045
EU27,-0.4606700156512747,-0.5482926145311114,-0.6450381960453173,-0.737290667996271,-0.8214835361319941
CHN,-0.20678678197085623,-0.2736244523424385,-0.33393471368360705,-0.3786808672495126,-0.4219680229362258
USA,-0.8492561089443669,-1.0017355835539767,-1.175114426672006,-1.3440503322969068,-1.4974031080537156
GBR,-0.25677327659562454,-0.3031134741281782,-0.35604389360154276,-0.4072635652205567,-0.4539088529851622
CHE,-1.0119364886338136,-1.1829660943610012,-1.3874268074818026,-1.588581359861451,-1.7715310396862323
RUS,-1.1822272116589243,-1.5294160423261998,-1.891915716441235,-2.152996171268676,-2.424502491716995
IND,-1.3108099146227363,-1.6763399973929194,-2.0270678554551727,-2.3051464108251416,-2.5701290476943575
TUR,-1.4421134200126657,-1.9026068625357848,-2.284936851049296,-2.5914250351043586,-2.891773896891228
RASIA,-1.5400377609553704,-1.9397523553451923,-2.3296148688182226,-2.6507733657485613,-2.954527804991404
LAM,-1.4656218506864078,-2.0540085134695127,-2.3186941517273296,-2.545969083316252,-2.7811677136932067
MEA,-1.7157304336613302,-2.1130843929270164,-2.5054896233173483,-2.857498119390343,-3.189018379299348
AFR,-1.8735792428122682,-2.3668413272427307,-2.818839781662273,-3.2086157200978707,-3.580965893637212
ROW,-1.3274574695706056,-1.6703199384409513,-1.984777698954897,-2.2540833490566468,-2.5083852639808697
