region,2025,2030,2035,2040,2045
EU27,-0.46059068038787526,-0.8249585850344965,-0.9235363825493554,-0.9820400249066936,-0.9982145770319925
CHN,-0.20675116974679605,-0.6692642918381215,-0.7346599724481174,-0.7628041376261742,-0.7652007011341541
USA,-0.8491098525030801,-1.4148899352452327,-1.589605620381989,-1.7008574784923352,-1.7366438386103626
GBR,-0.2567290558414176,-0.4237820472361855,-0.47724241140516466,-0.5120726093209047,-0.5253955981407431
CHE,-1.0117622158460444,-1.5088163286852816,-1.7136007921266558,-1.8586281322298872,-1.9290799322926755
RUS,-1.1820236118932606,-3.362680667654175,-3.814450709837915,-3.850846407566402,-3.8499572618738274
IND,-1.3105841707142771,-3.577588650832045,-3.9523670577450085,-4.137316077516332,-4.182565088475995
TUR,-1.4418650633926529,-3.92367854801417,-4.299791839871893,-4.5008782084982055,-4.606766368061745
RASIA,-1.5397725400873754,-3.8205983903363707,-4.230752201511844,-4.446712104901101,-4.508474190652753
LAM,-1.4653694455121666,-3.4283144897160343,-3.550971920689265,-3.6705394957374073,-3.628610327826391
MEA,-1.7154349555072232,-3.3392238713022757,-3.7236112433010877,-3.984060531147175,-4.138875488027727
AFR,-1.873256580390843,-4.136051023051462,-4.575844575263352,-4.858857831816826,-5.027741623269431
ROW,-1.3272288586681769,-3.1173627298388507,-3.441761443305158,-3.6072550318177132,-3.643130298977371
