region,2025,2030,2035,2040,2045
EU27,-0.574794543436702,-0.6564272565308981,-0.7669338693174357,-0.8803645836617221,-0.9827928503201137
CHN,-0.7850610099890933,-0.8965559100740953,-1.0474871150329443,-1.2024120915897483,-1.3423097983311558
USA,-0.5336696194637985,-0.6094617428063448,-0.7120619199782063,-0.817376987511182,-0.9124768013735242
GBR,-0.46708632586951,-0.5334222444430424,-0.6232215098329592,-0.7153969422701693,-0.7986316272283768
CHE,-0.5059682443169068,-0.5778261994675277,-0.6751006734434102,-0.7749491150191458,-0.8651125496608623
RUS,-0.5911136058294622,-0.6750639632950006,-0.7887079828810077,-0.905359122550789,-1.0106954426927546
IND,-0.9498719899096051,-1.0847734577713,-1.2673902508224646,-1.4548392438258928,-1.6241062324999296
TUR,-0.7616943591284572,-0.8698707115211416,-1.016309581839276,-1.1666233526544452,-1.302357127130671
RASIA,-0.7700188804776852,-0.8793774870700789,-1.0274167808227717,-1.1793733236753572,-1.3165905261038804
LAM,-0.7328109253432039,-0.8368852327699263,-0.9777711442618189,-1.1223850201068857,-1.2529717727619274
MEA,-0.8578652168306651,-0.9796998200269978,-1.1446279329010984,-1.3139201877899698,-1.4667915888668082
AFR,-0.9367896214061341,-1.0698331223702116,-1.249934776321586,-1.4348020774463977,-1.6017377908066754
ROW,-0.6637287347853028,-0.7579919423918812,-0.8855965188926931,-1.0165776240148527,-1.134853944852809
