region,2025,2030,2035,2040,2045
EU27,-0.5746955539757977,-0.6670840286490072,-0.7762233766522362,-0.8672187413940287,-0.9257796480100742
CHN,-0.7849258090428715,-0.9111110522162675,-1.0601748311809713,-1.1844573487591576,-1.2644405097317573
USA,-0.5335777124188642,-0.6193560530184423,-0.7206867893353998,-0.8051716930792184,-0.8595427324464032
GBR,-0.46700588560764333,-0.5420820909762313,-0.6307702973078838,-0.7047144414785569,-0.7523018777602801
CHE,-0.5058811079230222,-0.5872069222670975,-0.683277848697468,-0.763377365063965,-0.8149261479194339
RUS,-0.5910118059466303,-0.6860232931375811,-0.7982612297580944,-0.8918400550626727,-0.9520635715621213
IND,-0.9497084056910648,-1.1023842187874335,-1.2827415496789722,-1.433115190429017,-1.5298895344680354
TUR,-0.7615631823195523,-0.8839926326520351,-1.0286196592691936,-1.149203016961232,-1.2268055494560495
RASIA,-0.7698862700436877,-0.8936537460039736,-1.0398613945022337,-1.161762601963591,-1.240213248837575
LAM,-0.7326847227560833,-0.8504716509539799,-0.9896144238192339,-1.105625263170075,-1.1802851092946705
MEA,-0.8577174777536116,-0.9956047624593947,-1.1584922698455156,-1.2943003758829723,-1.3817009356579564
AFR,-0.9366282901954215,-1.0872013344242886,-1.2650746452688209,-1.4133772244417284,-1.5088187176925887
ROW,-0.6636144293340884,-0.7702975669939468,-0.8963233307953274,-1.0013978117573201,-1.069019463528321
