region,2025,2030,2035,2040,2045
EU27,-0.574794543436702,-0.6841244108183882,-0.8048373516798831,-0.919944078174746,-1.0249945471797293
CHN,-0.7850610099890933,-1.0388086069444324,-1.267775053590316,-1.4376527419839957,-1.6019913802619277
USA,-0.5336696194637985,-0.6294871971461051,-0.7384378661555802,-0.844596608517384,-0.9409629656385367
GBR,-0.46708632586951,-0.5513819850304705,-0.6476656617679083,-0.7408373833191519,-0.8256880203089473
CHE,-0.5059682443169068,-0.5914830471805006,-0.6937134037409013,-0.7942906799307256,-0.8857655198431161
RUS,-0.5911136058294622,-0.7647080211630999,-0.9459578582206175,-1.076498085634338,-1.2122512458584975
IND,-0.9498719899096051,-1.2147515755913059,-1.4689048015761808,-1.6704130658896088,-1.8624314369490749
TUR,-0.7616943591284572,-1.0049174320975887,-1.2068561919309388,-1.3687368857062003,-1.5273749169587647
RASIA,-0.7700188804776852,-0.9698761776725962,-1.1648074344091113,-1.3253866828742806,-1.477263902495702
LAM,-0.7328109253432039,-1.0270042567347564,-1.1593470758636648,-1.272984541658126,-1.3905838568466034
MEA,-0.8578652168306651,-1.0565421964635082,-1.2527448116586741,-1.4287490596951715,-1.594509189649674
AFR,-0.9367896214061341,-1.1834206636213653,-1.4094198908311364,-1.6043078600489353,-1.790482946818606
ROW,-0.6637287347853028,-0.8351599692204756,-0.9923888494774485,-1.1270416745283234,-1.2541926319904348
