region,2025,2030,2035,2040,2045
EU27,-0.5745284196358128,-0.8783851869656135,-1.022723669291421,-1.1181902652042826,-1.1716231235089225
CHN,-0.7846975350356621,-1.7628810728979885,-2.1332290001709744,-2.303443296806668,-2.3936025392926963
USA,-0.5334225360682228,-0.7763591539331488,-0.9021693322269198,-0.9907059541851764,-1.041555600099416
GBR,-0.4668700698354138,-0.6744774678099136,-0.7860130160060949,-0.8650838265633388,-0.9127019586611007
CHE,-0.5057339863653582,-0.6823196802806607,-0.7964058242921931,-0.8835673583276894,-0.9401522050184906
RUS,-0.5908399264750965,-1.1563519781348355,-1.4647693329215876,-1.577798348962246,-1.6623587897174241
IND,-0.9494322092137039,-1.8879677312705487,-2.270813383468286,-2.4663507206671125,-2.578309397747227
TUR,-0.7613417026875051,-1.7003979221855707,-1.9586888009764238,-2.090784265097476,-2.1792331059263246
RASIA,-0.7696623698712972,-1.4348606891827114,-1.715161405331611,-1.8670626031603734,-1.9556986365219513
LAM,-0.73247164162694,-1.3870171992946605,-1.5138705806589254,-1.601506921730884,-1.6373491349752143
MEA,-0.8574680342986448,-1.4609254883066667,-1.6887058834730813,-1.8393094519990054,-1.9445199746627415
AFR,-0.9363558977086344,-1.7781247562237632,-2.046414137759104,-2.209862688470147,-2.3239106561638256
ROW,-0.6634214353934116,-1.231885259198429,-1.4429365286769993,-1.5578321163973803,-1.6215515084792178
