region,2025,2030,2035,2040,2045
EU27,0.0,-0.3622464620032102,-0.37610617664885515,-0.3581079101675803,-0.31972857384759706
CHN,0.0,-1.6297346241486794,-1.7289439629301726,-1.711510086882174,-1.6406254212299511
USA,0.0,-0.26975591847394786,-0.2782159180955144,-0.26364129954963056,-0.2317582858616736
GBR,0.0,-0.22880342342539473,-0.23736289570890856,-0.2267770160331476,-0.20342491288252385
CHE,0.0,-0.1672012420755432,-0.17352254736585987,-0.16593670105097863,-0.14961381822690384
RUS,0.0,-0.9953170406895064,-1.1089641251608633,-1.033583148720528,-0.9729150593747924
IND,0.0,-1.4900978893616363,-1.5813218969832608,-1.5649706583238956,-1.500985788641323
TUR,0.0,-1.1884128907841724,-1.2424410939330242,-1.2280673800559248,-1.2063927743931957
RASIA,0.0,-1.0166454491642116,-1.0755147062536887,-1.0615934504869595,-1.0140238464888014
LAM,0.0,-0.8636855939040371,-0.7858715365253985,-0.7296444846986287,-0.6340200546185248
MEA,0.0,-0.674007173191743,-0.7033133518050284,-0.6977298896906154,-0.6877368083559072
AFR,0.0,-0.9808241771014423,-1.0228476423628545,-1.016051691466684,-1.0050520939421272
ROW,0.0,-0.7883837979254786,-0.8245573908572514,-0.8022297041515363,-0.7525456859603644
