region,2025,2030,2035,2040,2045
EU27,0.0,13.012001069418138,3.125603624028356,3.20963669079154,3.077683079615616
CHN,0.0,8.908698191958553,1.8433527075077247,2.5724941492850393,2.5331324937656374
USA,0.0,1.835801701266745,0.44097663532803166,0.4528324633519847,0.434215752317862
GBR,0.0,6.576608292450098,1.5797624518344868,1.6222349786016157,1.555542145666187
CHE,0.0,8.573799154267764,2.059506263894653,2.114876889281247,2.0279307113746303
RUS,0.0,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0,0.0
TUR,0.0,0.0,0.0,0.0,0.0
RASIA,0.0,3.9869762786281315,0.8249694129959624,1.1512875314787434,1.1336717156253067
LAM,0.0,6.264163215942215,0.4495922249092038,1.643009987666245,1.7130004792704383
MEA,0.0,0.0,0.0,0.0,0.0
AFR,0.0,7.250633455274723,0.7913423560524354,1.1410733678196543,1.7323570225863107
ROW,0.0,4.103110533078253,0.7975003147775381,1.0133365125757394,1.0734707183693626
