region,2025,2030,2035,2040,2045
EU27,0.0,0.48946643550763974,0.22670294125861065,0.13461743292336814,0.1395542691057506
CHN,0.0,0.3779574992447667,0.24061280435249316,0.09544235671968196,0.14745874840458018
USA,0.0,0.06905650485456621,0.031984445976021035,0.018992537048103098,0.019689051920346205
GBR,0.0,0.2473892371713032,0.11458164162838308,0.06803919865584189,0.07053440578058093
CHE,0.0,0.3225166435515455,0.14937790703086748,0.08870140929059141,0.09195436336425429
RUS,0.0,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0,0.0
TUR,0.0,0.0,0.0,0.0,0.0
RASIA,0.0,0.16915014420161933,0.10768324648751833,0.042714031165767725,0.06599331566714615
LAM,0.0,0.899898561824404,0.011785581164106187,-0.07275033563705705,0.011494714113250364
MEA,0.0,0.0,0.0,0.0,0.0
AFR,0.0,0.553647103176711,0.2414822612652718,0.08071554939828661,0.11191678743009446
ROW,0.0,0.2181943666469732,0.09837126437627053,0.03865163077769997,0.05962330753840126
