region,2025,2030,2035,2040,2045
EU27,3.655991400979553,4.2745930157601,4.941310635776126,5.457580298817761,5.740668406863664
CHN,3.088785913061259,3.6114151383431228,4.174695454632562,4.610868926516723,4.850037585407186
USA,5.729587463091106,6.699045995117439,7.7439108479292535,8.552997047679362,8.996646361070912
GBR,2.9469999614387192,3.4456386985035152,3.98306250096413,4.399214102597558,4.627404093217206
CHE,4.810154330722011,5.6240427976180305,6.501237050982385,7.180488308202179,7.552944733709106
RUS,2.995094472881408,3.50187090480855,4.048065367450782,4.471008488673128,4.702922499061546
IND,3.8596828239603163,4.512749465966881,5.216612868303682,5.761646193721157,6.0605063901645755
TUR,1.426117301418901,1.66741941861968,1.9274904715250378,2.1288752719553985,2.2393013655731346
RASIA,7.098294384697719,8.2993410740814,9.59380744976018,10.596171418443573,11.145801466035739
LAM,1.9615283821210818,2.293423206680261,2.651133439305878,2.9281246807548946,3.0800083417570026
MEA,2.8159907398080155,3.292462434567904,3.8059950001885277,4.203646534592993,4.421692312981161
AFR,2.284957073847961,2.6715767292464583,3.08826839370347,3.4109316303467576,3.5878587901941286
ROW,3.502510232498879,4.095142503195326,4.733870834358184,5.22846712280886,5.499670986927324
