region,2025,2030,2035,2040,2045
EU27,3.6548000480034357,4.242348358295095,4.936424537520355,5.515113307819069,5.887533805647493
CHN,3.087779391467929,3.584173049173355,4.170567405683045,4.659476028735742,4.974117684380634
USA,5.72772040151261,6.648512893449405,7.73625346468098,8.64316148488222,9.226810509544633
GBR,2.9460396426661593,3.419647115405012,3.979123943732436,4.445589970785565,4.745788486691617
CHE,4.80858687854585,5.581618797740356,6.494808456353025,7.2561839600937486,7.746174190923904
RUS,2.9941184818785125,3.4754551437300334,4.044062533670623,4.518141202722152,4.823238904629982
IND,3.8584250954498054,4.478708316267016,5.2114545439408495,5.822384620675229,6.215554308758735
TUR,1.4256525823030732,1.6548415269220003,1.9255845181201368,2.151317562032305,2.296590145335934
RASIA,7.095981311932204,8.236736421630901,9.584320839971458,10.707874699424853,11.430948152982081
LAM,1.96088919224904,2.276123163038902,2.6485119286524457,2.9589925405738917,3.15880520325641
MEA,2.815073112116744,3.2676263102801375,3.8022315319707545,4.24796075823629,4.53481391465196
AFR,2.284212490474625,2.651424149525202,3.085214632480169,3.4468891700340984,3.6796481559362633
ROW,3.501368893384063,4.0642514998181465,4.729189858048108,5.283584854398586,5.6403708698380335
