region,2025,2030,2035,2040,2045
EU27,-28.74414435701466,-27.101714920960337,-37.286782514017226,-41.303782563016014,-43.5954553703083
CHN,-39.259083541866026,-41.44745588863845,-52.13953352881582,-57.31881442258144,-60.37837649308836
USA,-26.68758212126239,-30.28527761212427,-35.84951812261649,-39.61219563405726,-41.68795773697745
GBR,-23.357905761781634,-24.02180954970505,-30.779850622802044,-34.057029704094155,-35.89900875253295
CHE,-25.30230048419382,-25.296604613663636,-33.16795489839757,-36.71325669438648,-38.7159193950441
RUS,-29.560222885498955,-34.56187622782989,-39.95256764031041,-44.12682426040074,-46.4157102703156
IND,-47.500899078477715,-55.53815345101294,-64.20056069128677,-70.90825512263851,-74.58631072391887
TUR,-38.09057143063015,-44.53557810887023,-51.48188961345307,-56.860733358076175,-59.81013520781668
RASIA,-38.50686147043219,-43.02881718018133,-51.63204802495869,-56.906517837274414,-59.896961467191524
LAM,-36.64617777775089,-39.7147083328111,-49.30490134942298,-53.88307057306797,-56.68563592203035
MEA,-42.89985337022913,-50.158600904909356,-57.98194757097981,-64.03991938077391,-67.36171010565663
AFR,-46.84668011782601,-51.147922506337125,-62.92066995313562,-69.36111534556792,-72.69287210540058
ROW,-33.191537366548424,-36.7560616691501,-44.46177565324174,-49.04089916157142,-51.580895411042896
