region,2025,2030,2035,2040,2045
EU27,-28.739727171835103,-32.57662960879107,-38.233341995242476,-43.95092046662441,-49.06986538145283
CHN,-39.25305049945465,-44.638816754082384,-52.25404934947096,-60.072883401127555,-67.04176054235549
USA,-26.683480973189926,-30.438558887889947,-35.5871037759223,-40.85935310703505,-45.61399554271603
GBR,-23.354316293475502,-26.54741760356647,-31.10378467083377,-35.735827514180535,-39.89631415852855
CHE,-25.298412215845342,-28.730051651600608,-33.68034471865507,-38.703105046312,-43.20965030136099
RUS,-29.555680291473102,-33.75319816475004,-39.435399144050386,-45.267956127539435,-50.53477213463774
IND,-47.49359949548024,-54.238672888565,-63.369512541123214,-72.74196219129466,-81.20531162499648
TUR,-38.08471795642286,-43.493535576057084,-50.8154790919638,-58.331167632722256,-65.11785635653355
RASIA,-38.500944023884266,-43.88429928140314,-51.31699741789483,-58.94730916818497,-65.79652964736044
LAM,-36.64054626716019,-41.39431235758412,-48.88266442250888,-56.1556261731628,-62.64284128103976
MEA,-42.893260841533255,-48.98499100134989,-57.231396645054915,-65.69600938949849,-73.3395794433404
AFR,-46.83948107030671,-53.214832566922226,-62.37599768544668,-71.69974609762073,-80.03093114661873
ROW,-33.18643673926514,-37.79049993627057,-44.230640312446525,-50.80955538535379,-56.71288558887125
