region,2025,2030,2035,2040,2045
EU27,-28.726420981790646,-30.497493181654953,-37.7967059690568,-43.089328715234636,-46.9435430502411
CHN,-39.23487675178311,-43.69959847662695,-52.20838844080103,-59.26207690887099,-64.34813209962844
USA,-26.67112680341114,-30.34765054670837,-35.81690964870644,-40.572768182110764,-44.03066233203825
GBR,-23.34350349177069,-25.57554334572914,-30.996789192608365,-35.23597175642734,-38.32092508223704
CHE,-25.28669931826791,-27.416984317656176,-33.47455957613406,-38.0889971961071,-41.447812847343954
RUS,-29.541996323754827,-34.01759097469174,-39.816011991207084,-45.052412167443954,-48.858584295450335
IND,-47.4716104606852,-54.663530854987066,-63.98112675360034,-72.39560039506836,-78.51181267222398
TUR,-38.067085134375255,-43.83422560575811,-51.305927384528935,-58.053423021652854,-62.957962201911236
RASIA,-38.48311849356487,-43.651228365924545,-51.56614337796705,-58.43177714258621,-63.40381763005827
LAM,-36.623582081346996,-40.826242350410716,-49.17634054107909,-55.55093067927398,-60.26637580179911
MEA,-42.87340171493224,-49.36869625359299,-57.783768506292084,-65.38319698890353,-70.90697895853904
AFR,-46.81779488543172,-52.07803077561717,-62.68200404789324,-71.1275362100842,-77.10015173540417
ROW,-33.17107176967058,-37.40808546985526,-44.42592753616317,-50.3600728684302,-54.643794215529965
