region,tenor,2025,2030,2035,2040,2045
EU27,1D,-28.742569392937032,-27.10022994972889,-37.28473947727554,-41.30151942472257,-43.593066665488884
EU27,6M,-28.458609646551736,-26.832495554856067,-36.91638809500104,-40.89348460985129,-43.1623927064123
EU27,1Y,-28.17685053312824,-26.566836049617653,-36.550891364499115,-40.48861198565881,-42.73505638699133
EU27,5Y,-26.052147005069124,-24.56353727008852,-33.79473493230489,-37.43552780114349,-39.51257682099121
EU27,10Y,-23.690920470913824,-22.337230318743572,-30.73176185675082,-34.0425728348227,-35.93136929884646
EU27,20Y,-19.785709685801727,-18.655161787156224,-25.665938939662166,-28.43099591231634,-30.00844321068639
CHN,1D,-39.25693243778268,-41.44518487812157,-52.13667667243103,-57.31567378034953,-60.37506820974339
CHN,6M,-38.86909694449386,-41.03573073273904,-51.62159685187351,-56.749428502550195,-59.77859790736859
CHN,1Y,-38.48426710105914,-40.62944977757147,-51.110508800027965,-56.18757151583312,-59.186750134154536
CHN,5Y,-35.582322542413266,-37.5657455788353,-47.2564698881688,-51.95069162422125,-54.723714186381066
CHN,10Y,-32.357332136913456,-34.16098837326549,-42.9733975337581,-47.24216025032094,-49.76385095671053
CHN,20Y,-27.02355025225988,-28.529891836127877,-35.88966367344733,-39.45476364206957,-41.56077891046171
USA,1D,-26.686119841410274,-30.283618205473385,-35.847553837211365,-39.61002518207286,-41.685673548758466
USA,6M,-26.42247661179571,-29.984433799664192,-35.49340100706636,-39.218701339334544,-41.27384351620353
USA,1Y,-26.16087656607828,-29.68756801497458,-35.14199279266867,-38.830410180482,-40.865205086528356
USA,5Y,-24.18818956645375,-27.448947327870115,-32.49207576301967,-35.90236435756607,-37.78372352349412
USA,10Y,-21.995902112894697,-24.961122322407526,-29.547168710771793,-32.64836708265811,-34.35920996898735
USA,20Y,-18.37009811490285,-20.846531493332485,-24.676614100599576,-27.266611004246972,-28.695438588573577
GBR,1D,-23.356625923284916,-24.020493334247373,-30.778164117250043,-34.055163633644874,-35.897041755411536
