region,tenor,2025,2030,2035,2040,2045
EU27,1D,-28.73815244978618,-32.57484465319224,-38.23124709412237,-43.94851228497693,-49.0671767199185
EU27,6M,-28.454236340211487,-32.2530242724251,-37.85354477111752,-43.51432673142234,-48.58242176058441
EU27,1Y,-28.172520525421785,-31.933697937193323,-37.478769567862315,-43.08350603169953,-48.10142355816915
EU27,5Y,-26.048143505914062,-29.52570558221539,-34.652645553947885,-39.83475127257261,-44.474287721303796
EU27,10Y,-23.687279827397205,-26.849654374350685,-31.511916072237995,-36.22434359032003,-40.44337739998686
EU27,20Y,-19.782669165878588,-22.423757965303217,-26.31749255222589,-30.253123626697096,-33.77669200029139
CHN,1D,-39.250899725936904,-44.636370880864455,-52.251186218475894,-60.069591856518656,-67.038087155413
CHN,6M,-38.86312383230678,-44.19538968737361,-51.7349751106904,-59.47613948154633,-66.37579012947332
CHN,1Y,-38.47835312664496,-43.757826012606074,-51.22276453887348,-58.88728624738268,-65.71862577703523
CHN,5Y,-35.57685451714048,-40.4582234825124,-47.36026087102289,-54.446831672783006,-60.76304722919527
CHN,10Y,-32.35235970405235,-36.79130763127353,-43.06778145996256,-49.51206358547535,-55.25581132323362
CHN,20Y,-27.019397475117138,-30.726629328190093,-35.96848935542876,-41.350496163705365,-46.1474446565801
USA,1D,-26.682018918050048,-30.436891082571847,-35.58515386886027,-40.85711432015105,-45.61149623699574
USA,6M,-26.418416203155704,-30.136192430533864,-35.23359339667207,-40.453469967352305,-45.16088137627651
USA,1Y,-26.156856358177265,-29.837824134730074,-34.884757449959785,-40.052953780002774,-44.71375869333317
USA,5Y,-24.18447250634069,-27.58787323499657,-32.254237507985735,-37.032720837165336,-41.34207310566215
USA,10Y,-21.99252194712538,-25.087456732252598,-29.330886836427485,-33.67627412835218,-37.59504987663294
USA,20Y,-18.36727513558113,-20.952040941966636,-24.495984125443837,-28.125077876189014,-31.397882720324844
GBR,1D,-23.35303665165479,-26.54596300368135,-31.102080416119275,-35.73386945817025,-39.89412813897449
GBR,6M,-23.122322331223856,-26.28370444151081,-30.794810083175875,-35.38083976308667,-39.49999752546749
GBR,1Y,-22.893396002030283,-26.023478332333248,-30.489921035719128,-35.030545979671494,-39.10892134777535
GBR,5Y,-21.167096634484615,-24.06115198361411,-28.19079811853325,-32.389032708153216,-36.159874112403614
GBR,10Y,-19.2486248012553,-21.880378533541123,-25.635735745994662,-29.453464924383443,-32.88253753782841
GBR,20Y,-16.075681932077753,-18.273617439710815,-21.409941655703644,-24.598356444202615,-27.462180806977095
CHE,1D,-25.29702605211175,-28.72847745969782,-33.67849928772504,-38.70098440569096,-43.207282735773155
