region,tenor,2025,2030,2035,2040,2045
EU27,1D,-28.733203247935066,-28.91191855840889,-37.475277310175784,-42.113396932698265,-45.230001112559165
EU27,6M,-28.4493360335751,-28.62628574148419,-37.10504352574135,-41.697341243697444,-44.78315520016536
EU27,1Y,-28.1676687350717,-28.34286652349349,-36.73767898133116,-41.2845099055943,-44.33977225692892
EU27,5Y,-26.043657569656226,-26.205644394037513,-33.96743764252133,-38.17141024431469,-40.996287489642
EU27,10Y,-23.68320047228297,-23.83050568183081,-30.8888117218561,-34.711758849845516,-37.28060440971902
EU27,20Y,-19.77926225156748,-19.902285673764105,-25.79710070861844,-28.989873320025993,-31.135270436939162
CHN,1D,-39.24414004902584,-42.59325669157663,-52.122633647306984,-58.24781933783204,-62.29749661224533
CHN,6M,-38.85643093704335,-42.17246026929031,-51.6076925636104,-57.67236500803465,-61.68203384353408
CHN,1Y,-38.47172649548433,-41.75492493766518,-51.09674217344202,-57.10137033768648,-61.07134079191417
CHN,5Y,-35.570727573714294,-38.60635316153307,-47.243741347796295,-52.795584534164924,-56.46619540523158
CHN,10Y,-32.34678807383656,-35.10728087953478,-42.96182263984946,-48.010476609506995,-51.34840304640264
CHN,20Y,-27.01474427229788,-29.320197507445332,-35.87999678478417,-40.09643075029236,-42.88413347016192
USA,1D,-26.67742381759425,-30.339623004350063,-35.84419046317933,-40.080704444128045,-42.825732967568186
USA,6M,-26.41386649960031,-30.03988530393913,-35.490070861199285,-39.68473056603434,-42.4026398158744
USA,1Y,-26.1523516997051,-29.742470512573625,-35.138695617454715,-39.291825408698564,-41.98282555404928
USA,5Y,-24.180307526135174,-27.49970984785843,-32.4890272145925,-36.32898611011936,-38.81706870454961
USA,10Y,-21.9887344583325,-25.00728400051077,-29.54439646638342,-33.03632213330845,-35.29889829865263
USA,20Y,-18.3641119763537,-20.885083881479733,-24.67429883291237,-27.590615553277992,-29.48022871560641
GBR,1D,-23.34901485893769,-24.858296296036297,-30.862666826070235,-34.60445257353195,-37.07907771599218
GBR,6M,-23.11834027146258,-24.612710892195274,-30.557761759132884,-34.26258085558467,-36.712758151429476
