phi,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
0.0000,9.4443,21.5164,8.0890,7.9597,4.8244,23.9035,41.9704,24.5251,16.5728,15.5087,15.0417,24.2559,16.0708
0.1000,8.4625,19.5465,7.2786,7.0644,4.2363,21.3972,38.9445,21.9990,15.0880,14.3073,13.1335,21.9330,14.6147
0.2000,7.4774,17.4121,6.3672,6.1003,3.6244,18.6607,35.2487,19.1938,13.4357,12.8631,11.0834,19.2486,12.9464
0.3000,6.4084,15.0544,5.3380,5.0525,2.9804,15.6395,30.7668,15.6393,11.6223,11.1384,8.8686,16.1548,11.0273
0.4000,5.1904,12.3927,4.1702,3.9013,2.2923,12.2593,25.3538,12.1246,9.5367,9.2064,6.4607,12.5937,8.8093
0.5000,3.7821,9.3147,2.4170,2.6195,1.5425,8.3497,14.1808,8.2312,7.0984,5.6032,3.8876,8.4942,6.2311
0.6000,0.6261,3.2605,0.7484,1.3452,0.8461,2.3815,3.3216,2.5374,1.9256,1.4033,0.6543,2.3831,1.8496
0.7000,0.1925,1.2378,-0.1991,-0.0433,0.1671,-1.0713,1.4259,-1.4838,0.7850,1.0926,-2.0229,-2.1233,-0.3417
0.8000,-2.6662,-3.3857,-2.4012,-2.4880,-1.1546,-7.2082,-9.5689,-7.7965,-3.9799,-3.9650,-5.9877,-8.0468,-4.3995
0.9000,-5.6429,-11.4437,-4.9928,-4.9038,-2.8818,-14.6408,-24.3641,-15.3402,-9.4723,-9.1116,-10.1706,-15.4760,-9.5903
1.0000,-9.4443,-21.5164,-8.0890,-7.9597,-4.8244,-23.9035,-41.9704,-24.5251,-16.5728,-15.5087,-15.0417,-24.2559,-16.0708
