phi,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
0.0000,-0.7858,-0.5030,-1.4785,-0.4279,-1.5982,-3.3155,-3.4289,-3.7898,-3.2892,-3.8247,-3.9462,-5.3012,-3.0993
0.1000,-0.7776,-0.4818,-1.4549,-0.4244,-1.5970,-3.1083,-3.2287,-3.5833,-3.1796,-3.5961,-3.7499,-4.9166,-2.9486
0.2000,-0.7689,-0.4592,-1.4300,-0.4206,-1.5957,-2.8910,-3.0184,-3.3629,-3.0631,-3.3559,-3.5443,-4.5171,-2.7903
0.3000,-0.7595,-0.4349,-1.4034,-0.4166,-1.5941,-2.6613,-2.7961,-3.1262,-2.9379,-3.1023,-3.3282,-4.1009,-2.6229
0.4000,-0.7491,-0.4083,-1.3749,-0.4122,-1.5918,-2.4165,-2.5593,-2.8703,-2.8016,-2.8333,-3.1000,-3.6657,-2.4449
0.5000,-0.7373,-0.3787,-1.3441,-0.4073,-1.5886,-2.1530,-2.3051,-2.5914,-2.6508,-2.5460,-2.8575,-3.2086,-2.2541
0.6000,-0.7236,-0.3451,-1.3102,-0.4015,-1.5835,-1.8659,-2.0298,-2.2850,-2.4810,-2.2370,-2.5983,-2.7262,-2.0476
0.7000,-0.7072,-0.3062,-1.2726,-0.3946,-1.5754,-1.5489,-1.7283,-1.9449,-2.2857,-1.9018,-2.3191,-2.2143,-1.8217
0.8000,-0.6868,-0.2598,-1.2301,-0.3859,-1.5620,-1.1928,-1.3940,-1.5632,-2.0557,-1.5343,-2.0155,-1.6674,-1.5715
0.9000,-0.6605,-0.2029,-1.1811,-0.3745,-1.5397,-0.7849,-1.0177,-1.1292,-1.7772,-1.1260,-1.6817,-1.0785,-1.2899
1.0000,-0.6253,-0.1304,-1.1230,-0.3586,-1.5016,-0.3060,-0.5865,-0.6277,-1.4283,-0.6648,-1.3095,-0.4380,-0.9670
