phi,rate_IND_bp,rate_EU27_bp,spot_USD_pct,fwd5_IND_pct,n_fx
0.0000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.1000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.2000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.3000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.4000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.5000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.6000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.7000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.8000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
0.9000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
1.0000,-68.5150,-39.0005,-1.9520,-3.6101,6.0000
