phi,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
0.0000,-2.9334,-14.3559,-3.2729,-1.8457,-0.7080,-12.4537,-20.9012,-10.9214,-9.4416,-10.4681,-8.6211,-15.9006,-10.3690
0.1000,-2.5920,-12.7104,-2.8194,-1.6275,-0.6660,-10.7437,-17.9399,-9.5442,-8.3179,-8.9763,-7.3608,-13.4067,-8.9006
0.2000,-2.2308,-10.9593,-2.3412,-1.3989,-0.6214,-8.9496,-14.8290,-8.0702,-7.1242,-7.4084,-6.0402,-10.8158,-7.3583
0.3000,-1.8440,-9.0734,-1.8342,-1.1564,-0.5720,-7.0536,-11.5417,-6.4812,-5.8424,-5.7519,-4.6499,-8.1146,-5.7288
0.4000,-1.4237,-7.0131,-1.2929,-0.8951,-0.5145,-5.0323,-8.0443,-4.7548,-4.4482,-3.9917,-3.1783,-5.2870,-3.9957
0.5000,-0.9586,-4.7247,-0.7106,-0.6079,-0.4435,-2.8557,-4.2946,-2.8623,-2.9089,-2.1080,-1.6103,-2.3133,-2.1381
0.6000,-0.4332,-2.1331,-0.0784,-0.2846,-0.3506,-0.4835,-0.2381,-0.7668,-1.1796,-0.0753,0.0729,0.8309,-0.1289
0.7000,0.1749,0.8681,0.6157,0.0904,-0.2219,2.1388,4.1960,1.5802,0.8031,2.1405,1.8962,4.1768,2.0676
0.8000,0.8994,4.4356,1.3881,0.5409,-0.0343,5.0870,9.1023,4.2438,3.1305,4.5864,3.8936,7.7645,4.4996
0.9000,1.7916,8.8064,2.2623,1.1048,0.2520,8.4705,14.6099,7.3145,5.9394,7.3292,6.1121,11.6478,7.2342
1.0000,2.9334,14.3559,3.2729,1.8457,0.7080,12.4537,20.9012,10.9214,9.4416,10.4681,8.6211,15.9006,10.3690
