phi,EU27,CHN,USA,GBR,CHE,RUS,IND,TUR,RASIA,LAM,MEA,AFR,ROW
0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
0.100000,-0.897978,-0.886095,-0.867282,-0.897312,-0.974873,-0.862344,-0.859202,-0.869404,-0.882218,-0.855296,-0.851059,-0.841817,-0.858628
0.200000,-0.789422,-0.764852,-0.726968,-0.789192,-0.947273,-0.717921,-0.711227,-0.730003,-0.757037,-0.703254,-0.695148,-0.677546,-0.710115
0.300000,-0.671924,-0.634204,-0.577603,-0.673354,-0.913546,-0.565290,-0.554760,-0.580292,-0.622487,-0.542767,-0.531246,-0.506390,-0.553182
0.400000,-0.542128,-0.491373,-0.417317,-0.546501,-0.867766,-0.402605,-0.388153,-0.418411,-0.475944,-0.372466,-0.358108,-0.327399,-0.386227
0.500000,-0.395287,-0.332564,-0.243652,-0.403804,-0.800303,-0.227467,-0.209323,-0.242032,-0.313863,-0.190635,-0.174197,-0.139420,-0.207217
0.600000,-0.224556,-0.152484,-0.053317,-0.238053,-0.695392,-0.036695,-0.015590,-0.048202,-0.131349,0.004920,0.022418,0.058957,-0.013521
0.700000,-0.019848,0.056424,0.158200,-0.038250,-0.526844,0.174011,0.196555,0.166895,0.078495,0.217071,0.234219,0.269488,0.198327
0.800000,0.234097,0.305256,0.397267,0.212855,-0.250242,0.410622,0.431803,0.408291,0.325659,0.449674,0.464474,0.494402,0.433017
0.900000,0.561123,0.610871,0.673167,0.543208,0.211912,0.681695,0.696584,0.682806,0.625082,0.708075,0.717629,0.736604,0.697087
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
