region,sigma,f_r,f_vl,dmg_world,contrib,dmg_within
IND,1.6910836592859189,0.03243842750995334,0.054856094695012916,-0.011283455431727367,-0.0003660175510838775,-0.0077950413223140495
AFR,1.6677927528943306,0.01804521779519654,0.0300956834632286,-0.011128050994583794,-0.00020080810383331805,-0.0077950413223140495
MEA,1.5272814289325107,0.02223639778167676,0.03396123737831099,-0.010190514135972271,-0.00022660032592727947,-0.0077950413223140495
CHN,1.397666064099224,0.17626417834780392,0.24635846039305875,-0.009325678629856012,-0.0016437830812272437,-0.0077950413223140495
RASIA,1.370886140396004,0.055650181946495306,0.07629006314096633,-0.009146994344243592,-0.0005090318995207194,-0.0077950413223140495
TUR,1.3560657623086405,0.008655444123734802,0.011737351433772277,-0.009048108003102594,-7.831539324637218e-05,-0.0077950413223140495
LAM,1.304643777644205,0.047732074131460245,0.06227335350966153,-0.008705003941404587,-0.0004155078934457774,-0.0077950413223140495
ROW,1.181654822457454,0.1536653485809526,0.18157940019528832,-0.007884381977006675,-0.0012115563048421109,-0.0077950413223140495
RUS,1.0523760782702,0.021655155420485368,0.022789367535742056,-0.007021792512377514,-0.0001520580081859355,-0.0077950413223140495
EU27,1.023322795258991,0.16052942374044074,0.16427341862338285,-0.006827939640461783,-0.0010960852158178422,-0.0077950413223140495
USA,0.9501069433771273,0.2647566254049832,0.2515471081023717,-0.00633941986968131,-0.001678403411722122,-0.0077950413223140495
CHE,0.900789410753478,0.008596286692964843,0.007743444024823765,-0.00601035739053898,-5.166675525625314e-05,-0.0077950413223140495
GBR,0.8315668443165648,0.02977523852385233,0.02476010113805289,-0.005548482107804291,-0.0001652073782051997,-0.0077950413223140495
