scenario,region,2025,2030,2035,2040,2045
Below 2?C,EU27,0.0,-16.521810563521658,-21.81413163275659,-26.14680101903077,-34.749864207221954
Below 2?C,USA,0.0,-14.204442434683894,-16.53633767434754,-19.949744163736018,-26.865436111071944
Below 2?C,CHN,0.0,-90.06592137575782,-98.5889230369371,-122.96016197451226,-156.4502992344211
Below 2?C,GBR,0.0,-9.337724908245026,-12.159669582131025,-14.602396749896892,-19.3794377445544
Below 2?C,JPN,0.0,-22.71586091833287,-28.97460703720281,-34.88124025624548,-46.39602476884453
Below 2?C,IND,0.0,-84.06616229813754,-89.71845260238601,-112.20913025146723,-143.2062646476029
Below 2?C,CAN,0.0,-14.714664633857163,-18.538755805308124,-22.284218613729323,-29.711325257194996
Below 2?C,NOR,0.0,-3.3640671253638508,-7.575680018889467,-8.857491989521684,-11.314847949830508
Below 2?C,IDN,0.0,-52.37737861741686,-56.947186231392195,-71.13189063695866,-90.54104260839829
Below 2?C,RUS,0.0,-72.69654515179201,-76.82226329460951,-92.47816385334043,-128.8310093150928
Below 2?C,CHL,0.0,-26.636052367406023,-33.347994742620685,-36.10192153609991,-48.278574628309414
Below 2?C,AUS,0.0,-17.63634396842553,-23.150628748367396,-27.873029225167365,-36.97673508984209
Below 2?C,SGP,0.0,-31.730447679601987,-38.219232433523544,-46.283114737802514,-60.54877223092583
Below 2?C,TUR,0.0,-51.667120295855305,-56.7981720549854,-67.37626289961993,-92.9773030508382
Below 2?C,KOR,0.0,-41.43980748917119,-49.10537601897437,-60.04296497066164,-77.33229840818692
Below 2?C,KAZ,0.0,-62.435392841614394,-69.06488333874039,-82.69511094517819,-114.49284765899482
Below 2?C,MEA,0.0,-28.340118753213567,-31.220423470785192,-37.052706540675516,-51.0277161128835
Below 2?C,AFR,0.0,-38.54305857507286,-44.11810213392916,-52.05165152578084,-71.68566060007205
Below 2?C,LAM,0.0,-37.77526038601686,-45.22024869830156,-48.07446423969985,-65.4299784636469
Below 2?C,ROW,0.0,-60.69761924284535,-66.94905927309175,-81.09505794530344,-107.45148736337843
Current Policies,EU27,0.0,-0.3712282574929792,-0.5330671630021984,-0.7276209605003715,-0.9244478160176602
Current Policies,USA,0.0,-0.18754607735155582,-0.3325539306685024,-0.48292223794296313,-0.6342195477045808
Current Policies,CHN,0.0,-5.0753468602595655,-5.843653010583444,-6.478268641006654,-7.172729258885261
Current Policies,GBR,0.0,-0.1836345560985792,-0.27676384364874174,-0.3864486661925253,-0.49751941363693
