,n,econ_pct,carb_pct,members
EU27,27,81.00204455291191,58.72873853638087,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']"
CHN,1,4.486502067835305,11.1063812071193,['CHN']
ROWL,12,2.9224927894464425,3.3119898828672993,"['AUS', 'CAN', 'CHL', 'HKG', 'ISL', 'JPN', 'KOR', 'MYS', 'NOR', 'NZL', 'SGP', 'TWN']"
USA,1,2.6831255822974955,2.6209635628208923,['USA']
ROWH,14,2.4175800162111405,10.78058243745223,"['BGD', 'BLR', 'BRN', 'IDN', 'KAZ', 'KHM', 'LAO', 'MMR', 'PAK', 'PHL', 'ROW', 'THA', 'UKR', 'VNM']"
GBR,1,1.6007173761521627,0.801321643533964,['GBR']
CHE,1,0.999489377444434,0.16444034883373448,['CHE']
RUS,1,0.9716890509871,3.753268426664083,['RUS']
LAM,6,0.6415265481317468,1.4946600297917403,"['ARG', 'BRA', 'COL', 'CRI', 'MEX', 'PER']"
MEA,4,0.6400025936580183,1.2717392153105935,"['ARE', 'ISR', 'JOR', 'SAU']"
IND,1,0.5900080022349632,2.802248815424122,['IND']
AFR,11,0.5403381744070621,2.063165632226765,"['AGO', 'CIV', 'CMR', 'COD', 'EGY', 'MAR', 'NGA', 'SEN', 'STP', 'TUN', 'ZAF']"
TUR,1,0.5044838682822103,1.100500261574414,['TUR']
