region,phi,coarse,fine,delta_pp
EU27,0.30000,-0.83875,-0.83520,0.00356
EU27,0.50000,-0.42493,-0.41924,0.00569
EU27,0.70000,0.09936,0.10602,0.00666
USA,0.30000,-0.83811,-0.83801,0.00009
USA,0.50000,-0.31607,-0.31584,0.00023
USA,0.70000,0.29696,0.29731,0.00035
CHN,0.30000,-3.62114,-3.62008,0.00107
CHN,0.50000,-1.89386,-1.89228,0.00159
CHN,0.70000,0.33171,0.33351,0.00180
GBR,0.30000,-0.50431,-0.50302,0.00129
GBR,0.50000,-0.23615,-0.23394,0.00220
GBR,0.70000,0.09137,0.09411,0.00275
JPN,0.30000,-1.10181,-1.10112,0.00069
JPN,0.50000,-0.56168,-0.56076,0.00092
JPN,0.70000,0.12851,0.12939,0.00088
IND,0.30000,-4.60226,-4.60219,0.00007
IND,0.50000,-1.72100,-1.72076,0.00025
IND,0.70000,1.65761,1.65822,0.00061
CAN,0.30000,-0.96581,-0.96556,0.00025
CAN,0.50000,-0.35814,-0.35751,0.00062
CAN,0.70000,0.34910,0.35006,0.00096
NOR,0.30000,-0.43786,-0.43841,-0.00056
NOR,0.50000,-0.15423,-0.15470,-0.00047
NOR,0.70000,0.16796,0.16791,-0.00004
IDN,0.30000,-2.91687,-2.91655,0.00032
IDN,0.50000,-1.09394,-1.09315,0.00079
IDN,0.70000,1.04695,1.04806,0.00111
RUS,0.30000,-3.72887,-3.73040,-0.00153
RUS,0.50000,-1.50310,-1.50547,-0.00237
RUS,0.70000,1.14341,1.14074,-0.00268
CHL,0.30000,-1.42600,-1.42645,-0.00045
CHL,0.50000,-0.60242,-0.60284,-0.00043
CHL,0.70000,0.38680,0.38667,-0.00013
AUS,0.30000,-1.12639,-1.12960,-0.00322
AUS,0.50000,-0.45032,-0.45472,-0.00441
AUS,0.70000,0.34796,0.34367,-0.00429
SGP,0.30000,-1.25092,-1.25502,-0.00410
SGP,0.50000,-0.73432,-0.73859,-0.00427
SGP,0.70000,-0.02864,-0.03070,-0.00206
TUR,0.30000,-2.34742,-2.35247,-0.00505
TUR,0.50000,-1.08340,-1.09021,-0.00681
TUR,0.70000,0.48857,0.48218,-0.00640
KOR,0.30000,-1.70262,-1.70064,0.00198
KOR,0.50000,-0.94537,-0.94241,0.00296
KOR,0.70000,0.05061,0.05381,0.00320
KAZ,0.30000,-5.16124,-5.16417,-0.00293
KAZ,0.50000,-1.35403,-1.35778,-0.00375
KAZ,0.70000,2.86204,2.85876,-0.00329
MEA,0.30000,-1.66788,-1.66786,0.00002
MEA,0.50000,-0.59464,-0.59421,0.00044
MEA,0.70000,0.64935,0.65038,0.00103
AFR,0.30000,-2.89923,-2.89965,-0.00042
AFR,0.50000,-0.84314,-0.84356,-0.00042
AFR,0.70000,1.46254,1.46239,-0.00015
LAM,0.30000,-2.17219,-2.17356,-0.00137
LAM,0.50000,-0.80601,-0.80765,-0.00164
LAM,0.70000,0.79049,0.78921,-0.00128
